21_JUMP_STREET.srt 	21_JUMP_STREET_DVS353 	00:58:53,00 --> 00:58:58,50 	he shoves someone into a shoe display.
KARATE_KID.srt 	KARATE_KID_DVS205 	00:17:39,00 --> 00:17:46,50 	the boy shoves someone to the ground.
KARATE_KID.srt 	KARATE_KID_DVS222 	00:19:14,00 --> 00:19:26,50 	she angrily shoves the bully, who stalks off.
KARATE_KID.srt 	KARATE_KID_DVS495 	00:44:29,00 --> 00:44:35,50 	he shoves someone back into his group of friends.
KARATE_KID.srt 	KARATE_KID_DVS501 	00:44:45,00 --> 00:44:51,50 	the man lifts someone's leg, then shoves him back.
KARATE_KID.srt 	KARATE_KID_DVS675 	00:57:42,00 --> 00:57:49,50 	someone shoves a peg into the freshly drilled hole in the utility pole.
KARATE_KID.srt 	KARATE_KID_DVS895 	01:13:10,00 --> 01:13:14,50 	someone shoves someone.
KARATE_KID.srt 	KARATE_KID_DVS897 	01:13:13,00 --> 01:13:19,50 	he repeatedly jerks his arms up and shoves his teacher back.
KARATE_KID.srt 	KARATE_KID_DVS1123 	01:33:11,00 --> 01:33:25,50 	nearing the auditorium, he shoves past waiting young musicians.
KARATE_KID.srt 	KARATE_KID_DVS1235 	01:41:11,00 --> 01:41:16,50 	someone shoves the door open and climbs out.
KARATE_KID.srt 	KARATE_KID_DVS1267 	01:42:37,00 --> 01:42:45,50 	someone thrusts his fists and strikes a pose, later, he shoves his hands out, palms forward.
KARATE_KID.srt 	KARATE_KID_DVS1401 	01:52:47,00 --> 01:53:00,50 	he shoves someone off the mat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS261 	00:34:40,00 --> 00:34:47,50 	someone stares at his son as he shoves pills into a banana.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS322 	00:40:10,00 --> 00:40:21,50 	the buddhist, captain and the sailor shove him onto the boat.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS26 	00:11:10,00 --> 00:11:28,50 	someone's half, tears it in two, and shoves it in a wastebasket.
MORNING_GLORY.srt 	MORNING_GLORY_DVS221 	00:49:27,00 --> 00:49:32,50 	she shoves him into a taxi.
MORNING_GLORY.srt 	MORNING_GLORY_DVS326 	01:13:28,00 --> 01:13:34,50 	he raises his brows and shoves a pastry into his mouth.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS647 	01:18:41,00 --> 01:18:46,50 	with the pole, he shoves someone's hands into his face.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS209 	00:53:35,00 --> 00:53:45,50 	she shoves the statue, which knocks into another, creating a domino effect that topples an entire row.
PROMETHEUS.srt 	PROMETHEUS_DVS501 	00:52:32,00 --> 00:52:36,50 	holloway shoves back his hood.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS158 	00:28:42,00 --> 00:28:53,50 	someone swaps looks with gilbert, then shoves through a revolving door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS330 	01:02:45,00 --> 01:02:59,50 	as he opens the door, someone shoves him into max and his accomplice hits bryant with his pipe.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS276 	01:06:11,00 --> 01:06:17,50 	she gives a mocking curtsy, then storms off, shoving her fingers in her mouth.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS423 	01:45:37,00 --> 01:45:45,50 	now, soldiers shove someone into a building and yank
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS73 	00:12:45,00 --> 00:12:49,50 	he shoves the comforter aside.
SALT.srt 	SALT_DVS527 	01:30:13,00 --> 01:30:19,50 	they shove her in and then one wraps a blanket around her shoulders.
SANCTUM.srt 	SANCTUM_DVS243 	00:51:24,00 --> 00:51:29,50 	someone goes next, shoving his gear in before him.
SANCTUM.srt 	SANCTUM_DVS471 	01:27:32,00 --> 01:27:43,50 	as someone rises with his flaming cylindrical container in hand, someone shoves fabric into the top of his own oil-filled container.
SANCTUM.srt 	SANCTUM_DVS496 	01:31:39,00 --> 01:31:46,50 	as someone shoves more food into his mouth, someone rises.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS336 	00:22:53,00 --> 00:22:59,50 	someone shoves her friend, then allows a smile.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS962 	01:02:28,00 --> 01:02:35,50 	the butcher shoves her away, then grabs her by the tunic and flings her aside.
SPARKLE_2012.srt 	SPARKLE_2012_DVS478 	01:18:08,00 --> 01:18:14,50 	with one hand, he shoves sister to the
SUPER_8.srt 	SUPER_8_DVS29 	00:03:24,00 --> 00:03:33,50 	the front door flies open as dark-haired someone leads the struggling someone out of the house in handcuffs, and shoves him into the back of a squad car.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS115 	00:17:33,00 --> 00:17:38,50 	someone shoves open the door and turns on the lights.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS152 	00:24:03,00 --> 00:24:09,50 	a burly man presses a rag over someone's face, then shoves him into a crate.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS189 	00:28:02,00 --> 00:28:08,50 	he shoves the crate against the wall, climbs onto it and opens a porthole.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS234 	00:36:11,00 --> 00:36:20,50 	a sleeping man rolls on top of someone, but he shoves him off.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS270 	00:39:48,00 --> 00:39:54,50 	someone shoves another lifeboat over the side of the boat as snowy jumps in.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS291 	00:41:44,00 --> 00:41:50,50 	someone grabs someone and shoves him against a railing.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS475 	01:09:01,00 --> 01:09:08,50 	sir someone shoves him then cuts lose another lantern, which falls onto the trail of powder.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS487 	01:10:24,00 --> 01:10:31,50 	someone shoves someone out of a window.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS535 	01:15:26,00 --> 01:15:30,50 	someone shoves it into someone's hand.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS107 	00:25:04,00 --> 00:25:11,50 	someone shoves the door open.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS386 	01:14:14,00 --> 01:14:31,50 	he shoves the boy, then envelops him in a proud embrace.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS61 	00:11:50,00 --> 00:11:55,50 	he shoves him into an suv.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS314 	00:57:27,00 --> 00:57:37,50 	as they speed forward, shoving against each other, someone spots an suv headed straight for the thug's vehicle.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS516 	01:33:13,00 --> 01:33:24,50 	as ray shoves her off, she grabs a bottle.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS582 	01:45:18,00 --> 01:45:23,50 	gelman shoves a cuffed someone toward a holding cell.
THE_CALL.srt 	THE_CALL_DVS1100 	01:22:43,00 --> 01:23:03,50 	she pulls away with all her might and someone takes her head and shoves it into the utility sink full of water.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS397 	00:47:16,00 --> 00:47:22,50 	bending over a toilet she shoves a finger down her throat then vomits.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1380 	02:27:59,00 --> 02:28:05,50 	she takes off her necklace, wraps it in a paper towel and shoves it in the trash.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS111 	00:35:33,00 --> 00:35:37,50 	shoves the door open and darts out.
THE_VOW.srt 	THE_VOW_DVS120 	00:12:20,00 --> 00:12:27,50 	with a frustrated look, she smacks the unfinished sculpture, then shoves the table away.
THE_VOW.srt 	THE_VOW_DVS630 	01:26:23,00 --> 01:26:28,50 	someone shoves down her bicycle.
THE_WATCH.srt 	THE_WATCH_DVS164 	00:30:44,00 --> 00:30:50,50 	as someone approaches, they shove the boy to his knees at the front desk.
THE_WATCH.srt 	THE_WATCH_DVS181 	00:32:56,00 --> 00:33:01,50 	he drops the egg and shoves off on his board.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS287 	01:16:44,00 --> 01:16:51,50 	as someone leaves the couple, he shoves one of the hors d'oeuvres into his mouth.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS464 	01:21:59,00 --> 01:22:19,50 	heinrich shoves the body out and drives on.
THOR.srt 	THOR_DVS237 	00:32:07,00 --> 00:32:16,50 	another man wraps someone in a bear hug, but someone shoves him away.
THOR.srt 	THOR_DVS239 	00:32:17,00 --> 00:32:22,50 	three men grab someone and shove him against a door.
THOR.srt 	THOR_DVS577 	01:29:21,00 --> 01:29:31,50 	holding the war hammer out in front of himself, someone dives and shoves someone into the destroyer's open visor.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS126 	00:14:22,00 --> 00:14:25,50 	someone shoves him.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS416 	00:44:50,00 --> 00:44:55,50 	his hands shoved in his pockets.
TRUE_GRIT.srt 	TRUE_GRIT_DVS212 	00:44:20,00 --> 00:44:25,50 	someone comes out of the shack and shoves one of the kids to the ground.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS276 	00:27:08,00 --> 00:27:13,50 	someone shoves an earpiece into the cocky host's ear.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS592 	01:30:24,00 --> 01:30:31,50 	the boy staggers sideways, then shoves him back good-naturedly.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS288 	00:40:29,00 --> 00:40:33,50 	in the present, she shoves someone.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS328 	00:47:49,00 --> 00:47:59,50 	in a doctor's office, someone slips off her panties from under a hospital gown and shoves them in her bag.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS862 	01:19:06,00 --> 01:19:10,50 	someone shoves someone off the dish.
