21_JUMP_STREET.srt 	21_JUMP_STREET_DVS307 	00:52:16,00 --> 00:52:23,50 	someone beckons them over, takes the pilfered phone and slips it back in someone's pocket.
IN_TIME.srt 	IN_TIME_DVS690 	01:14:25,00 --> 01:14:30,50 	then returns it to the sleeping child and slips away.
INSIDE_MAN.srt 	INSIDE_MAN_DVS397 	01:53:18,00 --> 01:53:28,50 	now, the mastermind slips out into the basement hall.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS196 	00:37:39,00 --> 00:37:45,50 	someone slips a hand beneath her paper heart.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS302 	01:00:08,00 --> 01:00:15,50 	someone slips her hands into her pockets.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS391 	01:15:52,00 --> 01:16:04,50 	someone slips the letter from the envelope as she follows someone into the apartment.
KARATE_KID.srt 	KARATE_KID_DVS313 	00:28:02,00 --> 00:28:10,50 	someone slips back out the nearest door and strides briskly alongside the building.
KARATE_KID.srt 	KARATE_KID_DVS1127 	01:33:38,00 --> 01:33:44,50 	someone slips into a seat behind the instructor's shoulder.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS383 	01:30:53,00 --> 01:30:57,50 	she slips the note off the bin.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS132 	00:15:59,00 --> 00:16:05,50 	he slips inside, then creeps to an alcove.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS353 	00:44:46,00 --> 00:44:51,50 	captain spots someone who tries to slip out.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS491 	00:59:45,00 --> 00:59:53,50 	someone steps into the doorway and sees someone slipping in the snow as he grabs his son.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS594 	01:10:26,00 --> 01:10:32,50 	he stands and slips his finger under the envelope's flap.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS91 	00:20:23,00 --> 00:20:31,50 	the someone slips in just as the door shuts.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS188 	00:41:32,00 --> 00:41:40,50 	one hoof slips off, bouncing the branch.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS266 	01:03:36,00 --> 01:03:42,50 	someone slips out a notecard scrawled with terminology.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS301 	01:11:14,00 --> 01:11:26,50 	as someone and someone both go for the can they slip on the grass.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS303 	01:11:32,00 --> 01:11:43,50 	as someone kicks at the can, he slips in the mud and knocks his wife down beside him.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS245 	01:05:15,00 --> 01:05:23,50 	as he slips down the front of athena's robes, he catches himself on a marbled lock of hair.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS254 	01:06:58,00 --> 01:07:08,50 	as he tries to shake the fire out, the pearl slips from his grasp.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS176 	00:33:23,00 --> 00:33:29,50 	someone joins him, slipping off her coat.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS399 	01:38:00,00 --> 01:38:17,50 	he slips his hand into his father's print.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS395 	01:03:14,00 --> 01:03:21,50 	someone sets the stack of paper beside his typewriter and slips a page out from the bottom.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS438 	01:07:38,00 --> 01:07:46,50 	in his home office, someone slips the bottom page out from under his manuscript and feeds it into the carriage.
SALT.srt 	SALT_DVS260 	00:45:51,00 --> 00:46:03,50 	he narrows his eyes, trying to get a better look but she slips out of view.
SALT.srt 	SALT_DVS323 	00:57:25,00 --> 00:57:46,50 	bystanders tread toward the passenger side of the suv as someone slips out the driver's side.
SALT.srt 	SALT_DVS369 	01:05:46,00 --> 01:05:54,50 	someone's head slips forward and the bloody bottle drops to the floor.
SALT.srt 	SALT_DVS519 	01:29:08,00 --> 01:29:15,50 	he slips a pair of scissors from the someone's bag then locks eyes with someone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS101 	00:07:09,00 --> 00:07:15,50 	someone slips past her, gazing after the older woman.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS122 	00:08:11,00 --> 00:08:16,50 	she slips a note in between the pane and the sill, and gently pounds the window frame.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS855 	00:56:45,00 --> 00:56:52,50 	in the present day, someone's feet slip off a pair of black high-heeled shoes and rest on a white carpet.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1070 	01:12:21,00 --> 01:12:29,50 	his hand drifts to her waist, then slips down her slinky dark pink dress.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1299 	01:29:43,00 --> 01:29:52,50 	she sways dreamily on her feet, then lifts her head and slips her hands into the pockets with a heavy sigh.
SPARKLE_2012.srt 	SPARKLE_2012_DVS164 	00:27:51,00 --> 00:27:56,50 	someone slips the box and picture in his pocket.
SPARKLE_2012.srt 	SPARKLE_2012_DVS432 	01:11:19,00 --> 01:11:25,50 	in her stocking feet, she slips on the floor and falls.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS38 	00:04:31,00 --> 00:04:37,50 	a nearby man slips on a pair of leather gloves, then wiggles his fingers.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS60 	00:08:47,00 --> 00:08:54,50 	slipping off his jacket, someone walks into a home office and opens a desk drawer.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS122 	00:19:04,00 --> 00:19:10,50 	someone slips the note into his wallet as he steps into the hallway.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS230 	00:35:45,00 --> 00:35:49,50 	he slips but catches himself.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS253 	00:38:12,00 --> 00:38:17,50 	someone slips inside.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS258 	00:38:46,00 --> 00:38:52,50 	he slips the brochure into a pocket then studies a map tacked to a wall.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS274 	00:40:06,00 --> 00:40:12,50 	he slips and falls into the lifeboat causing a rope to snap.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS496 	01:11:06,00 --> 01:11:12,50 	the boat's unicorn statue is the last thing to slip beneath the waves.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS676 	01:30:58,00 --> 01:31:06,50 	the thugs slip on the cans and fall in a pile.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS296 	00:57:17,00 --> 00:57:22,50 	she slips out shutting the door behind her.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS376 	01:12:59,00 --> 01:13:06,50 	then slips her hands in her pockets and cranes her neck for a view up the street.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS113 	00:22:37,00 --> 00:22:42,50 	she slips off her pumps.
THE_CALL.srt 	THE_CALL_DVS500 	00:38:21,00 --> 00:38:56,50 	lowering the phone, she slips it into her back pocket.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS211 	00:25:58,00 --> 00:26:05,50 	at the guest cottage, someone pays the driver then slips on an icy stoop.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1032 	01:50:54,00 --> 01:51:03,50 	meanwhile someone slips inside the house.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1085 	01:53:50,00 --> 01:53:56,50 	someone opens the bedroom door and slips out.
THE_VOW.srt 	THE_VOW_DVS37 	00:02:52,00 --> 00:03:01,50 	the slipping truck veers right, and the pushed car slams into something.
THOR.srt 	THOR_DVS368 	00:55:51,00 --> 00:56:01,50 	a second agent grabs someone from behind, but someone slips out of the poncho and yanks it over the agent's head.
THOR.srt 	THOR_DVS507 	01:22:33,00 --> 01:22:41,50 	someone slips off as the destroyer lowers its visor and incinerates a gas station with a beam of fire.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS417 	00:50:39,00 --> 00:50:46,50 	reaching up underneath her flowing ramp dress, she slips off her white panties.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS702 	01:42:05,00 --> 01:42:11,50 	someone finishes the lock, slips out, and bolts the gate.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS238 	00:18:07,00 --> 00:18:12,50 	she slips inside the alcove and draws the curtain.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS329 	01:01:42,00 --> 01:01:49,50 	working with his distilling equipment, someone slips his arm into his crutch then limps toward the driveway.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS346 	01:07:14,00 --> 01:07:19,50 	she slips on high heels, then walks to her car.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS411 	01:19:20,00 --> 01:19:25,50 	as he slips them off, someone pushes them down with one foot.
