21_JUMP_STREET.srt 	21_JUMP_STREET_DVS374 	01:02:44,00 --> 01:02:52,50 	she gazes at him with doe-like eyes.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS87 	00:23:04,00 --> 00:23:10,50 	someone gazes upward then slowly steps around the tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS94 	00:24:47,00 --> 00:24:52,50 	someone stares at someone, then gazes up at the tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS118 	00:27:48,00 --> 00:27:55,50 	someone stops writing and gazes at the tree, then writes bye.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS345 	01:00:17,00 --> 01:00:22,50 	someone gazes around the empty house then sighs.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS402 	01:10:20,00 --> 01:10:25,50 	someone gazes up at the bare branches, then begins to cry.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS404 	01:10:32,00 --> 01:10:38,50 	someone leans back and gazes up at the branches.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS455 	01:18:52,00 --> 01:18:57,50 	someone's mouth drops open as she gazes at her son.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS59 	00:06:05,00 --> 00:06:10,50 	she gazes absently.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS69 	00:07:29,00 --> 00:07:34,50 	gazing thoughtfully, someone sips his drink.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS105 	00:11:24,00 --> 00:11:31,50 	as he gazes at a wall, portraits of a man and woman come into focus.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS131 	00:15:46,00 --> 00:15:54,50 	wearing his sunglasses, someone's new mentor stops at a tree and gazes up the towering trunk.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS233 	00:33:16,00 --> 00:33:21,50 	gazing after her, someone trips.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS339 	00:48:40,00 --> 00:48:45,50 	gazing at the ring, she takes a deep breath.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS360 	00:51:11,00 --> 00:51:15,50 	someone stops and gazes thoughtfully.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS410 	00:59:05,00 --> 00:59:11,50 	at dawn, we gaze out over the winding bayou.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS451 	01:04:31,00 --> 01:04:38,50 	someone gazes after him lovingly as someone tosses down a paper.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS487 	01:08:14,00 --> 01:08:20,50 	someone draws a deep knowing breath and gazes off.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS550 	01:17:20,00 --> 01:17:26,50 	unlocking it, he lifts the lid and gazes in.
BAD_TEACHER.srt 	BAD_TEACHER_DVS108 	00:29:50,00 --> 00:29:55,50 	she gazes dreamily at him.
BAD_TEACHER.srt 	BAD_TEACHER_DVS137 	00:36:39,00 --> 00:36:45,50 	gazing at her someone smiles.
BLINDDATING.srt 	BLINDDATING_DVS50 	00:15:17,00 --> 00:15:28,50 	gazing out the window, she sees someone raising his hand in a perfectly timed wave.
BLINDDATING.srt 	BLINDDATING_DVS111 	00:30:27,00 --> 00:30:33,50 	as she gazes at him, her shoulders relax.
BLINDDATING.srt 	BLINDDATING_DVS133 	00:36:50,00 --> 00:36:56,50 	someone gazes at him.
BLINDDATING.srt 	BLINDDATING_DVS160 	00:41:39,00 --> 00:41:44,50 	as they ease apart, someone gazes up.
BLINDDATING.srt 	BLINDDATING_DVS343 	01:22:16,00 --> 01:22:33,50 	holding the receiver to her ear, she gazes at the engagement ring on her finger.
BRUNO.srt 	BRUNO_DVS217 	01:00:58,00 --> 01:01:11,50 	someone continues to gaze upward.
BURLESQUE.srt 	BURLESQUE_DVS41 	00:04:32,00 --> 00:04:39,50 	the blonde gazes fondly at the photo, which shows the brunette woman cradling a young girl.
BURLESQUE.srt 	BURLESQUE_DVS137 	00:18:50,00 --> 00:19:02,50 	snapping to, she gazes longingly at the performance.
BURLESQUE.srt 	BURLESQUE_DVS269 	00:37:54,00 --> 00:38:01,50 	resting her chin on her fist, she gazes at a black-and-white photo stuck to her mirror.
BURLESQUE.srt 	BURLESQUE_DVS339 	00:46:38,00 --> 00:46:45,50 	someone stops dancing and gazes across the lounge toward the sound booth.
BURLESQUE.srt 	BURLESQUE_DVS443 	01:00:59,00 --> 01:01:04,50 	someone gazes tenderly at him.
BURLESQUE.srt 	BURLESQUE_DVS542 	01:17:59,00 --> 01:18:06,50 	someone gazes after her with a small admiring nod, then switches off the spotlight.
BURLESQUE.srt 	BURLESQUE_DVS611 	01:29:12,00 --> 01:29:18,50 	they gaze into each other's eyes.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS46 	00:06:30,00 --> 00:06:38,50 	the bearded man gazes toward bright light shining through the hole in the tower, then glances at a wall panel.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS161 	00:29:16,00 --> 00:29:20,50 	someone gazes at the man's canvass.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS179 	00:32:55,00 --> 00:33:04,50 	as the bare-chested someone lies on the table, the senator, the colonel, and other men gaze down at him from an observation booth.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS181 	00:33:48,00 --> 00:33:55,50 	gazing up at the observation booth, dr.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS201 	00:36:38,00 --> 00:36:50,50 	someone gazes at the pod as it dims, then goes dark.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS269 	00:49:10,00 --> 00:49:20,50 	sitting in the audience, the senator gazes behind himself at the applauding crowd and nods to his assistant.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS283 	00:54:00,00 --> 00:54:06,50 	someone gazes at agent someone, then stands and leafs through a stack of documents.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS349 	01:04:36,00 --> 01:04:41,50 	someone glances over one shoulder, then gazes at a wall map of europe with several small flags pinned to it.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS368 	01:07:01,00 --> 01:07:06,50 	as the flames rise higher, someone gazes around the factory.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS394 	01:11:57,00 --> 01:12:03,50 	still smiling, someone locks her eyes on someone as he gazes at the faces of the cheering soldiers all around him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS510 	01:31:46,00 --> 01:31:52,50 	everyone turns to someone who gazes ahead with a furrowed brow.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS529 	01:34:51,00 --> 01:34:58,50 	his chest heaves as he gazes up at someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS576 	01:39:41,00 --> 01:39:48,50 	someone stands and gazes up at someone clinging to the rising bomber.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS668 	01:52:34,00 --> 01:52:49,50 	someone runs into the middle of times square, then stops and gazes at the brightly lit signs and video screens all around him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS672 	01:53:20,00 --> 01:53:26,50 	someone blinks, then gazes at his surroundings.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS131 	00:10:51,00 --> 00:10:55,50 	someone gazes at two paddle boards stored overhead then over to a red long board.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS141 	00:11:29,00 --> 00:11:36,50 	someone rounds a corner and stops, gazing past a cliff to the ocean below.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS201 	00:16:15,00 --> 00:16:21,50 	he gazes after the van as it putters away.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS260 	00:20:12,00 --> 00:20:18,50 	staggering, he finds his balance then gazes out.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS309 	00:25:23,00 --> 00:25:28,50 	coming out of the shed, he gazes after someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS345 	00:32:25,00 --> 00:32:30,50 	someone gazes after his friend with a concerned frown
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS408 	00:38:34,00 --> 00:38:41,50 	standing together, someone and someone hold long boards and gaze out at the waves.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS488 	00:46:50,00 --> 00:46:56,50 	someone gazes nervously at someone's glare and swallows hard.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS493 	00:47:53,00 --> 00:47:59,50 	rubbing his arms, she lovingly gazes into his eyes.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS551 	00:53:18,00 --> 00:53:23,50 	someone grabs the letter and gazes longingly then turns it over in the box.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS704 	01:09:06,00 --> 01:09:11,50 	from underwater, we gaze up at the seasoned surfer.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS887 	01:26:35,00 --> 01:26:43,50 	silhouetted against the blue sky, someone and his three surfing buddies gaze out at the water.
CHRONICLE.srt 	CHRONICLE_DVS518 	01:13:46,00 --> 01:14:01,50 	with an arm shielding his eyes, he gazes skyward toward the chopper.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS114 	00:26:16,00 --> 00:26:21,50 	they separate and gaze into each other's eyes.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS147 	00:32:45,00 --> 00:32:52,50 	in the light snowfall, someone gazes up.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS205 	00:42:37,00 --> 00:42:57,50 	seated at a desk, someone gazes off and rubs his lips.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS272 	01:06:16,00 --> 01:06:21,50 	he gazes up into her eyes.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS468 	01:48:44,00 --> 01:48:48,50 	he again gazes at the ceiling.
COLOMBIANA.srt 	COLOMBIANA_DVS207 	00:17:49,00 --> 00:17:55,50 	he gazes at someone who sits in front of his desk.
COLOMBIANA.srt 	COLOMBIANA_DVS509 	00:46:07,00 --> 00:46:15,50 	his boss exhales a plume of smoke as he crosses to a railing and gazes out over his grounds.
COLOMBIANA.srt 	COLOMBIANA_DVS705 	01:06:22,00 --> 01:06:28,50 	he gazes at food on a nearby table then sits facing her.
COLOMBIANA.srt 	COLOMBIANA_DVS734 	01:09:30,00 --> 01:09:37,50 	grabbing his phone, he heads over and gazes down at the slumbering beauty.
DEAR_JOHN.srt 	DEAR_JOHN_DVS63 	00:08:20,00 --> 00:08:26,50 	they halt among tufted beach grass, and gaze up at the moon.
DEAR_JOHN.srt 	DEAR_JOHN_DVS116 	00:17:51,00 --> 00:17:57,50 	he happily gazes after her.
DEAR_JOHN.srt 	DEAR_JOHN_DVS119 	00:18:03,00 --> 00:18:17,50 	later, he sits straddling his board, gazing at the houses along the shore.
DEAR_JOHN.srt 	DEAR_JOHN_DVS121 	00:18:19,00 --> 00:18:26,50 	at her house, someone steps out on her screened-in porch, and gazes toward the beach.
DEAR_JOHN.srt 	DEAR_JOHN_DVS134 	00:21:56,00 --> 00:22:04,50 	someone gazes tenderly at someone.
DEAR_JOHN.srt 	DEAR_JOHN_DVS159 	00:24:51,00 --> 00:25:05,50 	now, tall reeds wave in a breeze as the young man hikes into view, and gazes ahead.
DEAR_JOHN.srt 	DEAR_JOHN_DVS202 	00:31:55,00 --> 00:32:05,50 	someone gazes off as he chews, then looks down at his plate.
DEAR_JOHN.srt 	DEAR_JOHN_DVS217 	00:34:18,00 --> 00:34:23,50 	someone gazes after her.
DEAR_JOHN.srt 	DEAR_JOHN_DVS235 	00:36:39,00 --> 00:36:43,50 	he gazes at passing trees.
DEAR_JOHN.srt 	DEAR_JOHN_DVS257 	00:40:37,00 --> 00:40:41,50 	she gazes at the moon.
DEAR_JOHN.srt 	DEAR_JOHN_DVS312 	00:48:23,00 --> 00:48:34,50 	as he gazes at her, thumbing her hair around her ear, she meets his gaze and smiles.
DEAR_JOHN.srt 	DEAR_JOHN_DVS356 	00:55:49,00 --> 00:55:59,50 	she leans on the railing, gazing out over the lawn as departing guests find their cars.
DEAR_JOHN.srt 	DEAR_JOHN_DVS363 	00:57:05,00 --> 00:57:10,50 	he gazes out at the wetlands as he waits a few feet away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS542 	01:17:05,00 --> 01:17:11,50 	he lifts his head and gazes out a window.
DEAR_JOHN.srt 	DEAR_JOHN_DVS565 	01:20:28,00 --> 01:20:33,50 	someone gazes at his son tenderly.
DEAR_JOHN.srt 	DEAR_JOHN_DVS621 	01:24:44,00 --> 01:24:49,50 	gazing back at him, she summons a deep breath.
DEAR_JOHN.srt 	DEAR_JOHN_DVS766 	01:40:57,00 --> 01:41:04,50 	nighttime, someone stands on her porch and gazes into the sky.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS150 	00:36:33,00 --> 00:36:40,50 	someone gazes at an upper floor.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS436 	01:46:59,00 --> 01:47:07,50 	someone and someone pull away and gaze at each other.
DISTRICT_9.srt 	DISTRICT_9_DVS87 	00:10:16,00 --> 00:10:34,50 	now from a helicopter we gaze over a soldier's rifle at the convoy of mnu trucks.
DISTRICT_9.srt 	DISTRICT_9_DVS440 	00:48:40,00 --> 00:48:56,50 	he stands, gazes out of the city, then hurries away.
DISTRICT_9.srt 	DISTRICT_9_DVS679 	01:19:34,00 --> 01:19:44,50 	someone gazes toward the crash site.
DISTRICT_9.srt 	DISTRICT_9_DVS741 	01:27:27,00 --> 01:27:47,50 	they gaze into the sky at the drifting mother ship.
DISTRICT_9.srt 	DISTRICT_9_DVS826 	01:37:23,00 --> 01:37:39,50 	inside, someone's son clings to him, gazing upward.
DISTRICT_9.srt 	DISTRICT_9_DVS860 	01:41:53,00 --> 01:41:57,50 	someone gazes pensively.
DISTRICT_9.srt 	DISTRICT_9_DVS861 	01:42:00,00 --> 01:42:26,50 	he gazes down at the child in his lap, then eyes the navigation screen.
EASY_A.srt 	EASY_A_DVS300 	01:26:45,00 --> 01:26:50,50 	the busty blonde gazes off tearfully.
FLIGHT.srt 	FLIGHT_DVS1147 	02:03:16,00 --> 02:03:22,50 	someone gazes at an enlarged photograph of someone on the screen.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS71 	00:18:07,00 --> 00:18:13,50 	he gazes about, full of wonder.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS131 	01:18:54,00 --> 01:19:07,50 	the musician gazes at the cheerful bespectacled boy
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS171 	01:31:40,00 --> 01:31:46,50 	someone gazes down at him sympathetically, then shakes his head.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS180 	01:40:06,00 --> 01:40:16,50 	they lie face to face gazing at each other lovingly and share a smile.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS118 	00:19:09,00 --> 00:19:18,50 	now we gaze down on someone as he lies in a hospital bed.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS266 	00:41:39,00 --> 00:41:51,50 	as someone struggles in ghost rider's grip, the flaming skeleton hurls him away then gazes into the distance.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS272 	00:42:19,00 --> 00:42:25,50 	someone's eyes widen as the rider gazes into them.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS317 	00:47:58,00 --> 00:48:03,50 	someone gazes steadily at his lackey.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS350 	00:52:18,00 --> 00:52:23,50 	someone gazes around.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS383 	00:56:30,00 --> 00:56:35,50 	he walks off and someone gazes thoughtfully.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS468 	01:08:03,00 --> 01:08:08,50 	the boy gazes up at him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS524 	01:14:44,00 --> 01:14:52,50 	gazing down on the stage, we find a shadow extending from someone's body as if reaching for someone.
GREEN_ZONE.srt 	GREEN_ZONE_DVS340 	01:16:29,00 --> 01:17:03,50 	halting, he gazes down a narrow passage between two of the hulking vehicles then treads through it.
GREEN_ZONE.srt 	GREEN_ZONE_DVS442 	01:37:17,00 --> 01:37:26,50 	stepping out from behind a low pile of rubble, someone plants his feet and gazes steadily at someone.
HUGO.srt 	HUGO_DVS68 	00:09:00,00 --> 00:09:06,50 	the inspector reaches the end of the platform and gazes around himself.
HUGO.srt 	HUGO_DVS94 	00:12:16,00 --> 00:12:23,50 	stopping his efforts, the boy gazes out the center of a clock face.
HUGO.srt 	HUGO_DVS105 	00:14:07,00 --> 00:14:14,50 	someone stands rooted to the floor, gazing out at the snowy paris streets beyond.
HUGO.srt 	HUGO_DVS151 	00:20:42,00 --> 00:20:50,50 	he steps slowly past marble statues and other works of antiquity and gazes at a pair of closed doors.
HUGO.srt 	HUGO_DVS269 	00:39:45,00 --> 00:39:52,50 	later, they stand in a street gazing up at a glowing theatre sign - le cinema.
HUGO.srt 	HUGO_DVS312 	00:47:52,00 --> 00:47:57,50 	someone twirls as she gazes around herself.
HUGO.srt 	HUGO_DVS362 	00:55:37,00 --> 00:55:46,50 	someone gazes up at someone's flat as she unlocks the front door.
HUGO.srt 	HUGO_DVS372 	00:56:39,00 --> 00:56:46,50 	she opens it and gazes down at the drawing of the rocket striking the eye of the man in the moon.
HUGO.srt 	HUGO_DVS418 	01:01:29,00 --> 01:01:34,50 	someone gazes around the room then steps inside.
HUGO.srt 	HUGO_DVS430 	01:02:46,00 --> 01:02:56,50 	someone turns toward someone, nods, then they both walk out of the room, gazing over their shoulders at someone and someone.
HUGO.srt 	HUGO_DVS461 	01:07:25,00 --> 01:07:30,50 	standing, he gazes at the floor, his shoulders hunched.
HUGO.srt 	HUGO_DVS478 	01:09:52,00 --> 01:09:59,50 	someone gazes up at a mural of a celestial figure shooting wind from his finger.
HUGO.srt 	HUGO_DVS502 	01:13:37,00 --> 01:13:42,50 	someone gazes at a photo of a bearded man.
HUGO.srt 	HUGO_DVS534 	01:20:02,00 --> 01:20:08,50 	inside the clock tower, someone and someone gaze down upon the city.
HUGO.srt 	HUGO_DVS552 	01:22:02,00 --> 01:22:09,50 	wearing a nightgown, someone gazes at the automaton, which sits across the room from him.
HUGO.srt 	HUGO_DVS583 	01:24:44,00 --> 01:24:50,50 	someone gazes toward the dangling strap that held his watch,
HUGO.srt 	HUGO_DVS762 	01:50:49,00 --> 01:50:57,50 	the inspector gazes up at it.
IN_TIME.srt 	IN_TIME_DVS194 	00:20:31,00 --> 00:20:39,50 	someone gazes in at the bus's remaining passengers, then watches the vehicle glide away.
IN_TIME.srt 	IN_TIME_DVS283 	00:28:46,00 --> 00:28:50,50 	he gazes at her.
IN_TIME.srt 	IN_TIME_DVS344 	00:35:50,00 --> 00:35:57,50 	as someone steps into the party, someone smirks and someone gazes discreetly after him.
IN_TIME.srt 	IN_TIME_DVS371 	00:39:08,00 --> 00:39:13,50 	she gazes longingly toward the ocean.
IN_TIME.srt 	IN_TIME_DVS372 	00:39:10,00 --> 00:39:21,50 	now, from underwater, we gaze up at the silhouetted naked forms of someone and someone as they swim side by side.
IN_TIME.srt 	IN_TIME_DVS384 	00:40:21,00 --> 00:40:26,50 	someone gazes after her and follows.
IN_TIME.srt 	IN_TIME_DVS470 	00:50:45,00 --> 00:50:51,50 	at the wheel, someone gazes down at the wrecked roadster.
IN_TIME.srt 	IN_TIME_DVS511 	00:54:57,00 --> 00:55:04,50 	someone gazes at a building's neon sign which reads mission out of time.
IN_TIME.srt 	IN_TIME_DVS527 	00:56:55,00 --> 00:57:02,50 	gazing at herself in a small mirror, she adjusts her straight auburn hair.
IN_TIME.srt 	IN_TIME_DVS529 	00:57:04,00 --> 00:57:10,50 	later, he gazes out a window at the mission's neon sign.
IN_TIME.srt 	IN_TIME_DVS535 	00:57:49,00 --> 00:57:53,50 	she gazes up at him.
IN_TIME.srt 	IN_TIME_DVS555 	00:59:39,00 --> 00:59:47,50 	as her clock begins to count down, someone lifts her head off the pillow and gazes at it.
IN_TIME.srt 	IN_TIME_DVS595 	01:03:35,00 --> 01:03:44,50 	someone lowers his phone from his ear and gazes at it.
IN_TIME.srt 	IN_TIME_DVS619 	01:06:08,00 --> 01:06:13,50 	the chauffeur rolls it down and gazes out.
IN_TIME.srt 	IN_TIME_DVS639 	01:08:34,00 --> 01:08:41,50 	as he gazes at her, she lifts her eyes to his with a meaningful look.
IN_TIME.srt 	IN_TIME_DVS660 	01:11:48,00 --> 01:11:53,50 	someone gazes off thoughtfully.
IN_TIME.srt 	IN_TIME_DVS765 	01:20:52,00 --> 01:20:57,50 	the traveler gazes after the outlaws.
IN_TIME.srt 	IN_TIME_DVS786 	01:22:43,00 --> 01:22:48,50 	someone gazes at it through a hotel window.
IN_TIME.srt 	IN_TIME_DVS788 	01:22:53,00 --> 01:23:00,50 	their smiles fade and they gaze off thoughtfully in different directions.
IN_TIME.srt 	IN_TIME_DVS811 	01:26:09,00 --> 01:26:18,50 	someone gazes steadily at his foe and breathes deeply through flared nostrils.
IN_TIME.srt 	IN_TIME_DVS821 	01:27:16,00 --> 01:27:23,50 	now, someone gazes at the four dead minutemen who lie face down on a sidewalk.
IN_TIME.srt 	IN_TIME_DVS963 	01:41:11,00 --> 01:41:15,50 	someone gazes into his empty vault.
IN_TIME.srt 	IN_TIME_DVS976 	01:42:27,00 --> 01:42:34,50 	someone gazes up the wide steps leading to a stately building.
IRON_MAN_2.srt 	IRON_MAN_2_DVS120 	00:23:18,00 --> 00:23:25,50 	the men turn and gaze at a young woman with long dark-brown hair, who walks into the gym carrying paperwork.
IRON_MAN_2.srt 	IRON_MAN_2_DVS258 	00:48:14,00 --> 00:48:18,50 	someone gazes at someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS336 	01:00:15,00 --> 01:00:24,50 	a dark-haired man, major allen, turns to his left and gazes into the distant sky.
IRON_MAN_2.srt 	IRON_MAN_2_DVS344 	01:01:27,00 --> 01:01:36,50 	wearing a long black leather coat, goateed someone fury, a tall bald man with an eye patch over his left eye, gazes up at someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS482 	01:26:44,00 --> 01:26:50,50 	he gazes at the triangle, which contains the glowing element.
IRON_MAN_2.srt 	IRON_MAN_2_DVS527 	01:35:27,00 --> 01:35:35,50 	someone gazes off into the night sky.
IRON_MAN_2.srt 	IRON_MAN_2_DVS599 	01:43:23,00 --> 01:43:42,50 	someone gazes down the hallway at the many guards lying on the floor.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS60 	00:17:37,00 --> 00:17:45,50 	someone uncomfortably arches her brows, then gives a sad blink and gazes at the ceiling.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS192 	01:00:17,00 --> 01:00:23,50 	as she gazes at a door it open the door.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS203 	01:01:14,00 --> 01:01:20,50 	downstairs, someone tensely gazes past someone and the wedding consultant.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS215 	01:04:03,00 --> 01:04:09,50 	someone gazes off pensively and someone looks away.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS363 	01:41:54,00 --> 01:42:25,50 	in her suv, someone gazes back at her mother's house as she and someone drive away.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS363 	01:41:54,00 --> 01:42:25,50 	someone gazes back at her then looks away and opens the driver side door.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS387 	01:49:10,00 --> 01:49:16,50 	he gives a gentle grin and she gazes at him earnestly.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS402 	01:52:43,00 --> 01:53:01,50 	she looks away from him then leans one elbow on the armrest and gazes off thoughtfully.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS245 	00:49:11,00 --> 00:49:17,50 	he furrows his brows, stands up, and gazes toward the woods.
