21_JUMP_STREET.srt 	21_JUMP_STREET_DVS150 	00:23:42,00 --> 00:23:47,50 	he kisses her, then sees the newcomers.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS342 	00:48:54,00 --> 00:49:00,50 	she rests her hands on his shoulders and they kiss.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS351 	00:50:19,00 --> 00:50:24,50 	someone kisses someone on the cheek.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS448 	01:04:18,00 --> 01:04:25,50 	turning around, he returns to his father's desk and kisses his sunken cheek.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS449 	01:04:24,00 --> 01:04:30,50 	the boy goes to his namesake who kisses his cheek.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS465 	01:06:08,00 --> 01:06:15,50 	she takes his hand and kisses his wrist.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS496 	01:19:32,00 --> 01:19:38,50 	someone closes her eyes and they kiss.
BLINDDATING.srt 	BLINDDATING_DVS155 	00:40:59,00 --> 00:41:07,50 	he nuzzles her cheek, then kisses her tenderly.
BLINDDATING.srt 	BLINDDATING_DVS245 	00:58:58,00 --> 00:59:03,50 	she kisses his cheek.
BLINDDATING.srt 	BLINDDATING_DVS289 	01:12:13,00 --> 01:12:27,50 	wearing a peaceful gaze, she strides eagerly to his bedside, leans in and kisses his cheek.
BLINDDATING.srt 	BLINDDATING_DVS356 	01:27:35,00 --> 01:27:53,50 	someone's father watches the kissing couple with a wistful smile.
BLINDDATING.srt 	BLINDDATING_DVS367 	01:30:38,00 --> 01:30:43,50 	he gently kisses her.
BRUNO.srt 	BRUNO_DVS114 	00:25:16,00 --> 00:25:41,50 	someone stands and mimes kissing someone's ghost.
BURLESQUE.srt 	BURLESQUE_DVS530 	01:13:40,00 --> 01:13:44,50 	he kisses someone' cheek.
BURLESQUE.srt 	BURLESQUE_DVS559 	01:22:27,00 --> 01:22:32,50 	someone kisses damon.
BURLESQUE.srt 	BURLESQUE_DVS566 	01:24:09,00 --> 01:24:13,50 	he kisses her cheek.
BURLESQUE.srt 	BURLESQUE_DVS606 	01:28:58,00 --> 01:29:04,50 	he kisses her smooth neck and they share a peck on the lips.
BURLESQUE.srt 	BURLESQUE_DVS610 	01:29:10,00 --> 01:29:15,50 	they kiss again.
BURLESQUE.srt 	BURLESQUE_DVS727 	01:49:49,00 --> 01:49:57,50 	he leans in and they kiss.
BURLESQUE.srt 	BURLESQUE_DVS731 	01:50:04,00 --> 01:50:10,50 	he moves in to kiss her again, then pulls back with a smile.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS79 	00:11:58,00 --> 00:12:12,50 	he hands his top hat to one of the models, then kisses her on the lips.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS425 	01:17:06,00 --> 01:17:14,50 	she pulls him closer and kisses him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS569 	01:38:59,00 --> 01:39:04,50 	someone grabs someone, pulls him close, and kisses him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS104 	00:08:23,00 --> 00:08:28,50 	he leans down and kisses her.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS714 	01:10:21,00 --> 01:10:26,50 	he kisses her lips and dips her.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS913 	01:29:32,00 --> 01:29:36,50 	as they part, she then kisses him again.
CHRONICLE.srt 	CHRONICLE_DVS234 	00:33:17,00 --> 00:33:22,50 	he falls with the shy teen then kisses him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS15 	00:03:24,00 --> 00:03:29,50 	someone kisses the cash and tucks it away.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS26 	00:06:48,00 --> 00:06:56,50 	letting them back down, she grabs him by the collar and kisses him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS44 	00:09:16,00 --> 00:09:22,50 	she kisses her daughter's head as someone puts on his shoes.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS46 	00:09:30,00 --> 00:09:34,50 	someone kisses someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS57 	00:11:21,00 --> 00:11:27,50 	as someone eats with her hands, her father leans over the table and kiss his wife.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS125 	00:28:19,00 --> 00:28:25,50 	she cups his cheeks and kisses him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS273 	01:06:22,00 --> 01:06:34,50 	someone grins and kisses her.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS309 	01:14:29,00 --> 01:14:34,50 	someone kisses someone on the cheek.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS437 	01:45:15,00 --> 01:45:23,50 	his shoulders shift beneath his crisp blue suit as he takes a few steps toward her and kisses her pale cheek.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS438 	01:45:22,00 --> 01:45:30,50 	he smooths someone's hair and kisses her.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS440 	01:45:34,00 --> 01:45:38,50 	someone kisses someone's forehead.
COLOMBIANA.srt 	COLOMBIANA_DVS88 	00:06:51,00 --> 00:06:57,50 	releasing her hand, he draws her in and kisses her brow.
COLOMBIANA.srt 	COLOMBIANA_DVS98 	00:07:59,00 --> 00:08:04,50 	he kisses her hands then pats her cheek.
COLOMBIANA.srt 	COLOMBIANA_DVS280 	00:23:29,00 --> 00:23:35,50 	he kisses her forehead three times then hugs her again.
COLOMBIANA.srt 	COLOMBIANA_DVS564 	00:51:35,00 --> 00:51:44,50 	she lifts her head ecstatically and tilts it side to side as the handsome artist nibbles her neck and kisses her chest.
COLOMBIANA.srt 	COLOMBIANA_DVS603 	00:57:00,00 --> 00:57:05,50 	she kisses pepe's cheek.
COLOMBIANA.srt 	COLOMBIANA_DVS708 	01:06:40,00 --> 01:06:46,50 	she kisses someone lustfully, running her fingers through his hair.
DEAR_JOHN.srt 	DEAR_JOHN_DVS136 	00:22:04,00 --> 00:22:09,50 	opening her mouth, she kisses him hungrily.
DEAR_JOHN.srt 	DEAR_JOHN_DVS167 	00:26:31,00 --> 00:26:36,50 	pulling her closer, someone kisses her brow.
DEAR_JOHN.srt 	DEAR_JOHN_DVS169 	00:26:50,00 --> 00:26:56,50 	her lips creep into a faint smile, and he kisses her brow again.
DEAR_JOHN.srt 	DEAR_JOHN_DVS210 	00:33:14,00 --> 00:33:19,50 	he kisses her smooth forehead.
DEAR_JOHN.srt 	DEAR_JOHN_DVS216 	00:34:07,00 --> 00:34:17,50 	she turns her face toward his and kisses him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS308 	00:48:03,00 --> 00:48:08,50 	as he spins her around, they kiss.
DEAR_JOHN.srt 	DEAR_JOHN_DVS365 	00:58:22,00 --> 00:58:29,50 	she meets his gaze, then draws his face closer and kisses his forehead.
DEAR_JOHN.srt 	DEAR_JOHN_DVS367 	00:58:39,00 --> 00:58:44,50 	he caresses her hair, then lovingly kisses her.
DEAR_JOHN.srt 	DEAR_JOHN_DVS370 	00:58:59,00 --> 00:59:08,50 	then wraps her arms around his neck and kisses him hungrily.
DEAR_JOHN.srt 	DEAR_JOHN_DVS371 	00:59:11,00 --> 00:59:19,50 	as someone kisses someone's neck, she lowers her dress and presses her body against his.
DEAR_JOHN.srt 	DEAR_JOHN_DVS377 	00:59:44,00 --> 00:59:53,50 	he kisses her shoulder, then trails his lips from the tip of her chin, down her neck, and gently caresses her hair.
DEAR_JOHN.srt 	DEAR_JOHN_DVS380 	00:59:59,00 --> 01:00:03,50 	they kiss sweetly.
DEAR_JOHN.srt 	DEAR_JOHN_DVS403 	01:01:57,00 --> 01:02:04,50 	clasping his neck, someone kisses someone, then rests her forehead against his.
DEAR_JOHN.srt 	DEAR_JOHN_DVS404 	01:02:02,00 --> 01:02:07,50 	he lifts his lips and kisses the top of her head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS409 	01:02:31,00 --> 01:02:40,50 	she cups someone's face in her hands as she kisses him one last time, then turns away and strides out of the airport.
DEAR_JOHN.srt 	DEAR_JOHN_DVS656 	01:28:54,00 --> 01:28:58,50 	she kisses him.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS72 	00:10:48,00 --> 00:10:52,50 	they kiss and hug.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS433 	01:46:52,00 --> 01:46:57,50 	they lean in and kiss tenderly.
DISTRICT_9.srt 	DISTRICT_9_DVS324 	00:35:36,00 --> 00:35:40,50 	someone kisses someone's cheek.
EASY_A.srt 	EASY_A_DVS60 	00:21:02,00 --> 00:21:06,50 	she kisses her mom.
EASY_A.srt 	EASY_A_DVS157 	00:50:38,00 --> 00:50:43,50 	as they kiss, he gropes her rear.
EASY_A.srt 	EASY_A_DVS168 	00:53:44,00 --> 00:53:52,50 	she kisses her fingers, pats her hand over her heart, then raises it skyward.
EASY_A.srt 	EASY_A_DVS232 	01:12:28,00 --> 01:12:33,50 	he kisses her.
EASY_A.srt 	EASY_A_DVS270 	01:21:48,00 --> 01:21:52,50 	the mother kisses her daughter's head.
EASY_A.srt 	EASY_A_DVS278 	01:23:33,00 --> 01:23:39,50 	someone kisses someone's cheek and gives her the feather boa.
FLIGHT.srt 	FLIGHT_DVS238 	00:50:15,00 --> 00:50:19,50 	he kisses the photograph.
FLIGHT.srt 	FLIGHT_DVS399 	01:03:17,00 --> 01:03:23,50 	they kiss.
FLIGHT.srt 	FLIGHT_DVS582 	01:19:25,00 --> 01:19:30,50 	he kisses her, and leaves.
FLIGHT.srt 	FLIGHT_DVS613 	01:27:13,00 --> 01:27:19,50 	he jumps off the ladder and hustles over to someone, kissing her.
FLIGHT.srt 	FLIGHT_DVS675 	01:31:25,00 --> 01:31:31,50 	he kisses her, and she allows him to pull her into an embrace.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS98 	00:25:37,00 --> 00:25:43,50 	someone drops the flowers and kisses someone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS121 	00:32:47,00 --> 00:32:51,50 	she kisses him.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS129 	00:35:09,00 --> 00:35:19,50 	now someone clutches a caricature of him and someone, as they burst into her apartment, kissing passionately.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS198 	00:52:59,00 --> 00:53:08,50 	the woman plants kisses down his lifted arms toward his armpit.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS232 	01:01:48,00 --> 01:01:53,50 	by the ocean, someone kisses her father's cheek.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS246 	01:07:20,00 --> 01:07:37,50 	someone kisses her back then gives a
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS256 	01:08:29,00 --> 01:08:37,50 	now he rests a hand on her heaving chest as he plants kisses along her thigh.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS257 	01:08:35,00 --> 01:08:49,50 	later they lie beneath the sheets as they kiss with mounting intensity.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS30 	00:20:31,00 --> 00:20:35,50 	he kisses his cheeks.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS145 	01:25:16,00 --> 01:25:21,50 	someone and someone lean close to kiss.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS147 	01:25:35,00 --> 01:25:41,50 	later someone and someone lie facing each other, kissing tenderly.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS152 	01:26:24,00 --> 01:26:29,50 	someone angrily seizes someone and kisses him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS71 	00:11:35,00 --> 00:11:40,50 	she smiles then kisses his brow.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS289 	00:44:40,00 --> 00:44:47,50 	sitting beside someone, she wraps an arm around him and kisses his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS382 	00:56:21,00 --> 00:56:26,50 	he kisses the bottle then looks at someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS509 	01:13:31,00 --> 01:13:36,50 	someone kisses his friend on each cheek.
GREEN_ZONE.srt 	GREEN_ZONE_DVS80 	00:21:53,00 --> 00:21:59,50 	they kiss cheeks and someone joins the other men in the living room.
GREEN_ZONE.srt 	GREEN_ZONE_DVS81 	00:21:59,00 --> 00:22:08,50 	an older bald gentleman respectfully kisses someone's cheeks.
HUGO.srt 	HUGO_DVS365 	00:55:59,00 --> 00:56:04,50 	someone kisses someone, who sits and sews.
HUGO.srt 	HUGO_DVS480 	01:10:16,00 --> 01:10:27,50 	onscreen a mustached man kisses a woman.
HUGO.srt 	HUGO_DVS545 	01:21:31,00 --> 01:21:36,50 	she leans forward and kisses someone on the cheek
HUGO.srt 	HUGO_DVS653 	01:33:53,00 --> 01:33:58,50 	someone raises someone's hands to his lips and kisses it.
HUGO.srt 	HUGO_DVS706 	01:43:43,00 --> 01:43:48,50 	smiling, he steps forward and kisses her hands.
IN_TIME.srt 	IN_TIME_DVS28 	00:03:35,00 --> 00:03:39,50 	he kisses her cheek.
IN_TIME.srt 	IN_TIME_DVS723 	01:17:30,00 --> 01:17:34,50 	in the room, someone kisses someone's neck.
IN_TIME.srt 	IN_TIME_DVS947 	01:39:41,00 --> 01:39:47,50 	he caresses her cheek, then leans in and kisses her.
IN_TIME.srt 	IN_TIME_DVS961 	01:40:57,00 --> 01:41:01,50 	cupping her face, he kisses her.
INSIDE_MAN.srt 	INSIDE_MAN_DVS403 	01:54:30,00 --> 01:54:38,50 	someone grips hands with his muscular accomplice, then kisses someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS427 	02:01:24,00 --> 02:01:31,50 	wearing sexy lingerie, someone's girlfriend sits up and kisses him passionately.
IRON_MAN_2.srt 	IRON_MAN_2_DVS684 	01:53:15,00 --> 01:53:19,50 	someone kisses pepper.
IRON_MAN_2.srt 	IRON_MAN_2_DVS685 	01:53:21,00 --> 01:53:28,50 	they stop kissing and gaze at each other.
IRON_MAN_2.srt 	IRON_MAN_2_DVS686 	01:53:32,00 --> 01:53:36,50 	they kiss.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS92 	00:27:29,00 --> 00:27:36,50 	he kisses her cheek.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS105 	00:33:36,00 --> 00:33:41,50 	he goes to kiss her then picks her up instead.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS108 	00:34:21,00 --> 00:34:25,50 	he leans in and kisses her.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS113 	00:34:57,00 --> 00:35:01,50 	he kisses her shoulder.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS225 	01:06:11,00 --> 01:06:24,50 	in the suite, someone hugs someone from behind and kisses her neck.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS227 	01:06:58,00 --> 01:07:03,50 	someone kisses her and leaves.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS258 	01:14:16,00 --> 01:14:25,50 	at the front door, someone hugs and kisses her father goodbye.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS270 	01:16:39,00 --> 01:16:43,50 	she clumsily kisses him.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS310 	01:29:56,00 --> 01:30:02,50 	he kisses the inside of her wrist and wraps his hand around hers.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS312 	01:30:13,00 --> 01:30:18,50 	they start to kiss again.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS433 	01:20:39,00 --> 01:20:42,50 	they kiss.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS99 	00:16:05,00 --> 00:16:10,50 	someone grins, and someone kisses her on the cheek.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS134 	00:23:39,00 --> 00:23:43,50 	someone kisses someone.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS138 	00:24:29,00 --> 00:24:34,50 	setting the book aside, someone kisses her.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS184 	00:34:49,00 --> 00:34:54,50 	someone pulls her unto his lap, and kisses her.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS222 	00:42:03,00 --> 00:42:07,50 	she kisses him.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS223 	00:42:05,00 --> 00:42:10,50 	he kisses her hungrily.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS308 	01:00:40,00 --> 01:00:44,50 	she kisses his cheek.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS315 	01:01:34,00 --> 01:01:40,50 	she kisses his cheek, then faces the priest with someone.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS323 	01:03:15,00 --> 01:03:22,50 	nearby, someone bends and nuzzles someone, then kisses his forehead.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS325 	01:03:25,00 --> 01:03:31,50 	later, he kisses her neck as they dance toward the newlyweds.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS337 	01:04:51,00 --> 01:04:56,50 	he tenderly kisses her forehead.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS525 	01:43:53,00 --> 01:43:58,50 	she dives on top of him, and kisses him repeatedly.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS543 	01:48:18,00 --> 01:48:22,50 	he kisses her hand.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS544 	01:48:21,00 --> 01:48:26,50 	he wraps his arm around her and kisses her forehead.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS45 	00:12:54,00 --> 00:13:03,50 	someone leans in and kisses him.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS125 	00:45:05,00 --> 00:45:12,50 	a bespectacled someone kisses someone on the lips until she pushes him off.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS140 	00:52:58,00 --> 00:53:03,50 	he kisses someone's cheek.
KARATE_KID.srt 	KARATE_KID_DVS838 	01:09:24,00 --> 01:09:31,50 	the spotlight projects the children's shadows onto the screen as they kiss.
KARATE_KID.srt 	KARATE_KID_DVS839 	01:09:28,00 --> 01:09:34,50 	a puppeteer lights a sparkler behind the kissing puppets, brightening their image within the shadow of the kissing youngsters.
KARATE_KID.srt 	KARATE_KID_DVS839 	01:09:28,00 --> 01:09:34,50 	a puppeteer lights a sparkler behind the kissing puppets, brightening their image within the shadow of the kissing youngsters.
KARATE_KID.srt 	KARATE_KID_DVS1034 	01:23:50,00 --> 01:23:57,50 	the mother smiles at the man, then goes to her sleeping son.she kisses someone's forehead and caresses his cheek.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS111 	00:26:56,00 --> 00:27:07,50 	later someone steps into a car and kisses someone, who sits in the driver seat.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS158 	00:45:17,00 --> 00:45:20,50 	they hug and kiss.
KNOCKED_UP.srt 	KNOCKED_UP_DVS68 	00:40:32,00 --> 00:40:42,50 	neve campbell kisses a topless denise richards in a swimming pool.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS210 	01:14:53,00 --> 01:14:58,50 	someone stops kissing her.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS233 	00:54:41,00 --> 00:54:47,50 	she wraps her arms around his neck and kisses him on the cheek.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS262 	01:02:38,00 --> 01:02:55,50 	they kiss.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS34 	00:13:44,00 --> 00:13:48,50 	nuzzling and kissing him.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS60 	00:21:20,00 --> 00:21:28,50 	with one hand on someone's waist and the other on his neck, someone kisses both of the older man's cheeks.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS61 	00:21:38,00 --> 00:21:44,50 	he slaps his hands to someone's face and kisses him again.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS125 	00:45:54,00 --> 00:45:58,50 	she kisses his cheek.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS127 	00:46:39,00 --> 00:46:51,50 	she kisses her finger then blows him the kiss.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS156 	00:55:32,00 --> 00:56:04,50 	leaning in, someone opens the zebra print page then scrolls down to find the photo of someone kissing someone on the cheek.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS224 	01:20:17,00 --> 01:20:22,50 	kissing as the twins hug them.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS262 	01:25:01,00 --> 01:25:06,50 	meanwhile, someone kisses her.
MORNING_GLORY.srt 	MORNING_GLORY_DVS178 	00:40:40,00 --> 00:40:45,50 	a tall, slender blonde kisses him.
MORNING_GLORY.srt 	MORNING_GLORY_DVS211 	00:48:07,00 --> 00:48:12,50 	she kisses him and leaves.
MORNING_GLORY.srt 	MORNING_GLORY_DVS265 	00:59:40,00 --> 00:59:45,50 	she grabs him and kisses him hard.
MORNING_GLORY.srt 	MORNING_GLORY_DVS280 	01:01:33,00 --> 01:01:38,50 	she kisses him tenderly on the lips and heads off.
MORNING_GLORY.srt 	MORNING_GLORY_DVS405 	01:29:10,00 --> 01:29:17,50 	someone leans over and kisses someone on the cheek, then wipes off her lipstick someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS283 	00:37:49,00 --> 00:37:55,50 	as she turns to someone, they almost kiss, but hug instead.
