A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS170 	00:15:25,00 --> 00:15:30,50 	the old man averts his gaze and faces the courtroom.
THE_VOW.srt 	THE_VOW_DVS411 	00:57:19,00 --> 00:57:26,50 	someone averts his considerate gaze, shakes his head and shifts on his feet.
THE_VOW.srt 	THE_VOW_DVS574 	01:20:01,00 --> 01:20:06,50 	someone averts her regretful gaze.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS29 	00:06:36,00 --> 00:06:41,50 	the woman averts her gloomy gaze.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS190 	00:46:02,00 --> 00:46:08,50 	averting her gaze, she takes a sip, then returns the drink.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS411 	01:36:06,00 --> 01:36:14,50 	he uncomfortably averts his eyes, then opens the driver's side door and a businessman climbs out.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS627 	01:09:21,00 --> 01:09:28,50 	his coach swaggers closer and averts his eyes, then whirls to face someone.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS168 	00:29:19,00 --> 00:29:23,50 	someone shyly averts his gaze.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS221 	00:28:21,00 --> 00:28:26,50 	she steps closer, averting her gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS927 	01:25:34,00 --> 01:25:39,50 	she averts her outraged gaze.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1326 	02:00:24,00 --> 02:00:29,50 	beast averts his gaze.
ZOMBIELAND.srt 	ZOMBIELAND_DVS327 	00:37:10,00 --> 00:37:16,50 	someone averts her aim as well, setting her handgun in her lap.
ZOOKEEPER.srt 	ZOOKEEPER_DVS157 	00:35:29,00 --> 00:35:35,50 	the wolf crosses to a nearby fence, averting his gaze.
