21_JUMP_STREET.srt 	21_JUMP_STREET_DVS396 	01:07:09,00 --> 01:07:16,50 	the window behind her shows someone and his black gay friend furtively carrying a piata.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS143 	00:24:26,00 --> 00:24:31,50 	someone walks in carrying a liquor bottle.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS236 	00:41:16,00 --> 00:41:24,50 	carrying the boy, someone runs down an alley, then fires back at someone as he ducks behind a metal tank.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS288 	00:55:18,00 --> 00:55:24,50 	putting on a brown leather jacket, someone carries his bag and shield to a parked jeep.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS493 	01:25:58,00 --> 01:26:05,50 	someone enters the room carrying a food tray.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS540 	01:35:54,00 --> 01:36:06,50 	someone carries a machine gun as she runs alongside the advancing soldiers.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS198 	00:15:47,00 --> 00:15:53,50 	someone and blond carry their surfboards down the street.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS246 	00:19:14,00 --> 00:19:22,50 	carrying a cherry red board, someone joins the men and greets the shorthaired one with a casual handclasp.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS326 	00:28:19,00 --> 00:28:24,50 	someone jogs into view, carrying a surfboard.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS328 	00:28:32,00 --> 00:28:37,50 	now in wetsuits, they each carry a board.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS330 	00:29:03,00 --> 00:29:08,50 	now, they carry the boards into the surf.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS358 	00:33:39,00 --> 00:33:46,50 	working on the roof, someone climbs down a ladder and carries his tools over.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS570 	00:55:02,00 --> 00:55:11,50 	clad in a wetsuit and carrying a surfboard, someone climbs over a barrier fence and takes a seat next to a brooding blond.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS809 	01:19:55,00 --> 01:20:02,50 	someone hurriedly takes down the other board, ducks down, and carries it from the shed.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS819 	01:20:52,00 --> 01:20:58,50 	as the current carries the plastic cap away, someone's eyes widen.
CHRONICLE.srt 	CHRONICLE_DVS262 	00:40:28,00 --> 00:40:34,50 	later, we share the camera's perspective as someone carries it downstairs.
CHRONICLE.srt 	CHRONICLE_DVS461 	01:07:25,00 --> 01:07:30,50 	someone carries his limp, soot-covered uncle to the ground.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS89 	00:16:16,00 --> 00:16:23,50 	someone clings to his father who carries him down the sidewalk patting his back.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS350 	01:26:45,00 --> 01:26:51,50 	someone watches medics carry a body away on a stretcher.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS355 	01:27:20,00 --> 01:27:25,50 	as he watches them carry someone away.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS396 	01:36:19,00 --> 01:36:25,50 	now, a waiter carries a covered silver tray into an elegant club.
COLOMBIANA.srt 	COLOMBIANA_DVS562 	00:51:29,00 --> 00:51:35,50 	someone's legs grip his waist as he carries her to the sofa.
COLOMBIANA.srt 	COLOMBIANA_DVS636 	00:59:55,00 --> 01:00:01,50 	she carries the gun at her side, her finger crooked around the trigger.
DEAR_JOHN.srt 	DEAR_JOHN_DVS73 	00:10:17,00 --> 00:10:25,50 	later, someone hobbles down a deserted road in his flip-flops, carrying his surfboard under one arm.
DEAR_JOHN.srt 	DEAR_JOHN_DVS80 	00:12:26,00 --> 00:12:30,50 	he carries his board toward the house.
DEAR_JOHN.srt 	DEAR_JOHN_DVS122 	00:18:23,00 --> 00:18:29,50 	now she walks with someone, as he carries his board from the water.
DEAR_JOHN.srt 	DEAR_JOHN_DVS149 	00:24:06,00 --> 00:24:14,50 	as his father paces in the living room, someone carries his girlfriend upstairs.
DEAR_JOHN.srt 	DEAR_JOHN_DVS228 	00:35:30,00 --> 00:35:37,50 	each carrying a duffel.
DEAR_JOHN.srt 	DEAR_JOHN_DVS388 	01:00:25,00 --> 01:00:32,50 	someone carries her heels, and she wears his jacket over her dress.
DEAR_JOHN.srt 	DEAR_JOHN_DVS451 	01:06:15,00 --> 01:06:25,50 	now, someone's dark-haired buddy carries a letter in one hand, and the mailbag in the other, as he enters the fenced-in base camp.
DEAR_JOHN.srt 	DEAR_JOHN_DVS464 	01:08:00,00 --> 01:08:09,50 	he extracts the metal box and carries it outside.
DEAR_JOHN.srt 	DEAR_JOHN_DVS531 	01:16:22,00 --> 01:16:30,50 	wearing his army uniform, and carrying two bags, someone mounts the steps to his dad's house.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS43 	00:03:36,00 --> 00:03:46,50 	three office workers - someone, someone and someone - watch a man carry a box of things to a car in the car park below.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS46 	00:05:05,00 --> 00:05:14,50 	carrying a large plastic box, someone steps out of an elevator followed by someone and several other workers.
DISTRICT_9.srt 	DISTRICT_9_DVS847 	01:40:15,00 --> 01:40:28,50 	it carries him to the holographic navigation frame.
EASY_A.srt 	EASY_A_DVS52 	00:17:42,00 --> 00:17:49,50 	outside woodchuck someone carries the head of his costume as he falls into step with someone.
EASY_A.srt 	EASY_A_DVS312 	01:27:45,00 --> 01:27:51,50 	the mower carries them up a tree-lined road on a hill.
FLIGHT.srt 	FLIGHT_DVS42 	00:06:33,00 --> 00:06:40,50 	a woman steps out of a room at hotel atlanta, carrying a folded up massage table.
FLIGHT.srt 	FLIGHT_DVS166 	00:34:44,00 --> 00:34:52,50 	he strides through the corridors, carrying a bag in his hand, and another slung over his shoulder.
FLIGHT.srt 	FLIGHT_DVS209 	00:47:30,00 --> 00:47:37,50 	someone carries a plastic bag into the kitchen, and places it on a dining table.
FLIGHT.srt 	FLIGHT_DVS232 	00:49:36,00 --> 00:49:44,50 	he lifts the balding plastic trash bag out of the trash can, and carries it outside.
FLIGHT.srt 	FLIGHT_DVS386 	01:02:16,00 --> 01:02:21,50 	carrying the pillow, she walks to someone, kneels down beside him, and removes the ice pack from his knee.
FLIGHT.srt 	FLIGHT_DVS523 	01:15:32,00 --> 01:15:41,50 	at a church, a large, framed picture of someone stands surrounded by flowers, as a coffin is carried out.
FLIGHT.srt 	FLIGHT_DVS681 	01:32:16,00 --> 01:32:22,50 	she carries a suitcase and a basket, and walks away from the house.
FLIGHT.srt 	FLIGHT_DVS915 	01:48:54,00 --> 01:49:00,50 	someone exits an elevator, carrying three coffees.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS154 	00:41:20,00 --> 00:41:24,50 	he carries her shoes past the
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS169 	00:46:52,00 --> 00:46:58,50 	now in central park they carry sandwiches
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS181 	01:40:23,00 --> 01:40:28,50 	they carry out the mattress.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS136 	00:21:11,00 --> 00:21:19,50 	carrying a briefcase, he pulls out a sleek cellphone, slides it open and answers it.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS216 	00:35:00,00 --> 00:35:40,50 	a bearded man exits an suv and his men carry out two military crates.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS566 	01:21:18,00 --> 01:21:51,50 	ahead, an suv carrying gunmen pulls up beside ghost rider's truck.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS607 	01:26:46,00 --> 01:26:52,50 	ghost rider carries the boy to his mother.
GROWN_UPS.srt 	GROWN_UPS_DVS87 	00:26:20,00 --> 00:26:25,50 	he carries his sons out.
GROWN_UPS.srt 	GROWN_UPS_DVS107 	00:34:43,00 --> 00:34:47,50 	someone carries a shoebox.
GROWN_UPS.srt 	GROWN_UPS_DVS129 	00:40:44,00 --> 00:40:51,50 	the island, someone carries a bucket of kfc and someone totes a boom box.
HUGO.srt 	HUGO_DVS160 	00:21:55,00 --> 00:22:00,50 	later, someone carries the automaton.
HUGO.srt 	HUGO_DVS505 	01:14:32,00 --> 01:14:40,50 	beyond slowly swimming fish, a mermaid with hair flowing over her shoulders carries a staff.
HUGO.srt 	HUGO_DVS517 	01:15:45,00 --> 01:15:57,50 	the mermaid carrying a staff strolls past the three women.
HUGO.srt 	HUGO_DVS609 	01:27:39,00 --> 01:27:45,50 	carrying cases, someone and someone step inside.
HUGO.srt 	HUGO_DVS699 	01:42:50,00 --> 01:43:00,50 	nearby, the news vendor carries a wicker basket toward the cafe where the owner sits outside with her small dog in her lap.
HUGO.srt 	HUGO_DVS756 	01:50:15,00 --> 01:50:27,50 	in the candlelit attic, someone throws a sheet over the automaton and carries it away.
HUGO.srt 	HUGO_DVS778 	01:53:03,00 --> 01:53:09,50 	the inspector releases someone who carries the automaton to someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS23 	00:05:38,00 --> 00:05:52,50 	one enters the bank carrying two work lights and a white canvas duffel.
INSIDE_MAN.srt 	INSIDE_MAN_DVS147 	00:45:32,00 --> 00:45:35,50 	officers carry boxes.
INSIDE_MAN.srt 	INSIDE_MAN_DVS182 	00:52:28,00 --> 00:52:41,50 	someone enters carrying a plate of pizza and a bottle of water.
IRON_MAN_2.srt 	IRON_MAN_2_DVS120 	00:23:18,00 --> 00:23:25,50 	the men turn and gaze at a young woman with long dark-brown hair, who walks into the gym carrying paperwork.
IRON_MAN_2.srt 	IRON_MAN_2_DVS280 	00:52:18,00 --> 00:52:23,50 	someone carries the box holding watches to someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS395 	01:14:16,00 --> 01:14:22,50 	a young man picks up young someone and carries him off.
IRON_MAN_2.srt 	IRON_MAN_2_DVS514 	01:33:19,00 --> 01:33:25,50 	a man and a woman run onstage and carry the podium away.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS9 	00:04:01,00 --> 00:04:10,50 	now, a young woman carries a box across the well-kept lawn of the spanish-style home and drops it in the trunk of a hatchback.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS25 	00:06:56,00 --> 00:07:28,50 	she nibbles a piece of food from a plate as she carries it to the sink.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS245 	01:10:25,00 --> 01:10:29,50 	someone carries in someone's bag as someone
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS263 	01:15:19,00 --> 01:15:27,50 	later, someone saunters to her front door carrying a gift.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS405 	01:53:11,00 --> 01:53:22,50 	a view from the front door shows a flatbed truck carry timber past an excavator.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS364 	01:07:53,00 --> 01:07:57,50 	the copter carries him off.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS413 	01:17:35,00 --> 01:17:42,50 	she wears a winter coat and hat, and carries a grocery bag crammed with junk food.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS44 	00:05:15,00 --> 00:05:20,50 	someone enters, carrying a large wicker basket.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS456 	01:29:03,00 --> 01:29:11,50 	now, as someone carries a paper bag to work, the bottom breaks, and the dessert crashes to the ground.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS521 	01:43:04,00 --> 01:43:10,50 	at home, someone carries a stack of newspapers upstairs.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS526 	01:44:12,00 --> 01:44:19,50 	now a shirtless someone carries someone over to the bed, and they flop onto it.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS529 	01:44:51,00 --> 01:44:58,50 	someone carries in two full martini glasses and sits with him on the bed.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS64 	00:23:45,00 --> 00:23:51,50 	later, someone carries a few shopping bags in each hand, as he follows her.
KARATE_KID.srt 	KARATE_KID_DVS278 	00:25:04,00 --> 00:25:10,50 	someone carries a toolbox to the apartment building's entrance.
KARATE_KID.srt 	KARATE_KID_DVS647 	00:54:52,00 --> 00:55:03,50 	someone carries a skateboard under one arm, and races down the stairs in his apartment building.
KARATE_KID.srt 	KARATE_KID_DVS1426 	01:55:20,00 --> 01:55:28,50 	his opponent's teammates carry their peer off the mat.
KARATE_KID.srt 	KARATE_KID_DVS1638 	02:13:06,00 --> 02:13:11,50 	someone carries it to his opponent,
KNOCKED_UP.srt 	KNOCKED_UP_DVS23 	00:17:58,00 --> 00:18:06,50 	in front of the house they walk across the lawn as someone carries the baby toward them.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS89 	00:29:08,00 --> 00:29:13,50 	spots someone carrying a crate.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS91 	00:29:48,00 --> 00:30:03,50 	beside him, someone wears a helmet and carries a shield, while someone wields a gardening hoe.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS181 	01:05:20,00 --> 01:05:27,50 	over the pristine white sand, someone carries the device about 100 yards from the pool.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS255 	01:30:30,00 --> 01:30:39,50 	someone carries the primate to the top of a dune.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS50 	00:15:19,00 --> 00:15:26,50 	now someone carries over a flat screen tv.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS66 	00:05:14,00 --> 00:05:18,50 	someone, she carries a boy.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS125 	00:15:00,00 --> 00:15:06,50 	a barge carrying a depiction of vishnu floats passed someone's mother.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS179 	00:23:52,00 --> 00:23:58,50 	now someone and someone watch a zoo keeper enter the room carrying a live goat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS319 	00:39:56,00 --> 00:40:01,50 	the buddhist struggles to free a lifeboat carrying the cook.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS335 	00:40:59,00 --> 00:41:07,50 	it carries him past the shouting men at the edge of the ship's deck.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS336 	00:41:05,00 --> 00:41:13,50 	the lifeboat carries someone through the wreckage.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS350 	00:42:25,00 --> 00:42:33,50 	a wave carries the beast to the lifeboat's rim.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS366 	00:44:06,00 --> 00:44:11,50 	another carries him to the boat's rim.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS376 	00:45:02,00 --> 00:45:10,50 	we drift up and away from the boy as the lifeboat carries him over the ship's watery grave.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1062 	01:46:07,00 --> 01:46:12,50 	he stares and cries as they carry him away.
MORNING_GLORY.srt 	MORNING_GLORY_DVS83 	00:14:53,00 --> 00:14:59,50 	she carries the last things into the removal truck and closes the door.
MORNING_GLORY.srt 	MORNING_GLORY_DVS271 	01:00:33,00 --> 01:00:38,50 	he carries her into his bedroom.
MORNING_GLORY.srt 	MORNING_GLORY_DVS366 	01:20:44,00 --> 01:20:49,50 	she carries her plate away.
MORNING_GLORY.srt 	MORNING_GLORY_DVS432 	01:33:40,00 --> 01:33:45,50 	a woman approaches carrying a note.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS92 	00:13:41,00 --> 00:13:51,50 	he sours and carries the penguin away.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS497 	01:00:09,00 --> 01:00:17,50 	carrying it in its beak, the penguin drops the cell in a tub of ice water.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS171 	00:38:17,00 --> 00:38:24,50 	outside, someone carries a bucket into the barn.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS222 	00:46:43,00 --> 00:46:49,50 	someone and someone carry a few
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS253 	00:52:54,00 --> 00:54:08,50 	they share a loving kiss and he carries her toward the house.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS292 	01:04:21,00 --> 01:04:27,50 	it carries them
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS299 	00:53:53,00 --> 00:53:58,50 	he carries them over to someone and someone,
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS312 	00:56:22,00 --> 00:56:27,50 	someone carries someone inside,
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS262 	01:02:07,00 --> 01:02:12,50 	someone carries him off under his arm.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS356 	01:26:31,00 --> 01:26:41,50 	now in the backyard, someone and someone carry a shoebox decorated with shiny stickers and the name someone written in green glitter paint.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS423 	01:40:32,00 --> 01:40:40,50 	someone carries the bolt in one hand and his sword in the other as he lands on the observation deck.
PROMETHEUS.srt 	PROMETHEUS_DVS141 	00:08:25,00 --> 00:08:35,50 	using a touch screen built into the glass, the man accesses an amber-hued memory of a little girl watching men carry a body on a litter.
PROMETHEUS.srt 	PROMETHEUS_DVS300 	00:29:41,00 --> 00:29:49,50 	the team members approach one of the entry ways, each carrying a kit or bag of varying size.
PROMETHEUS.srt 	PROMETHEUS_DVS434 	00:44:12,00 --> 00:44:23,50 	the clustered trio bobs and bounces as the line carries them through the harsh wind and flying shards.
PROMETHEUS.srt 	PROMETHEUS_DVS455 	00:48:14,00 --> 00:48:21,50 	as someone activates a conveyor belt, carrying the head back to the containment chamber,
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS318 	01:01:17,00 --> 01:01:27,50 	carrying a mop and bucket, he crosses a hallway and waits for another guard to open the door.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS512 	01:37:15,00 --> 01:37:27,50 	carrying the brown paper bag, she steps off the sidewalk between parked cars and looks around in the middle of the street.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS580 	01:47:58,00 --> 01:48:18,50 	someone glances at the other interrogator, then lifts someone from the chair and carries her out.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS96 	00:24:52,00 --> 00:25:00,50 	they each carry camp supplies.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS97 	00:24:58,00 --> 00:25:07,50 	men carry long bows.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS135 	00:35:04,00 --> 00:35:15,50 	he remembers a soldier carrying the boy away, then
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS261 	01:00:17,00 --> 01:00:26,50 	now, servants hurry out of the kitchen carrying bowls of food into the banquet hall.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS522 	02:10:20,00 --> 02:10:26,50 	someone carries a deer over his shoulders.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS195 	00:32:52,00 --> 00:32:58,50 	someone lifts her over his shoulder and carries her down the sidewalk.
SALT.srt 	SALT_DVS154 	00:26:54,00 --> 00:27:17,50 	she carries them in her hands as she searches the apartment.
SALT.srt 	SALT_DVS262 	00:46:24,00 --> 00:46:29,50 	the military dress uniforms carry a flag draped casket.
SALT.srt 	SALT_DVS441 	01:15:46,00 --> 01:15:57,50 	with them, a military aide carries a briefcase, its handle tethered to his wrist.
SALT.srt 	SALT_DVS556 	01:35:52,00 --> 01:36:15,50 	her feet carry her over the forest snowy ground.
SANCTUM.srt 	SANCTUM_DVS32 	00:07:35,00 --> 00:07:44,50 	men carry oxygen tanks in the opposite direction.
SANCTUM.srt 	SANCTUM_DVS294 	00:59:22,00 --> 00:59:28,50 	someone climbs over a rock barrier carrying a yellow supply bag.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS231 	00:16:09,00 --> 00:16:15,50 	a crowd watches as porters carry a sedan chair into their neighborhood.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS567 	00:38:03,00 --> 00:38:10,50 	she watches two men carry a body outside, then lowers her gaze.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS585 	00:39:06,00 --> 00:39:12,50 	now, someone carries a tray of food through a darkened hall.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS782 	00:52:27,00 --> 00:52:33,50 	four men carry a red palanquin litter along the sidewalk.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS785 	00:52:40,00 --> 00:52:45,50 	a palanquin gets carried across the far bank.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS821 	00:54:37,00 --> 00:54:43,50 	the burly man carries a leafy vegetable across the yard.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS891 	00:58:23,00 --> 00:58:28,50 	he carries the resistant noblewoman out.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS893 	00:58:30,00 --> 00:58:35,50 	the cart carries his family and many belongings.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS935 	01:00:42,00 --> 01:00:47,50 	a few more dart past, carried by the wind.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1206 	01:21:18,00 --> 01:21:23,50 	she bundles up the fans and carries them away.
SOUL_SURFER.srt 	SOUL_SURFER_DVS42 	00:14:06,00 --> 00:14:10,50 	someone carries over a box.
SOUL_SURFER.srt 	SOUL_SURFER_DVS131 	00:42:01,00 --> 00:42:06,50 	later, she carries a brown paper bag to her bicycle
SOUL_SURFER.srt 	SOUL_SURFER_DVS148 	00:46:00,00 --> 00:46:05,50 	her brother carries someone's shark-bitten surfboard under one arm.
SOUL_SURFER.srt 	SOUL_SURFER_DVS165 	00:49:25,00 --> 00:49:30,50 	later, she carries it out.
SOUL_SURFER.srt 	SOUL_SURFER_DVS233 	01:11:53,00 --> 01:12:08,50 	a desolate man carries a water jug like a suitcase.
SOUL_SURFER.srt 	SOUL_SURFER_DVS247 	01:14:29,00 --> 01:14:55,50 	later, a volunteer passes by carrying a box of soccer balls.
SOUL_SURFER.srt 	SOUL_SURFER_DVS256 	01:16:13,00 --> 01:16:21,50 	someone carries the board to the water's edge.
SOUL_SURFER.srt 	SOUL_SURFER_DVS263 	01:17:03,00 --> 01:17:09,50 	as someone carries the board.
SOUL_SURFER.srt 	SOUL_SURFER_DVS328 	01:36:58,00 --> 01:37:04,50 	just carry her on their shoulders, someone joins her mother.
SPARKLE_2012.srt 	SPARKLE_2012_DVS501 	01:20:57,00 --> 01:21:07,50 	outside, two uniformed men carry a body-bag from the house, past policemen and parked patrol cars with flashing blue lights.
SUPER_8.srt 	SUPER_8_DVS155 	00:24:33,00 --> 00:24:37,50 	some carry assault rifles.
SUPER_8.srt 	SUPER_8_DVS191 	00:31:55,00 --> 00:32:01,50 	someone carries off someone's tripod and camera.
