21_JUMP_STREET.srt 	21_JUMP_STREET_DVS76 	00:08:32,00 --> 00:08:41,50 	they face the gang leader.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS63 	00:04:36,00 --> 00:04:40,50 	the young man faces the man in the booth.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS79 	00:05:18,00 --> 00:05:23,50 	someone faces a man with a badge around his neck.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS153 	00:14:18,00 --> 00:14:23,50 	the judge faces a soldier.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS168 	00:15:17,00 --> 00:15:24,50 	the prisoners simultaneously sit in their adjacent glass cells, and someone faces someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS170 	00:15:25,00 --> 00:15:30,50 	the old man averts his gaze and faces the courtroom.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS192 	00:17:01,00 --> 00:17:06,50 	someone leaps a half wall and faces someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS361 	00:32:48,00 --> 00:32:54,50 	pausing, someone faces someone who wears a solemn gaze.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS364 	00:33:31,00 --> 00:33:37,50 	someone takes a deep breath then faces.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS375 	00:34:28,00 --> 00:34:33,50 	someone faces his own reflection in a mirrored cabinet.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS424 	00:41:16,00 --> 00:41:28,50 	someone faces someone, who lifts his brow sheepishly.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS444 	00:42:48,00 --> 00:42:53,50 	with a crooked smirk, someone faces the russian.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS449 	00:43:22,00 --> 00:43:26,50 	his eyes wide, someone turns his head to face his father.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS458 	00:44:28,00 --> 00:44:35,50 	someone faces him distractedly, then nods.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS471 	00:45:46,00 --> 00:45:52,50 	facing someone and the americans, someone munches a carrot.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS476 	00:46:22,00 --> 00:46:30,50 	with a clenched jaw, someone faces someone who glares out at him from behind her father's shoulder.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS484 	00:47:06,00 --> 00:47:12,50 	as someone leaves with someone, someone faces someone and someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS533 	00:51:44,00 --> 00:51:51,50 	at an open side of the chopper, someone and someone sit facing out.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS571 	00:55:54,00 --> 00:56:00,50 	someone stares thoughtfully ahead, his young face caked with blood.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS606 	01:02:23,00 --> 01:02:30,50 	as they inspect the area with their flashlights, he faces a wall of safety deposit boxes.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS716 	01:12:29,00 --> 01:12:36,50 	moving forward, they approach two masked guards, both facing the roof's edge.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS767 	01:15:52,00 --> 01:15:58,50 	the russian freezes, then turns to face someone and someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS785 	01:18:30,00 --> 01:18:34,50 	he faces someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS845 	01:23:40,00 --> 01:23:44,50 	the chopper turns to face the roof.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS936 	01:30:54,00 --> 01:31:00,50 	facing his sister, the young agent gives a broad smile.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS50 	00:15:11,00 --> 00:15:16,50 	someone looks away, shakes his head then faces his mother.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS476 	01:21:42,00 --> 01:21:48,50 	at the cemetery someone lies face down and motionless.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS95 	00:10:34,00 --> 00:10:39,50 	as he turns, someone faces him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS159 	00:20:38,00 --> 00:20:49,50 	finding himself in a well-kept general store, he faces the owner who puts on a smile.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS161 	00:21:22,00 --> 00:21:34,50 	he faces the window thoughtfully.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS172 	00:23:21,00 --> 00:23:28,50 	douglas faces him and his condescending smile fades.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS204 	00:27:50,00 --> 00:27:56,50 	facing someone, someone discreetly jerks his head aside.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS224 	00:32:02,00 --> 00:32:09,50 	the reach a house gate and face each other, sharing a warm smile.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS262 	00:38:27,00 --> 00:38:31,50 	someone faces someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS279 	00:39:58,00 --> 00:40:22,50 	he rolls to a stop and stands up to find himself facing the oncoming stampede.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS319 	00:46:09,00 --> 00:46:14,50 	trembling, face down, someone watches his dead love.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS411 	00:59:10,00 --> 00:59:17,50 	later, the raft arrives at a shore facing a stately brick church.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS469 	01:06:44,00 --> 01:06:49,50 	someone turns and faces him questioningly.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS514 	01:12:25,00 --> 01:12:36,50 	the thin soldier faces his general.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS532 	01:15:32,00 --> 01:15:42,50 	someone faces his old friend who looks down with a thoughtful gaze.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS538 	01:16:10,00 --> 01:16:15,50 	she rolls her head to face him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS570 	01:19:33,00 --> 01:19:50,50 	facing them, ms. tubman stays someone who draws up her cloaks hood.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS591 	01:21:44,00 --> 01:21:53,50 	someone slides it shut then turns to face another shuttered hatch.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS615 	01:26:38,00 --> 01:26:52,50 	he kicks off the passing rock wall and lands facing his rival.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS658 	01:33:02,00 --> 01:33:09,50 	someone comes out of hiding and faces her squarely standing about ten yards away.
BAD_TEACHER.srt 	BAD_TEACHER_DVS311 	01:24:08,00 --> 01:24:15,50 	he turns his back to her, closes his eyes for a moment, then faces her again.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS188 	00:31:51,00 --> 00:31:56,50 	someone faces someone and crouches.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS353 	00:57:39,00 --> 00:57:46,50 	facing a full-length mirror, someone gawks at someone's reflection as she pulls off her pants.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS390 	01:03:13,00 --> 01:03:17,50 	someone faces him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS414 	01:06:16,00 --> 01:06:22,50 	he leans on the booth facing her and gives a smoldering look.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS462 	01:12:37,00 --> 01:12:44,50 	facing someone, someone presses the guard's head down and reaches over his back.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS548 	01:25:08,00 --> 01:25:13,50 	someone faces his son.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS562 	01:27:54,00 --> 01:27:58,50 	she stands and faces him.
BLINDDATING.srt 	BLINDDATING_DVS16 	00:05:03,00 --> 00:05:16,50 	someone stands in front of it, facing his parents.
BLINDDATING.srt 	BLINDDATING_DVS47 	00:14:52,00 --> 00:14:58,50 	someone faces dr.
BLINDDATING.srt 	BLINDDATING_DVS64 	00:19:39,00 --> 00:19:44,50 	someone with platinum hair and faces someone.
BLINDDATING.srt 	BLINDDATING_DVS87 	00:25:49,00 --> 00:26:00,50 	as he faces forward, the grin fades and his eyes widen tensely.
BLINDDATING.srt 	BLINDDATING_DVS140 	00:38:39,00 --> 00:38:46,50 	they stop and face each other.
BLINDDATING.srt 	BLINDDATING_DVS147 	00:39:27,00 --> 00:39:32,50 	comes out from under his limo and faces someone.
BLINDDATING.srt 	BLINDDATING_DVS211 	00:52:45,00 --> 00:52:54,50 	someone holds it up and faces it critically.
BLINDDATING.srt 	BLINDDATING_DVS235 	00:57:30,00 --> 00:57:38,50 	someone faces straight ahead, as his date's smile fades, he faces her.
BLINDDATING.srt 	BLINDDATING_DVS235 	00:57:30,00 --> 00:57:38,50 	someone faces straight ahead, as his date's smile fades, he faces her.
BLINDDATING.srt 	BLINDDATING_DVS271 	01:06:19,00 --> 01:06:31,50 	someone sits first and faces forward.
BLINDDATING.srt 	BLINDDATING_DVS275 	01:07:58,00 --> 01:08:04,50 	his gaze stays facing forward.
BRUNO.srt 	BRUNO_DVS52 	00:10:13,00 --> 00:10:31,50 	he jumps around to face the agent.
BRUNO.srt 	BRUNO_DVS97 	00:21:57,00 --> 00:22:01,50 	someone squats facing someone.
BRUNO.srt 	BRUNO_DVS115 	00:25:43,00 --> 00:26:13,50 	he pretends to turn someone back to face him, and simulates oral sex, moving his head up and down.
BRUNO.srt 	BRUNO_DVS193 	00:50:24,00 --> 00:50:31,50 	now, in alabama, someone faces pastor someone trautwein, gay converter.
BRUNO.srt 	BRUNO_DVS194 	00:52:01,00 --> 00:52:10,50 	he faces someone shirley, martial arts master - a stocky man with a mullet.
BURLESQUE.srt 	BURLESQUE_DVS81 	00:07:38,00 --> 00:07:44,50 	behind them, a woman with dark curly hair and high cheek bones faces us.
BURLESQUE.srt 	BURLESQUE_DVS85 	00:08:28,00 --> 00:08:37,50 	one-by-one the dancers face the audience.
BURLESQUE.srt 	BURLESQUE_DVS102 	00:12:06,00 --> 00:12:10,50 	the naysayer faces the singer.
BURLESQUE.srt 	BURLESQUE_DVS393 	00:54:24,00 --> 00:54:36,50 	facing the audience, she quickly spreads her knees, then crosses her legs.
BURLESQUE.srt 	BURLESQUE_DVS436 	01:00:20,00 --> 01:00:25,50 	quickly covering herself, she faces the crowd again.
BURLESQUE.srt 	BURLESQUE_DVS475 	01:05:40,00 --> 01:05:45,50 	facing her mirror, someone dons a bowler hat.
BURLESQUE.srt 	BURLESQUE_DVS511 	01:10:39,00 --> 01:10:43,50 	coco faces someone.
BURLESQUE.srt 	BURLESQUE_DVS572 	01:25:10,00 --> 01:25:15,50 	they face each other on the dance floor.
BURLESQUE.srt 	BURLESQUE_DVS610 	01:29:10,00 --> 01:29:15,50 	facing each other, someone runs his fingers through her hair.
BURLESQUE.srt 	BURLESQUE_DVS684 	01:45:33,00 --> 01:45:38,50 	someone swivels her stool to face the same direction.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS37 	00:04:51,00 --> 00:04:58,50 	the soldiers stop pushing and turned to face the nazi officer as he strides into the tower.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS159 	00:29:09,00 --> 00:29:13,50 	someone stops and turns to face someone.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS170 	00:31:23,00 --> 00:31:30,50 	someone and someone walk into a backroom and face a bookcase which swings open,
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS231 	00:40:21,00 --> 00:40:27,50 	he hurtles himself off the truck and lands face down on the roof of the taxicab.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS249 	00:43:39,00 --> 00:43:45,50 	someone stops and slowly turns to face the other men.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS257 	00:45:38,00 --> 00:45:45,50 	as nearby guards raise both of their fists in salute, someone faces dr.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS309 	00:58:44,00 --> 00:58:55,50 	hydra soldiers turn to face him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS311 	00:59:11,00 --> 00:59:21,50 	the truck backs up to a loading dock where an armed soldier lifts the tarp and peers inside to face the captain america shield.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS435 	01:18:50,00 --> 01:18:55,50 	smiling, someone faces someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS45 	00:03:12,00 --> 00:03:19,50 	a shaggy haired man with the same colored beard lays the boy, face first, on his surfboard.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS166 	00:13:07,00 --> 00:13:14,50 	farther out, a round faced boy sits on his board, observing with a worried look.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS168 	00:13:17,00 --> 00:13:21,50 	the round faced boy shakes his head.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS267 	00:20:35,00 --> 00:20:42,50 	the older surfer faces a cresting wave that towers stories above him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS291 	00:22:27,00 --> 00:22:32,50 	someone shifts his gaze and gulps, then faces him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS368 	00:34:46,00 --> 00:34:51,50 	someone shakes his head and faces the sea.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS380 	00:35:54,00 --> 00:35:59,50 	someone turns to face her, his gaze receptive.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS477 	00:45:57,00 --> 00:46:01,50 	holding a half-eaten chicken leg, someone faces her and smiles.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS571 	00:55:20,00 --> 00:55:28,50 	paddling on a surfboard, the scowling boy faces a wave, bites his lip, and picks up his pace.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS615 	00:59:05,00 --> 00:59:11,50 	someone rolls his eyes and faces someone whose smile vanishes.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS632 	01:00:53,00 --> 01:00:59,50 	someone faces his mentor with wide eyes and finds him beaming.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS640 	01:02:11,00 --> 01:02:16,50 	facing someone, he jerks his thumb upward.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS648 	01:02:29,00 --> 01:02:35,50 	noticing someone's rising panic, someone turns the boy to face him and gives calming gestures.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS655 	01:02:58,00 --> 01:03:05,50 	climbing on board, someone removes his mask and faces his breathless protege.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS689 	01:07:13,00 --> 01:07:18,50 	facing her, someone smiles and shrugs it off.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS717 	01:11:34,00 --> 01:11:41,50 	facing forward, someone spies someone hiking up from the water with a fishing pole in one hand and a huge fish in the other.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS731 	01:12:39,00 --> 01:12:44,50 	someone removes his backpack and faces his friend.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS734 	01:13:08,00 --> 01:13:14,50 	someone faces blond who returns his gaze remorselessly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS782 	01:17:23,00 --> 01:17:29,50 	he steps up beside someone and faces him expectantly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS785 	01:18:03,00 --> 01:18:08,50 	someone gives a sorrowful nod and faces the older man.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS797 	01:18:58,00 --> 01:19:03,50 	she rolls over to face her son.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS806 	01:19:37,00 --> 01:19:46,50 	in one corner, and empty armchair faces a tv that plays a home movie of someone with one of her babies.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS834 	01:22:34,00 --> 01:22:40,50 	he faces his protege with a surprised delighted smile.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS876 	01:25:21,00 --> 01:25:25,50 	a square faced man greets them.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS893 	01:27:20,00 --> 01:27:27,50 	as a giant wave rolls over the teen, a surfing buddy with longer hair faces someone solemnly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS961 	01:34:29,00 --> 01:34:36,50 	someone takes in the roiling foamy waters crashing the bone yard then faces someone.
CHRONICLE.srt 	CHRONICLE_DVS35 	00:04:13,00 --> 00:04:20,50 	now, a dark-haired cheerleader marches over and faces him from a lower railing.
CHRONICLE.srt 	CHRONICLE_DVS162 	00:24:29,00 --> 00:24:36,50 	facing the parked car, someone telekinetically drags it out of its spot.
CHRONICLE.srt 	CHRONICLE_DVS163 	00:24:36,00 --> 00:24:41,50 	he turns it around to face a different space.
CHRONICLE.srt 	CHRONICLE_DVS191 	00:28:29,00 --> 00:28:35,50 	as someone faces someone, someone turns away.
CHRONICLE.srt 	CHRONICLE_DVS197 	00:28:59,00 --> 00:29:03,50 	he faces someone.
CHRONICLE.srt 	CHRONICLE_DVS265 	00:40:41,00 --> 00:40:47,50 	facing the tired man, we spy empty beer bottles beside him.
CHRONICLE.srt 	CHRONICLE_DVS280 	00:43:05,00 --> 00:43:18,50 	he gives a shy wave, then fumbles in his jacket pocket, produces a deck of playing cards, and faces someone.
CHRONICLE.srt 	CHRONICLE_DVS314 	00:46:58,00 --> 00:47:03,50 	later, someone faces our view.
CHRONICLE.srt 	CHRONICLE_DVS483 	01:09:29,00 --> 01:09:37,50 	they hover around him in the helicopter's spotlights as he spreads his arms and faces his cousin.
CHRONICLE.srt 	CHRONICLE_DVS513 	01:13:18,00 --> 01:13:25,50 	both lie face down on the stone tiles as several police cars surround the area.
CHRONICLE.srt 	CHRONICLE_DVS519 	01:14:07,00 --> 01:14:13,50 	the teenager turns to face the semi-circle of police.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS18 	00:03:55,00 --> 00:04:05,50 	the front door opens and a doll faced brunette woman appears
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS59 	00:11:30,00 --> 00:11:33,50 	his round faced wife watches him go.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS70 	00:13:49,00 --> 00:14:00,50 	he faces someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS72 	00:14:14,00 --> 00:14:20,50 	facing her husband, someone shakes her head.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS118 	00:27:30,00 --> 00:27:39,50 	someone returns to his chair facing someone and takes a rag from the box.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS164 	00:35:29,00 --> 00:35:36,50 	weakly rolls his head to face her.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS182 	00:38:48,00 --> 00:38:59,50 	a man faces a clerk's grid wire window.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS195 	00:40:52,00 --> 00:40:59,50 	more men face someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS221 	00:46:29,00 --> 00:46:43,50 	while someone bounces a ball off a wall, someone crouches facing someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS276 	01:06:50,00 --> 01:07:20,50 	inside, she faces an apartment door.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS307 	01:14:08,00 --> 01:14:18,50 	she faces him sadly as he approaches.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS312 	01:14:46,00 --> 01:14:59,50 	now in a ring, someone faces an african-american boxer.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS330 	01:23:10,00 --> 01:23:20,50 	the bare chested champion faces baer.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS391 	01:35:11,00 --> 01:35:15,50 	blinking, he faces someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS404 	01:37:58,00 --> 01:38:04,50 	someone turns in his seat, facing the large man fully.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS493 	01:53:00,00 --> 01:53:27,50 	as someone faces the crowd, his wife grins in a bright red hat and waves.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS513 	01:59:58,00 --> 02:00:04,50 	as the boxers face off, someone hits below the waist.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS535 	02:04:57,00 --> 02:05:03,50 	as someone stands alone, someone faces someone in his corner.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS562 	02:12:02,00 --> 02:12:08,50 	facing someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS568 	02:13:42,00 --> 02:13:47,50 	crosses toward the judges, someone faces jeanette.
COLOMBIANA.srt 	COLOMBIANA_DVS54 	00:03:03,00 --> 00:03:12,50 	on a covered patio, a man with thick dark hair and a beard sits across a small table from a younger stubble faced man.
COLOMBIANA.srt 	COLOMBIANA_DVS73 	00:05:12,00 --> 00:05:17,50 	the stubble faced man looks out on the city,
COLOMBIANA.srt 	COLOMBIANA_DVS200 	00:17:14,00 --> 00:17:23,50 	cars and pedestrians take little notice as they bustle past the dirty faced girl in her sullied school uniform.
COLOMBIANA.srt 	COLOMBIANA_DVS296 	00:25:04,00 --> 00:25:09,50 	mama pauses and faces the table gravely.
COLOMBIANA.srt 	COLOMBIANA_DVS308 	00:26:22,00 --> 00:26:27,50 	someone and someone sit facing her.
COLOMBIANA.srt 	COLOMBIANA_DVS317 	00:27:37,00 --> 00:27:43,50 	as fearful bystanders scatter, someone angrily faces his niece.
COLOMBIANA.srt 	COLOMBIANA_DVS352 	00:32:07,00 --> 00:32:13,50 	a someone unhoods a hatchet faced man with wild black hair.
