A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS152 	00:30:19,00 --> 00:30:26,50 	a car drives over the man's cane, snapping it in half.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS109 	00:17:47,00 --> 00:18:11,50 	someone's eyes snap open.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS439 	01:02:44,00 --> 01:03:11,50 	someone snaps a decaying monk's neck.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS558 	01:19:36,00 --> 01:19:58,50 	his skeleton head snaps to one side attentively and he marches off.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS577 	01:23:32,00 --> 01:23:58,50 	ghost rider's skull snaps around, catching sight of someone's suv ahead.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS589 	01:25:10,00 --> 01:25:16,50 	the rider snaps the chains, slinging the devil into the ground.
HUGO.srt 	HUGO_DVS212 	00:31:42,00 --> 00:31:47,50 	he snaps the shell back onto the mechanism,
HUGO.srt 	HUGO_DVS466 	01:07:54,00 --> 01:08:05,50 	she smiles at him then snaps off the tops of a handful of posies.
IRON_MAN_2.srt 	IRON_MAN_2_DVS143 	00:26:32,00 --> 00:26:37,50 	a man snaps photos of someone and pepper.
IRON_MAN_2.srt 	IRON_MAN_2_DVS150 	00:27:57,00 --> 00:28:04,50 	a photographer snaps photos as someone puts his arm around someone, who squirms.
IRON_MAN_2.srt 	IRON_MAN_2_DVS175 	00:32:47,00 --> 00:32:58,50 	someone pulls off his helmet and glances through a smoky haze at someone, who snaps the whips out to each side.
IRON_MAN_2.srt 	IRON_MAN_2_DVS236 	00:43:27,00 --> 00:43:36,50 	someone turns, punches the guard, then snaps his neck.
IRON_MAN_2.srt 	IRON_MAN_2_DVS442 	01:21:51,00 --> 01:22:01,50 	he snaps his fingers, then spins the holograph and sits.
IRON_MAN_2.srt 	IRON_MAN_2_DVS706 	01:56:47,00 --> 01:57:00,50 	as a photographer approaches and snaps a photo, someone lifts his right arm and forms a v with his index and middle fingers.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS113 	00:19:19,00 --> 00:19:24,50 	someone snaps her photo.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS212 	00:40:40,00 --> 00:40:45,50 	she snaps tongs at him.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS425 	01:22:58,00 --> 01:23:04,50 	now someone snaps photos of someone stuffing a duck.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS597 	01:56:25,00 --> 01:56:32,50 	someone and someone arrive at a roped off exhibit as a wistful young woman snaps a photo of it.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS599 	01:56:42,00 --> 01:56:46,50 	someone snaps another photo.
KARATE_KID.srt 	KARATE_KID_DVS1397 	01:52:31,00 --> 01:52:40,50 	someone flees off the mat and the official snaps his flag.
KARATE_KID.srt 	KARATE_KID_DVS1405 	01:53:12,00 --> 01:53:20,50 	the official studies the boys, then snaps his flags.
KARATE_KID.srt 	KARATE_KID_DVS1407 	01:53:19,00 --> 01:53:38,50 	the official snaps a score flag.
KARATE_KID.srt 	KARATE_KID_DVS1470 	01:59:39,00 --> 01:59:44,50 	members of the press snap his photo as he passes.
KARATE_KID.srt 	KARATE_KID_DVS1629 	02:12:29,00 --> 02:12:37,50 	snapping out of his meditative focus, the boy shifts his confused gaze, then looks to mr.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS185 	01:06:08,00 --> 01:06:20,50 	it's a giant crab, snapping two huge claws.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS140 	00:31:51,00 --> 00:31:59,50 	he snaps as he steps from side to side repeatedly putting his feet apart then together.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS496 	00:55:03,00 --> 00:55:11,50 	he staggers back, snapping irritably at the fabric as a recoiling someone watches with wide eyes.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS603 	01:06:15,00 --> 01:06:21,50 	his head held high, he snaps his jaws at one and misses.
PROMETHEUS.srt 	PROMETHEUS_DVS80 	00:04:35,00 --> 00:04:41,50 	it snaps in two and he tumbles over the falls.
PROMETHEUS.srt 	PROMETHEUS_DVS568 	01:03:46,00 --> 01:03:51,50 	it snaps his arm like a twig.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS387 	01:01:51,00 --> 01:01:55,50 	he snaps up a phone.
SALT.srt 	SALT_DVS91 	00:19:11,00 --> 00:19:18,50 	she looks up at a security camera in the corner and snaps her fingers.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS64 	00:12:48,00 --> 00:12:53,50 	he snaps the horn off a unicorn's skull and defends
SOUL_SURFER.srt 	SOUL_SURFER_DVS111 	00:38:18,00 --> 00:38:25,50 	the photographers snap pictures.
SOUL_SURFER.srt 	SOUL_SURFER_DVS182 	00:55:32,00 --> 00:55:44,50 	bracing it between her legs, she brushes the doll's hair back then snaps off the left arm.
SPARKLE_2012.srt 	SPARKLE_2012_DVS201 	00:32:13,00 --> 00:32:21,50 	a cameraman snaps a flash photo.
SPARKLE_2012.srt 	SPARKLE_2012_DVS235 	00:36:56,00 --> 00:37:04,50 	the other patrons snap their fingers and clap.
SPARKLE_2012.srt 	SPARKLE_2012_DVS401 	01:08:02,00 --> 01:08:10,50 	he snaps a picture of her, then saunters over in his burgundy robe and kisses her on the cheek.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS144 	00:22:49,00 --> 00:22:57,50 	the wallet snaps back and smacks him in the face.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS274 	00:40:06,00 --> 00:40:12,50 	he slips and falls into the lifeboat causing a rope to snap.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS127 	00:28:56,00 --> 00:29:03,50 	a photographer snaps a picture.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS485 	00:55:44,00 --> 00:55:51,50 	someone flips through the bible's pages then snaps it closed.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS773 	01:29:08,00 --> 01:29:15,50 	a photo shows a woman near someone snapping a picture.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS780 	01:30:00,00 --> 01:30:07,50 	as someone grabs a camera and snaps photos of the mutilated tabby
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1295 	02:17:43,00 --> 02:17:48,50 	bystanders snap photos.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1346 	02:24:39,00 --> 02:24:45,50 	she snaps a photo of herself in a wig with long blonde hair.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS252 	01:37:45,00 --> 01:37:49,50 	he freely snaps his phone shut.
THE_WATCH.srt 	THE_WATCH_DVS276 	00:50:58,00 --> 00:51:06,50 	someone watches him fall, then snaps back to the beast who now turns his attention on him.
THE_WATCH.srt 	THE_WATCH_DVS281 	00:51:19,00 --> 00:51:24,50 	it falls and snaps its neck.
THE_WATCH.srt 	THE_WATCH_DVS296 	00:53:30,00 --> 00:53:37,50 	someone snaps a picture.
THE_WATCH.srt 	THE_WATCH_DVS299 	00:53:44,00 --> 00:53:53,50 	the alien's eyes snap open.
THOR.srt 	THOR_DVS303 	00:43:13,00 --> 00:43:18,50 	someone grins as someone snaps his photo.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS131 	00:14:53,00 --> 00:14:57,50 	he snaps it in two.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS778 	01:50:54,00 --> 01:51:04,50 	he snaps out of his daze.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS621 	01:24:59,00 --> 01:25:08,50 	the other bridesmaids quickly join in, making it a group hug as the sisters' father snaps a photo.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS626 	01:25:33,00 --> 01:25:40,50 	he snaps a photo of himself with someone.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS405 	00:34:13,00 --> 00:34:19,50 	someone flings an arm and the anchor snaps loose.
ZOMBIELAND.srt 	ZOMBIELAND_DVS196 	00:20:41,00 --> 00:20:46,50 	the zombie snaps a bone in two and slurps out the marrow.
