30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS294 	01:07:01,00 --> 01:07:09,50 	in a bathroom, facing a mirror, someone finds a bottle of rubbing alcohol and twists it open.
KARATE_KID.srt 	KARATE_KID_DVS730 	01:01:58,00 --> 01:02:05,50 	in the living room, someone rubs a sander over the side of his car.
KNOCKED_UP.srt 	KNOCKED_UP_DVS176 	01:52:28,00 --> 01:52:34,50 	meanwhile, someone rubs someone's back.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS127 	00:44:18,00 --> 00:44:22,50 	he rubs his eyes.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS178 	00:40:39,00 --> 00:40:53,50 	someone smoothes his new do, rubbing the sides forward and padding down the back.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS51 	00:03:16,00 --> 00:03:25,50 	elsewhere, a proboscis monkey rubs its dangling, bulbous nose.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS738 	01:16:44,00 --> 01:16:50,50 	next day, he rubs ointment on a small shin wound and wraps it in gauze.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS937 	01:33:10,00 --> 01:33:16,50 	he rests the tigers head on his lap and softly rubs its crown.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS944 	01:33:53,00 --> 01:33:58,50 	the teen rubs the tiger's head.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS26 	00:11:10,00 --> 00:11:28,50 	eyeing someone's photo, the ex-cia agent rubs his chest.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS270 	01:26:49,00 --> 01:26:54,50 	he rubs someone's shoulder.
MORNING_GLORY.srt 	MORNING_GLORY_DVS307 	01:07:22,00 --> 01:07:28,50 	on the verge of tears, she rubs her nose.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS96 	00:14:12,00 --> 00:14:16,50 	he rubs his shins.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS452 	00:53:27,00 --> 00:53:31,50 	he rubs his chest.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS126 	00:28:53,00 --> 00:28:57,50 	someone rubs her eyes.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS81 	00:20:44,00 --> 00:20:49,50 	he blinks groggily and rubs his eyes.
PROMETHEUS.srt 	PROMETHEUS_DVS529 	00:59:02,00 --> 00:59:09,50 	gazing into her eyes he gives her a tender kiss and rubs her chest.
PROMETHEUS.srt 	PROMETHEUS_DVS575 	01:04:23,00 --> 01:04:31,50 	silhouetted against the windows of someone's quarters, holloway hunches over and rubs his face.
PROMETHEUS.srt 	PROMETHEUS_DVS856 	01:34:00,00 --> 01:34:05,50 	she rubs her nose over his knuckles and he makes a fist.
PROMETHEUS.srt 	PROMETHEUS_DVS910 	01:40:36,00 --> 01:40:40,50 	someone rubs his mouth.
PROMETHEUS.srt 	PROMETHEUS_DVS1011 	01:50:22,00 --> 01:50:30,50 	the tentacle rubs persistently against the window then slides down the glass.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS114 	00:20:28,00 --> 00:20:37,50 	rubbing the tip of his nose, he shifts his gaze to the dance floor where a brunette in a red dress dances with a man.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS188 	00:36:13,00 --> 00:36:18,50 	his thumb gently rubs her graceful jawline.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS390 	01:15:02,00 --> 01:15:09,50 	someone rubs his lips thoughtfully as he looks at someone and nods.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS635 	01:59:33,00 --> 01:59:48,50 	parked near the biograph, someone tensely rubs his thin-lipped mouth.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS139 	00:35:36,00 --> 00:35:45,50 	rubbing his eyes, he sees someone and someone asleep on the floor nearby.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS202 	00:49:02,00 --> 00:49:11,50 	as he steps toward someone, he rubs his cheek again with the back of his hand.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS239 	00:54:56,00 --> 00:55:01,50 	she catches herself and rubs her chest.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS152 	00:25:34,00 --> 00:25:43,50 	he removes his glasses briefly and rubs his eyes.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS437 	01:07:26,00 --> 01:07:32,50 	someone rubs her back as she lies curled up on the bed.
SANCTUM.srt 	SANCTUM_DVS265 	00:54:23,00 --> 00:54:27,50 	someone rubs her arm.
SANCTUM.srt 	SANCTUM_DVS286 	00:57:25,00 --> 00:57:32,50 	someone rubs someone's foot as she sits under the metallic blanket.
SANCTUM.srt 	SANCTUM_DVS330 	01:05:59,00 --> 01:06:07,50 	someone rubs his neck.
SANCTUM.srt 	SANCTUM_DVS386 	01:16:37,00 --> 01:16:41,50 	he rubs his cheek.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS690 	00:45:14,00 --> 00:45:21,50 	someone follows her with her eyes as she sits beside someone and rubs her back.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS856 	00:56:49,00 --> 00:56:54,50 	one bare foot rubs the other ankle.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS938 	01:01:00,00 --> 01:01:08,50 	someone observes someone's attention to her sons and rubs her shoulder appreciatively.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS37 	00:07:33,00 --> 00:07:42,50 	someone rubs a dusty arabian oil lamp, then picks it up.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS394 	01:22:37,00 --> 01:22:46,50 	he wags his finger shrewdly, then rubs his face.
SOUL_SURFER.srt 	SOUL_SURFER_DVS155 	00:46:35,00 --> 00:46:41,50 	someone takes up the board and rubs his father's shoulder.
SOUL_SURFER.srt 	SOUL_SURFER_DVS252 	01:15:36,00 --> 01:15:43,50 	someone rubs his chest then sits him down.
SPARKLE_2012.srt 	SPARKLE_2012_DVS110 	00:18:07,00 --> 00:18:11,50 	she rubs her palms.
SPARKLE_2012.srt 	SPARKLE_2012_DVS332 	00:54:12,00 --> 00:54:19,50 	he rubs his hand up her body.
SPARKLE_2012.srt 	SPARKLE_2012_DVS358 	01:00:24,00 --> 01:00:31,50 	sister bends at the knees, sensually rubbing her hands down her thighs.
SUPER_8.srt 	SUPER_8_DVS80 	00:12:30,00 --> 00:12:35,50 	he rubs foundation on her cheek.
SUPER_8.srt 	SUPER_8_DVS82 	00:12:52,00 --> 00:12:58,50 	someone stares at someone as he rubs a makeup sponge on her face.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS208 	00:29:59,00 --> 00:30:06,50 	in the room above a man with a thick black beard rubs his head as snowy leaps in through the port hole.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS283 	00:54:45,00 --> 00:54:50,50 	he rubs tears from his eyes.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS339 	01:06:17,00 --> 01:06:53,50 	back at home he rubs his eye then places a completed assignment atop a stack and grabs the next piece of homework.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS353 	01:10:24,00 --> 01:10:32,50 	she rubs her neck then rests her head in her hand and allows a brief sad smile.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS115 	00:23:10,00 --> 00:23:34,50 	an older woman rubs sunblock on her bare arms.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS129 	00:26:22,00 --> 00:26:28,50 	someone rubs his hands together, inhales through them, and dashes off.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS212 	00:42:59,00 --> 00:43:11,50 	he rubs his hands together then primps in a mirror.
THE_CALL.srt 	THE_CALL_DVS205 	00:16:53,00 --> 00:16:59,50 	she rubs her face and sets her chin between her hands.
THE_CALL.srt 	THE_CALL_DVS951 	01:13:14,00 --> 01:13:20,50 	she rubs the broken face of the phone and drops it back on the ground.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS43 	00:08:42,00 --> 00:08:49,50 	someone rubs his eyes.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS178 	00:29:32,00 --> 00:29:38,50 	facing someone, he rubs his chin and nose.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS240 	00:38:06,00 --> 00:38:14,50 	someone's mouth twists in a repressed sob and he rubs his lips back into a stoic line.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS533 	01:17:34,00 --> 01:17:43,50 	he glances at the band, then rubs his face.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS689 	01:37:41,00 --> 01:37:46,50 	he rubs his nose then stands.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS327 	00:40:34,00 --> 00:40:38,50 	someone rubs his shoulder.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS379 	00:46:07,00 --> 00:46:11,50 	he makes her rub him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1098 	01:55:02,00 --> 01:55:06,50 	she rubs the crest with her finger.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1274 	02:13:51,00 --> 02:13:56,50 	he rubs her back under her t-shirt.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1276 	02:14:06,00 --> 02:14:10,50 	someone rubs her back again.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS218 	01:10:57,00 --> 01:11:01,50 	someone rubs his eyes.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS136 	00:48:26,00 --> 00:48:30,50 	someone rubs his forehead.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS227 	01:30:01,00 --> 01:30:06,50 	he rubs his eyes.
THE_VOW.srt 	THE_VOW_DVS170 	00:17:40,00 --> 00:17:45,50 	waking, he hurriedly sits up and rubs his face.
THE_VOW.srt 	THE_VOW_DVS247 	00:30:59,00 --> 00:31:06,50 	as someone puts on a bra, her naked husband straggles by, rubbing his eyes.
THE_VOW.srt 	THE_VOW_DVS303 	00:38:54,00 --> 00:39:02,50 	later at the apartment, someone waits in the living room area and anxiously rubs his head.
THE_VOW.srt 	THE_VOW_DVS365 	00:51:43,00 --> 00:51:49,50 	as she rests her elbows on the table, he rubs her shoulders.
THE_WATCH.srt 	THE_WATCH_DVS87 	00:11:13,00 --> 00:11:19,50 	the mascot mocks him, rubbing his eyes.
THE_WATCH.srt 	THE_WATCH_DVS380 	01:07:29,00 --> 01:07:37,50 	in a bedroom, someone rubs chelsea's lower stomach as they kiss.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS112 	00:33:07,00 --> 00:33:14,50 	someone rubs the ball against his crotch, then tosses it to someonet.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS244 	01:00:00,00 --> 01:00:10,50 	now at the loft, someone rubs his fingers in between his toes, smells them, then wipes them on the arm of his leather chair.
THOR.srt 	THOR_DVS280 	00:37:52,00 --> 00:37:58,50 	someone flinches as someone rubs salve on his burned arm.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS83 	00:10:12,00 --> 00:10:17,50 	in a darkened bedroom, someone lies on his side and rubs his shoulder.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS50 	00:08:22,00 --> 00:08:26,50 	it rubs against her ankle.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS262 	00:25:15,00 --> 00:25:20,50 	someone rubs up against the doctor's leg.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS392 	00:47:18,00 --> 00:47:22,50 	he rubs the boy's head.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS574 	01:16:18,00 --> 01:16:23,50 	he rubs his nose nervously.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS159 	00:27:56,00 --> 00:28:02,50 	he rubs someone's shoulder, causing him to turn away in embarrassment.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS255 	00:35:13,00 --> 00:35:18,50 	waking, she rubs her eye
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS386 	00:55:27,00 --> 00:55:33,50 	he looks at it, then thoughtfully rubs it against his chin.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS35 	00:03:44,00 --> 00:03:50,50 	she drools spittle onto the cartridge and rubs it in,
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS134 	00:23:46,00 --> 00:23:54,50 	standing in a mirror, she rubs foundation onto her face then smooths it with a make-up brush.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS405 	01:18:40,00 --> 01:18:45,50 	someone embraces someone as he rubs her back.
ZOMBIELAND.srt 	ZOMBIELAND_DVS373 	00:42:17,00 --> 00:42:22,50 	sniffs it, and rubs it on his neck.
