21_JUMP_STREET.srt 	21_JUMP_STREET_DVS21 	00:02:57,00 --> 00:03:02,50 	sitting on a nearby bench, the nerd looks over.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS170 	01:23:28,00 --> 01:23:33,50 	he look at the doll gently in his hands.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS223 	01:50:01,00 --> 01:50:12,50 	they look into each others eyes.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS94 	00:14:14,00 --> 00:14:19,50 	someone's long-haired friend looks worried.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS112 	00:23:12,00 --> 00:23:16,50 	smiling, she looks him in the eye.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS132 	00:25:34,00 --> 00:25:39,50 	she briefly looks someone in the eye.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS155 	00:28:54,00 --> 00:28:59,50 	and looks deep into her eyes.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS156 	00:29:10,00 --> 00:29:15,50 	they look around, slowly.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS332 	01:01:15,00 --> 01:01:20,50 	he scans left and right looking for a space
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS345 	01:03:06,00 --> 01:03:11,50 	someone looks into someone's eyes as he chats away happily.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS420 	01:11:47,00 --> 01:11:55,50 	mackenzie's on the phone, looks up and notices his friend.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS431 	01:16:12,00 --> 01:16:18,50 	brother and sister look at one another, then someone pats someone on the shoulder and goes back to her teammates.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS444 	01:16:58,00 --> 01:17:03,50 	they sit, barely looking at one another.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS488 	01:20:30,00 --> 01:20:36,50 	he draws in his sketchbook, looking at the city skyline from a rooftop.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS516 	01:24:23,00 --> 01:24:27,50 	she smiles and looks away.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS517 	01:24:24,00 --> 01:24:28,50 	hurt, he looks away from her.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS519 	01:26:13,00 --> 01:26:18,50 	they sit together looking out at the city.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS522 	01:26:20,00 --> 01:26:24,50 	he looks down at her diamond ring
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS530 	01:27:00,00 --> 01:27:04,50 	someone stands, looking at the skyline
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS543 	01:30:25,00 --> 01:30:30,50 	she looks right at the camera with a twinkle in his eye.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS80 	00:05:27,00 --> 00:05:33,50 	leaning next to the cop, someone looks at a file in his hand.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS85 	00:07:06,00 --> 00:07:12,50 	he and someone share a smile, then look away.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS86 	00:07:14,00 --> 00:07:20,50 	she looks at someone as he stares out the windshield.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS100 	00:08:31,00 --> 00:08:37,50 	looking it over, the heartened detective inhales deeply.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS107 	00:09:01,00 --> 00:09:07,50 	he looks at the file, then takes out a pack of cigarettes.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS126 	00:10:44,00 --> 00:10:48,50 	someone looks out the windshield.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS229 	00:19:09,00 --> 00:19:14,50 	someone exits the van and looks about.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS297 	00:25:46,00 --> 00:26:05,50 	looking over, he spots someone's blue van and the armored truck speeding down the highway below.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS522 	00:50:44,00 --> 00:50:49,50 	they look up at stained glass skylights.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS546 	00:53:06,00 --> 00:53:11,50 	someone gets on his feet and looks around.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS568 	00:54:49,00 --> 00:54:55,50 	he sits on the floor and opens his jacket to look at his side.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS573 	00:58:17,00 --> 00:58:22,50 	he looks at his son with a smirk.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS578 	00:59:06,00 --> 00:59:10,50 	someone looks at the small metal piece, as someone chucks it aside.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS590 	01:01:13,00 --> 01:01:20,50 	someone looks away, leaning back in his seat.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS612 	01:03:22,00 --> 01:03:25,50 	someone looks at him.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS627 	01:04:50,00 --> 01:04:57,50 	standing behind his son, he looks at someone and his expression softens.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS629 	01:05:16,00 --> 01:05:21,50 	looking away, someone nods a little.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS632 	01:05:36,00 --> 01:05:41,50 	the young man looks away.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS634 	01:05:42,00 --> 01:05:46,50 	someone looks down.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS779 	01:17:33,00 --> 01:17:41,50 	looking away, someone spots the pistol beside someone's dead body.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS781 	01:18:04,00 --> 01:18:12,50 	he looks down from someone's piercing glare.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS846 	01:23:42,00 --> 01:23:48,50 	looking out a side door, someone sees the guns engaging.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS938 	01:31:02,00 --> 01:31:08,50 	someone grins and hugs her back, while someone looks on with a fond, tender smile.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS50 	00:15:11,00 --> 00:15:16,50 	someone looks away, shakes his head then faces his mother.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS53 	00:15:27,00 --> 00:15:31,50 	she looks back up at someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS60 	00:17:35,00 --> 00:17:41,50 	standing close to someone, someone looks into his eyes, then smiles.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS83 	00:22:37,00 --> 00:22:42,50 	he gazes up at the tree, then looks toward someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS106 	00:27:03,00 --> 00:27:10,50 	he raises his head and looks at the other half of the bed, which is empty.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS115 	00:27:39,00 --> 00:27:45,50 	he stops writing and looks outside at the tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS162 	00:30:45,00 --> 00:30:51,50 	someone looks to his left then smiles at the doctor, who smiles back.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS202 	00:38:53,00 --> 00:38:59,50 	someone glances at his phone then looks up as tyler swings into him.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS207 	00:39:56,00 --> 00:40:01,50 	she turns and looks into the backyard.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS231 	00:44:30,00 --> 00:44:35,50 	someone looks around himself.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS369 	01:04:33,00 --> 01:04:38,50 	he looks down and shakes his head slightly.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS412 	01:11:55,00 --> 01:12:01,50 	he looks up as a butterfly flutters past his face.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS454 	01:18:38,00 --> 01:18:43,50 	she looks up and calls toward the door.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS471 	01:21:07,00 --> 01:21:12,50 	someone looks up as it begins to rain.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS47 	00:04:38,00 --> 00:04:43,50 	someone looks at his mother's sleeping face.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS61 	00:06:18,00 --> 00:06:24,50 	someone looks at his unresponsive mother.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS88 	00:09:59,00 --> 00:10:06,50 	he looks at someone, the bullet now lodged in the dead man's right eye.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS116 	00:12:35,00 --> 00:12:41,50 	she looks someone over then continues on down some stairs.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS190 	00:25:42,00 --> 00:26:00,50 	as the trapped hunter looks on, the vampire opens a gleaming straight razor, turns it over and touches the blade.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS208 	00:28:04,00 --> 00:28:10,50 	she looks down at him with a sweet, coy smile.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS286 	00:41:22,00 --> 00:41:36,50 	through a veil of wafting dust, we glimpse someone as he looks back and grins.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS306 	00:44:21,00 --> 00:44:32,50 	as the others look on, the unshaven man holds his ground awaiting the imminent attack.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS311 	00:45:32,00 --> 00:45:38,50 	someone looks up from his trembling victim, his mouth dripping with blood.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS335 	00:47:49,00 --> 00:47:55,50 	as someone looks up from the door, a hooded figure nears.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS350 	00:49:49,00 --> 00:49:53,50 	someone looks on.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS390 	00:54:38,00 --> 00:55:09,50 	looking on, someone discreetly works through ropes binding his wrists.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS422 	01:00:01,00 --> 01:00:05,50 	outside, someone looks up.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS423 	01:00:07,00 --> 01:00:13,50 	as someone looks on anxiously, someone waves the search team on.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS440 	01:03:43,00 --> 01:03:48,50 	the men turn and the boy looks up from his play.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS457 	01:05:26,00 --> 01:05:32,50 	someone pauses briefly looking over her shoulder at the sultry woman.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS467 	01:06:19,00 --> 01:06:34,50 	watching him, someone notices his stricken gaze as he looks away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS486 	01:08:10,00 --> 01:08:14,50 	the president looks up at him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS494 	01:09:11,00 --> 01:09:18,50 	looking past someone, someone finds someone arriving in the doorway dressed in mourning.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS532 	01:15:32,00 --> 01:15:42,50 	someone faces his old friend who looks down with a thoughtful gaze.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS566 	01:19:03,00 --> 01:19:09,50 	pausing, the president looks up at his old friend.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS586 	01:21:22,00 --> 01:21:26,50 	pausing, he looks up.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS596 	01:22:12,00 --> 01:22:46,50 	as he looks up, a vampire leaps from the shadows.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS620 	01:27:22,00 --> 01:27:28,50 	then looks up from the stone with a knowing gaze.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS628 	01:28:22,00 --> 01:28:33,50 	he spots someone unconscious on his back, then looks up through the open ceiling.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS632 	01:28:54,00 --> 01:29:18,50 	the vampire looks up at them.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS636 	01:29:55,00 --> 01:29:59,50 	someone looks back.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS166 	00:27:44,00 --> 00:27:48,50 	someone looks for an empty seat.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS192 	00:32:16,00 --> 00:32:22,50 	a dissatisfied someone looks over her peers.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS239 	00:38:58,00 --> 00:39:03,50 	he turns off his music and looks at someone with interest.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS297 	00:49:27,00 --> 00:49:34,50 	someone and two of her peers dance in perfect unison while the other students look on.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS318 	00:53:29,00 --> 00:53:35,50 	everyone turns to look at him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS360 	00:58:18,00 --> 00:58:23,50 	later, someone's dark hair looks frizzy and dry.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS365 	00:58:40,00 --> 00:58:48,50 	someone looks at her smooth, shiny, dark hair with gentle curls.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS388 	01:02:22,00 --> 01:02:27,50 	out of costume, the two men look out the window.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS457 	01:12:19,00 --> 01:12:23,50 	someone looks back.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS506 	01:20:28,00 --> 01:20:32,50 	the watchman looks around skeptically, then moves on.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS515 	01:21:00,00 --> 01:21:04,50 	the two henchmen look around.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS574 	01:29:36,00 --> 01:29:43,50 	on stage, someone sets her fingers on the keys and nervously looks over the crowd.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS575 	01:30:03,00 --> 01:30:10,50 	audience members look on uneasily.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS629 	01:37:16,00 --> 01:37:28,50 	meanwhile, someone races past rows of bookshelves, looking down each aisle.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS635 	01:38:03,00 --> 01:38:09,50 	blinking resignedly, someone looks at someone who snatches the gun away.
BLINDDATING.srt 	BLINDDATING_DVS113 	00:30:58,00 --> 00:31:04,50 	someone looks to dr.
BLINDDATING.srt 	BLINDDATING_DVS278 	01:09:41,00 --> 01:10:00,50 	now, orderlies wheel someone along on a gurney and someone looks on.
BLINDDATING.srt 	BLINDDATING_DVS291 	01:12:30,00 --> 01:12:40,50 	someone looks on.
BLINDDATING.srt 	BLINDDATING_DVS304 	01:14:59,00 --> 01:15:08,50 	he looks again, sees her tender and emotional gaze and smiles at her.
BLINDDATING.srt 	BLINDDATING_DVS313 	01:16:14,00 --> 01:16:19,50 	and he straightens and looks to his left.
BRUNO.srt 	BRUNO_DVS90 	00:20:19,00 --> 00:20:23,50 	someone looks at someone.
BRUNO.srt 	BRUNO_DVS93 	00:20:39,00 --> 00:20:45,50 	someone looks away angrily with the focus group.
BRUNO.srt 	BRUNO_DVS96 	00:21:44,00 --> 00:21:55,50 	he looks up as someone approaches.
BRUNO.srt 	BRUNO_DVS125 	00:28:54,00 --> 00:28:59,50 	a man looks up to find him smoking up.
BRUNO.srt 	BRUNO_DVS135 	00:31:46,00 --> 00:31:56,50 	then, softly motions his own hands in front of his face in a dance, as the men look on.
BRUNO.srt 	BRUNO_DVS139 	00:33:21,00 --> 00:33:28,50 	he says that your king osama looks like a dirty wizard or a homeless santa claus.
BRUNO.srt 	BRUNO_DVS158 	00:43:46,00 --> 00:43:59,50 	inside, he looks over a display of various pies near the cashier.
BRUNO.srt 	BRUNO_DVS218 	01:01:13,00 --> 01:01:22,50 	someone looks away.
BURLESQUE.srt 	BURLESQUE_DVS124 	00:17:12,00 --> 00:17:16,50 	she looks back.
BURLESQUE.srt 	BURLESQUE_DVS148 	00:20:15,00 --> 00:20:20,50 	someone looks on with a tray of empty glasses.
BURLESQUE.srt 	BURLESQUE_DVS152 	00:21:00,00 --> 00:21:04,50 	someone looks on.
BURLESQUE.srt 	BURLESQUE_DVS163 	00:23:12,00 --> 00:23:21,50 	someone watches her and someone looks up from pouring a drink.
BURLESQUE.srt 	BURLESQUE_DVS228 	00:33:45,00 --> 00:33:51,50 	someone gyrates her backside, then looks over her shoulder.
BURLESQUE.srt 	BURLESQUE_DVS364 	00:50:02,00 --> 00:50:06,50 	someone looks on.
BURLESQUE.srt 	BURLESQUE_DVS376 	00:52:04,00 --> 00:52:09,50 	coco looks at someone.
BURLESQUE.srt 	BURLESQUE_DVS380 	00:52:58,00 --> 00:53:04,50 	as someone grabs her stuff, someone self-consciously looks away.
BURLESQUE.srt 	BURLESQUE_DVS471 	01:04:57,00 --> 01:05:05,50 	as the other girls look on, she opens the present and pulls out a pair of louboutin shoes just like someone's.
BURLESQUE.srt 	BURLESQUE_DVS494 	01:08:57,00 --> 01:09:02,50 	looking on, someone smiles proudly.
BURLESQUE.srt 	BURLESQUE_DVS579 	01:26:16,00 --> 01:26:23,50 	someone looks demurely up at him from the daybed.
BURLESQUE.srt 	BURLESQUE_DVS600 	01:28:28,00 --> 01:28:33,50 	as someone looks over her shoulder, the bedroom lights go out.
BURLESQUE.srt 	BURLESQUE_DVS632 	01:35:14,00 --> 01:35:19,50 	someone looks up from his bed and they smile.
BURLESQUE.srt 	BURLESQUE_DVS641 	01:37:25,00 --> 01:37:30,50 	someone looks pointedly after someone walking to his car.
BURLESQUE.srt 	BURLESQUE_DVS647 	01:39:52,00 --> 01:39:59,50 	she looks out a window and spots someone pacing outside on his phone.
BURLESQUE.srt 	BURLESQUE_DVS662 	01:42:41,00 --> 01:42:47,50 	someone lowers her gaze, then looks up and gives an amused roll of the eyes.
BURLESQUE.srt 	BURLESQUE_DVS672 	01:44:28,00 --> 01:44:36,50 	inside the club, someone strolls up to someone, who sits at a table looking through a stack of paperwork.
BURLESQUE.srt 	BURLESQUE_DVS706 	01:47:41,00 --> 01:47:47,50 	with her lips pursed in a haughty expression, the diva looks away.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS164 	00:30:36,00 --> 00:30:43,50 	someone smiles as she looks out her window.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS380 	01:08:26,00 --> 01:08:32,50 	he pulls himself up onto the catwalk and looks back at someone on the opposite side.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS420 	01:16:17,00 --> 01:16:25,50 	the woman looks up from her paper and smiles at him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS451 	01:20:45,00 --> 01:20:50,50 	someone looks up at someone and salutes him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS641 	01:47:56,00 --> 01:48:00,50 	someone looks down.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS50 	00:03:34,00 --> 00:03:42,50 	as they glide through calmer water, someone looks around with an ecstatic, open-mouthed grin.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS68 	00:05:50,00 --> 00:05:54,50 	someone looks at the girl.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS81 	00:06:37,00 --> 00:06:42,50 	he looks off then hurries down the hall.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS90 	00:07:10,00 --> 00:07:15,50 	she looks at him through bleary eyes.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS97 	00:07:33,00 --> 00:07:40,50 	he turns on the light and takes it in his hands, looking down at it.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS115 	00:09:17,00 --> 00:09:22,50 	someone squats down and looks behind a metal utility shelf.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS125 	00:09:52,00 --> 00:09:58,50 	he looks down the length of the board to the tail and finds three empty slits.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS149 	00:11:59,00 --> 00:12:04,50 	he stops and looks out at the waves.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS174 	00:13:52,00 --> 00:13:56,50 	they look over their shoulders.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS181 	00:14:13,00 --> 00:14:18,50 	hunched over and jaw hanging slack, someone looks up.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS211 	00:17:02,00 --> 00:17:08,50 	someone throws blond off of him and looks up to see someone frowning.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS271 	00:20:46,00 --> 00:20:51,50 	from the distant bluffs, someone appears as a tiny speck as he looks on.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS280 	00:21:21,00 --> 00:21:28,50 	as someone looks on ecstatically, the older surfer pops up at the wave's crest,
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS286 	00:21:56,00 --> 00:22:02,50 	looking around, someone spots the teen on the bluffs.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS365 	00:34:35,00 --> 00:34:40,50 	someone halts and looks back.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS382 	00:36:06,00 --> 00:36:13,50 	looking down, he finds his wife's delicate features set in a solemn expression.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS402 	00:37:33,00 --> 00:37:38,50 	as he looks it over, he lifts his brow and nods.
