A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS280 	00:24:04,00 --> 00:24:14,50 	someone pulls the emergency brake and as he spins, the rocket soars over his flatbed and strikes a garbage truck.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS464 	01:38:20,00 --> 01:38:28,50 	it arcs off the lamppost like tesla coils and strikes someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS213 	00:33:41,00 --> 00:33:49,50 	the performers struck a final pose.
SUPER_8.srt 	SUPER_8_DVS270 	00:45:35,00 --> 00:45:42,50 	a huge creature rears up, something strikes the truck smashing the windshield, someone vanishes.
SUPER_8.srt 	SUPER_8_DVS404 	01:12:58,00 --> 01:13:05,50 	as two soldiers talk nearby a bullet strikes the tanker which explodes.
SUPER_8.srt 	SUPER_8_DVS464 	01:21:35,00 --> 01:21:41,50 	the rifle fires a dart which strikes the glass door of the holding cell cracking it.
SUPER_8.srt 	SUPER_8_DVS558 	01:33:22,00 --> 01:33:29,50 	from across the chamber, someone keeps an eye on someone who continues to strike the lighter.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS206 	00:29:53,00 --> 00:29:58,50 	a cork strikes a thug in the forehead.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS288 	00:41:27,00 --> 00:41:31,50 	it strikes the lifeboat and shatters it.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS338 	00:52:28,00 --> 00:52:33,50 	lightning strikes the wing of the plane, which flips upside down.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS400 	00:59:16,00 --> 00:59:22,50 	which zip through huge ocean swills and strike the unicorn's bow.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS694 	01:32:54,00 --> 01:33:03,50 	a bottle strikes someone in the back.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1183 	02:06:21,00 --> 02:06:27,50 	he turns and she strikes him in the face knocking him to the tile floor.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1293 	02:17:13,00 --> 02:17:18,50 	she strikes him with an oar and he falls off the docks.
THE_WATCH.srt 	THE_WATCH_DVS484 	01:26:56,00 --> 01:27:04,50 	he takes out someone's legs, then strikes again.
THOR.srt 	THOR_DVS26 	00:02:44,00 --> 00:02:57,50 	someone grabs the steering wheel with one hand, lightning arcs from the spinning column of dark vapor and strikes the ground around the truck.
THOR.srt 	THOR_DVS27 	00:02:55,00 --> 00:03:00,50 	the truck strikes a man who appears out of the fog.
THOR.srt 	THOR_DVS154 	00:22:11,00 --> 00:22:23,50 	someone throws someone at the armored giant, striking his face.
THOR.srt 	THOR_DVS173 	00:23:36,00 --> 00:23:44,50 	someone smashes another giant with someone, then hurls his hammer across the battlefield striking down several enemies.
THOR.srt 	THOR_DVS223 	00:29:55,00 --> 00:30:05,50 	on earth, someone stares at black-haired someone, as their research vehicle strikes a man before skidding to a halt.
THOR.srt 	THOR_DVS567 	01:28:44,00 --> 01:28:50,50 	the war hammer boomerangs back and strikes the destroyer to the ground.
THOR.srt 	THOR_DVS617 	01:33:36,00 --> 01:33:45,50 	as someone raises an ice dagger, a bolt of energy strikes him down.
TRUE_GRIT.srt 	TRUE_GRIT_DVS411 	01:21:25,00 --> 01:21:34,50 	someone snatches it and strikes her.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1222 	01:49:14,00 --> 01:49:27,50 	beast throws someone, then strikes his chest, dropping him face down on the sand.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1294 	01:56:46,00 --> 01:56:57,50 	someone deflects each bullet fired by her and one strikes someone in the back.
ZOMBIELAND.srt 	ZOMBIELAND_DVS610 	01:10:08,00 --> 01:10:16,50 	as the ride's base shoots into the air, the zombie plummets, striking the tower on his way down.
