21_JUMP_STREET.srt 	21_JUMP_STREET_DVS38 	00:04:22,00 --> 00:04:30,50 	now by someone's bed, someone shoots him with a toy gun.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS430 	01:01:53,00 --> 01:01:59,50 	someone shoots a cutting look at someone who lowers his gaze.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS596 	01:22:12,00 --> 01:22:46,50 	the wounded vampire rises, but someone shoots him through the forehead.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS602 	01:23:09,00 --> 01:23:40,50 	on the roof, someone draws two pistols and shoots a vampire.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS663 	01:33:24,00 --> 01:33:36,50 	she shoots someone and the vampire lands on her back, the silver sword dangling from a hole in her head.
BAD_TEACHER.srt 	BAD_TEACHER_DVS97 	00:26:35,00 --> 00:26:40,50 	a woman's hand shoots up.
BAD_TEACHER.srt 	BAD_TEACHER_DVS302 	01:20:40,00 --> 01:20:45,50 	he shoots someone a fearful glance.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS107 	00:15:15,00 --> 00:15:21,50 	as the informant sprints out of the warehouse, the mobster shoots him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS115 	00:15:58,00 --> 00:16:05,50 	someone appears and shoots someone in the leg.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS179 	00:30:56,00 --> 00:31:03,50 	someone shoots a snarky glance toward someone who wears a slack-jawed frown.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS409 	01:05:53,00 --> 01:05:59,50 	shooting someone a wary look, someone heads inside.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS650 	01:39:40,00 --> 01:39:47,50 	as they drop both russians, someone returns and shoots the ceiling.
BLINDDATING.srt 	BLINDDATING_DVS80 	00:24:31,00 --> 00:24:37,50 	someone shoots someone a quick glare.
BRUNO.srt 	BRUNO_DVS23 	00:04:36,00 --> 00:04:40,50 	and shoots back to someone's hips.
BURLESQUE.srt 	BURLESQUE_DVS222 	00:33:20,00 --> 00:33:29,50 	someone shoots a satisfied glance toward someone at the back of the house.
BURLESQUE.srt 	BURLESQUE_DVS710 	01:47:56,00 --> 01:48:02,50 	the brunette shoots her another look,
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS56 	00:08:01,00 --> 00:08:09,50 	the nazi officer shoots the bearded man, then touches the side of his own face as he works his jaw.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS211 	00:38:08,00 --> 00:38:24,50 	as someone flees the room, he shoots an mp.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS218 	00:38:50,00 --> 00:39:08,50 	pursuing agents shoot the gunman as someone's car speeds away.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS341 	01:03:22,00 --> 01:03:39,50 	outside, escaped prisoners shoot down several hydra soldiers.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS450 	01:20:37,00 --> 01:20:45,50 	outside another destroyed factory, a hydra guard aims a gun at someone but someone shoots the guard first.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS513 	01:32:11,00 --> 01:32:21,50 	the troopers shoot blasters at someone as they speed closer.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS514 	01:32:23,00 --> 01:32:44,50 	someone pushes a button and flames shoot out of his tailpipe, setting a pursuing trooper on fire.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS531 	01:35:05,00 --> 01:35:14,50 	outside, grappling hooks and cables shoot into the mountainside above the barred window.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS548 	01:36:37,00 --> 01:36:41,50 	someone shoots the trooper.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS550 	01:36:43,00 --> 01:36:59,50 	someone approaches from a connecting corridor and shoots her machine gun.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS557 	01:37:19,00 --> 01:37:28,50 	allied soldiers shoot three hydra troopers trying to climb up behind him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS567 	01:38:41,00 --> 01:38:47,50 	flames shoot out of the back of the car as it shoots forward.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS567 	01:38:41,00 --> 01:38:47,50 	flames shoot out of the back of the car as it shoots forward.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS624 	01:44:53,00 --> 01:45:01,50 	an intensifying beam shoots out of the top of the cube and someone's fingers begin to smoke.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS625 	01:45:06,00 --> 01:45:12,50 	the energy beam shoots out of the top of the plane and into the sky.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS172 	00:13:38,00 --> 00:13:42,50 	someone shoots him an impatient look.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS415 	00:39:07,00 --> 00:39:14,50 	the board shoots out of the water with someone unseen and someone smiles from the beach.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS517 	00:50:22,00 --> 00:50:27,50 	the surfer's bright orange board shoots out of the wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1059 	01:41:39,00 --> 01:41:44,50 	someone shoots someone a pleading look.
CHRONICLE.srt 	CHRONICLE_DVS510 	01:13:02,00 --> 01:13:07,50 	both boys shoot straight up into the air.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS91 	00:16:54,00 --> 00:16:59,50 	someone shoots him a harsh look.
COLOMBIANA.srt 	COLOMBIANA_DVS141 	00:12:58,00 --> 00:13:06,50 	lowering herself to another ledge, she uses the top one for cover as a bald gunman shoots down at her.
COLOMBIANA.srt 	COLOMBIANA_DVS194 	00:16:48,00 --> 00:16:54,50 	someone shoots his handgun into the storm drain opening.
COLOMBIANA.srt 	COLOMBIANA_DVS249 	00:20:58,00 --> 00:21:06,50 	she timidly strides between two columns of benches shooting furtive glances at the other commuter.
COLOMBIANA.srt 	COLOMBIANA_DVS268 	00:22:20,00 --> 00:22:25,50 	he shoots his lackey a stunned look.
COLOMBIANA.srt 	COLOMBIANA_DVS541 	00:49:02,00 --> 00:49:06,50 	the killer shoots them.
COLOMBIANA.srt 	COLOMBIANA_DVS661 	01:02:07,00 --> 01:02:13,50 	she shoots him in his leg and he sinks to one knee.
COLOMBIANA.srt 	COLOMBIANA_DVS664 	01:02:27,00 --> 01:02:34,50 	someone shoots him in the shoulder and he tumbles into the uncovered gap in the panel.
COLOMBIANA.srt 	COLOMBIANA_DVS1087 	01:43:04,00 --> 01:43:10,50 	at the fbi, agent someone shoots his partner a frustrated look.
DEAR_JOHN.srt 	DEAR_JOHN_DVS27 	00:03:10,00 --> 00:03:32,50 	the soldier seizes it, then kicks off the bottom and shoots back to the surface.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS224 	00:56:18,00 --> 00:56:25,50 	as someone gets in the car, he shoots a superior look in someone's direction.
DISTRICT_9.srt 	DISTRICT_9_DVS157 	00:18:17,00 --> 00:18:31,50 	some of the guns are small, but if it shoot you, it make a big mess.
DISTRICT_9.srt 	DISTRICT_9_DVS230 	00:25:49,00 --> 00:25:53,50 	someone shoots it in the head.
DISTRICT_9.srt 	DISTRICT_9_DVS597 	01:10:16,00 --> 01:10:22,50 	and the guard shoots him in the chest.
DISTRICT_9.srt 	DISTRICT_9_DVS719 	01:25:00,00 --> 01:25:10,50 	as someone shoots a gangster.
DISTRICT_9.srt 	DISTRICT_9_DVS732 	01:26:29,00 --> 01:26:36,50 	it shoots someone.
DISTRICT_9.srt 	DISTRICT_9_DVS844 	01:39:50,00 --> 01:39:58,50 	the colonel shoots two of them.
EASY_A.srt 	EASY_A_DVS37 	00:09:11,00 --> 00:09:22,50 	the friend turns to a guy behind her, then we shoot outside past a row of lockers to find someone.
EASY_A.srt 	EASY_A_DVS44 	00:15:08,00 --> 00:15:13,50 	someone's hand shoots up.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS157 	00:41:49,00 --> 00:41:56,50 	later he dribbles and passes to someone who shoots and scores.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS176 	00:48:28,00 --> 00:48:34,50 	she pauses to shoot someone a glare before reaching the stranger.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS233 	01:01:59,00 --> 01:02:07,50 	as his father goes inside in his shirt and skivvies, someone shoots a look at someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS27 	00:04:10,00 --> 00:04:29,50 	he shoots out the hatchback's rear window, then the motorcycle's back tire, launching someone over a safety railing.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS84 	00:13:38,00 --> 00:13:46,50 	shielding her face, she shoots blindly.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS228 	00:36:57,00 --> 00:37:05,50 	as he turns to her with a smile, she shoots him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS242 	00:38:46,00 --> 00:39:00,50 	the guard shoots into ghost rider's open mouth.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS248 	00:39:29,00 --> 00:39:41,50 	as guards shoot at him, the leather clad skeleton rises to his feet.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS267 	00:41:51,00 --> 00:42:00,50 	someone shoots him a fearful glance.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS321 	00:48:45,00 --> 00:48:53,50 	as someone mimes urinating, someone imagines ghost rider shooting out a powerful stream of fire.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS408 	00:59:44,00 --> 00:59:54,50 	he shoots a seemingly endless length of chain from his mouth.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS513 	01:13:51,00 --> 01:13:57,50 	he tosses the bottle and shoots them both down.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS526 	01:14:55,00 --> 01:15:00,50 	he shoots down a guard.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS527 	01:14:59,00 --> 01:15:10,50 	as he watches someone shooting his guards and acolytes, someone runs onto the stage and punches him out.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS528 	01:15:10,00 --> 01:15:21,50 	someone runs through the stands shooting more acolytes.
GREEN_ZONE.srt 	GREEN_ZONE_DVS439 	01:36:43,00 --> 01:36:47,50 	fire as someone's aide shoots him.
HUGO.srt 	HUGO_DVS478 	01:09:52,00 --> 01:09:59,50 	someone gazes up at a mural of a celestial figure shooting wind from his finger.
HUGO.srt 	HUGO_DVS570 	01:23:45,00 --> 01:23:54,50 	sparks shoot from between the train's wheels.
HUGO.srt 	HUGO_DVS674 	01:37:52,00 --> 01:37:57,50 	flames shoot from the dragon's nostrils.
HUGO.srt 	HUGO_DVS689 	01:39:54,00 --> 01:40:01,50 	sparks shoot in front of someone as she reclined in front of a painting of a shooting star.
IN_TIME.srt 	IN_TIME_DVS227 	00:23:55,00 --> 00:24:01,50 	the chauffeur shoots him a look in the rear view mirror.
IN_TIME.srt 	IN_TIME_DVS275 	00:28:09,00 --> 00:28:16,50 	he shoots furtive glances at his surroundings as he devours his french fries.
IN_TIME.srt 	IN_TIME_DVS320 	00:33:03,00 --> 00:33:10,50 	someone shoots the auburn-haired woman a sidelong glance.
IN_TIME.srt 	IN_TIME_DVS633 	01:07:39,00 --> 01:07:44,50 	someone shoots him a glance.
IN_TIME.srt 	IN_TIME_DVS656 	01:11:13,00 --> 01:11:18,50 	now, someone teaches someone how to shoot.
IN_TIME.srt 	IN_TIME_DVS748 	01:19:10,00 --> 01:19:21,50 	as someone races on, someone shoots back at their pursuer, then follows her.
IN_TIME.srt 	IN_TIME_DVS750 	01:19:26,00 --> 01:19:30,50 	someone shoots back.
IN_TIME.srt 	IN_TIME_DVS753 	01:19:36,00 --> 01:19:46,50 	lunging out to shoot, someone finds them gone.
IN_TIME.srt 	IN_TIME_DVS816 	01:26:33,00 --> 01:27:01,50 	without breaking eye contact with someone, someone draws a gun from his boot and shoots the underlings.
IN_TIME.srt 	IN_TIME_DVS840 	01:29:17,00 --> 01:29:22,50 	someone shoots her a questioning glance.
INSIDE_MAN.srt 	INSIDE_MAN_DVS96 	00:24:49,00 --> 00:25:13,50 	the robbers shoot looks at the hostages through their sunglasses.
INSIDE_MAN.srt 	INSIDE_MAN_DVS296 	01:30:08,00 --> 01:30:15,50 	officers shoot them down.
IRON_MAN_2.srt 	IRON_MAN_2_DVS472 	01:25:50,00 --> 01:25:56,50 	the accelerator shoots beams of light through the prism.
IRON_MAN_2.srt 	IRON_MAN_2_DVS603 	01:43:47,00 --> 01:44:08,50 	he enters the unisphere, bounces off the eurasian continent, then shoots back out.
IRON_MAN_2.srt 	IRON_MAN_2_DVS648 	01:49:20,00 --> 01:49:25,50 	pulse whips shoot out from the arms of someone's suit.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS103 	00:22:06,00 --> 00:22:13,50 	she submerges then shoots 20 feet out of the water and crashes down on the patio table.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS388 	01:14:46,00 --> 01:14:50,50 	irma shooting herself.
KARATE_KID.srt 	KARATE_KID_DVS1132 	01:34:09,00 --> 01:34:16,50 	as others shoot someone offended looks, he sheepishly trails off.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS358 	01:24:49,00 --> 01:24:53,50 	rockets shoot upward.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS360 	01:25:01,00 --> 01:25:07,50 	fountains of sparking fireworks shoot up behind them.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS174 	01:04:26,00 --> 01:04:31,50 	someone shoots someone a look of concern.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS80 	00:20:38,00 --> 00:20:47,50 	she eyes the students who shoot each other uneasy glances, then return their attention to their professor.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS100 	00:40:15,00 --> 00:40:23,50 	later, someone sits with her as she pretends to shoot green toy soldiers with tan ones.
MORNING_GLORY.srt 	MORNING_GLORY_DVS122 	00:27:19,00 --> 00:27:26,50 	someone shoots two pheasants flying above the trees.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS462 	00:54:27,00 --> 00:54:34,50 	he forces a smile, then shoots the corner table another glance.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS507 	01:01:14,00 --> 01:01:20,50 	grinning, someone shoots her dad a tearful glance.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS342 	01:14:50,00 --> 01:15:01,50 	lord someone watches the boy shoot him a final glance, then exit the room.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS95 	00:22:23,00 --> 00:22:27,50 	archers almost shoot them.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS124 	00:28:51,00 --> 00:28:59,50 	someone sidesteps impatiently as someone turns and shoots a tentative look over his shoulder.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS240 	01:04:15,00 --> 01:04:20,50 	someone shoots another custodian.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS401 	01:37:31,00 --> 01:37:37,50 	someone shoots it with lightning as someone swoops through an open floor.
PROMETHEUS.srt 	PROMETHEUS_DVS160 	00:10:11,00 --> 00:10:17,50 	he shoots the basketball from the bike and it goes through the basket.
PROMETHEUS.srt 	PROMETHEUS_DVS899 	01:39:38,00 --> 01:39:46,50 	the aide shoots the engineer, and he drops the head.
PROMETHEUS.srt 	PROMETHEUS_DVS1014 	01:50:52,00 --> 01:51:03,50 	she pounds a touchscreen, a tentacle shoots out through the med pod station doors lashes around the engineer's throat and tackles him, taking someone down with them.
PROMETHEUS.srt 	PROMETHEUS_DVS1027 	01:51:50,00 --> 01:51:57,50 	the buds shoot out tendrils that lash around his skull and hold him still.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS217 	00:40:20,00 --> 00:40:27,50 	behind barton, a stout, baby-faced man steps into the hall and shoots him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS416 	01:20:18,00 --> 01:20:27,50 	someone accepts the cash, gives his brow a resigned lift, and shoots a tentative smile at someone.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS458 	01:28:11,00 --> 01:28:18,50 	as someone shoots the side door, homer fires back.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS568 	01:45:48,00 --> 01:45:57,50 	standing outside an apartment door, one shoots the top and bottom hinges.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS261 	00:40:31,00 --> 00:40:36,50 	someone shoots him an incredulous look.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS306 	00:48:54,00 --> 00:49:00,50 	someone mimes shooting someone and he falls to the sand.
SALT.srt 	SALT_DVS63 	00:13:11,00 --> 00:13:16,50 	a boy's hand shoots up.
SALT.srt 	SALT_DVS92 	00:19:16,00 --> 00:19:25,50 	now someone and someone enter a security hub where a monitor shows someone in the elevator shooting his victims in the head.
SALT.srt 	SALT_DVS297 	00:52:20,00 --> 00:52:29,50 	she shoots him.
SALT.srt 	SALT_DVS468 	01:20:18,00 --> 01:20:24,50 	over the table and someone shoots her.
SALT.srt 	SALT_DVS469 	01:20:28,00 --> 01:20:43,50 	someone shoots him.
SANCTUM.srt 	SANCTUM_DVS149 	00:31:27,00 --> 00:31:35,50 	someone shoots someone a sidelong glance, then sits beside someone who eats rice from a pot.
SANCTUM.srt 	SANCTUM_DVS374 	01:14:29,00 --> 01:14:38,50 	someone shoots someone a disbelieving glance.
SANCTUM.srt 	SANCTUM_DVS454 	01:25:15,00 --> 01:25:21,50 	someone pauses beside him and someone shoots him a glance.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS195 	00:14:09,00 --> 00:14:17,50 	the girl bites her lip, her eyes filling with tears, and shoots a pleading glance at a stern-faced woman watching them.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS388 	00:25:42,00 --> 00:25:47,50 	he lowers his disappointed gaze, then shoots her a tentative glance.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS157 	00:31:03,00 --> 00:31:10,50 	the man  got shot through his windshield.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS228 	00:44:02,00 --> 00:44:06,50 	now, someone shoots a fire
SOUL_SURFER.srt 	SOUL_SURFER_DVS265 	01:17:10,00 --> 01:17:17,50 	she walks over to the little boy who shoots her an uncertain look.
SPARKLE_2012.srt 	SPARKLE_2012_DVS64 	00:11:18,00 --> 00:11:25,50 	someone shoots someone a dirty look.
SPARKLE_2012.srt 	SPARKLE_2012_DVS188 	00:30:54,00 --> 00:31:00,50 	someone shoots someone a look.
SPARKLE_2012.srt 	SPARKLE_2012_DVS281 	00:44:43,00 --> 00:44:49,50 	someone shoots the reverend a look, then shakes her head.
SPARKLE_2012.srt 	SPARKLE_2012_DVS284 	00:45:07,00 --> 00:45:12,50 	someone giggles and someone shoots her a look.
SPARKLE_2012.srt 	SPARKLE_2012_DVS289 	00:47:21,00 --> 00:47:29,50 	as tune ann chomps on a carrot, her mother shoots her a furious look.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS279 	00:40:29,00 --> 00:40:34,50 	someone shoots the handle of a searchlight beside someone,
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS283 	00:40:51,00 --> 00:40:59,50 	as the helmsman spins the ship's wheel, someone runs onto the deck and shoots a flare into the night sky.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS321 	00:50:05,00 --> 00:50:12,50 	someone shoots the plane as it swoops overhead.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS412 	01:00:17,00 --> 01:00:22,50 	the pirate shoots a sailor, then lands.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS413 	01:00:19,00 --> 01:00:27,50 	sir someone shoots the pirate, punches another then kicks a third before slicing him with a sword.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS423 	01:01:06,00 --> 01:01:14,50 	sir someone picks up a piece of burning wood and lights a cannon, causing it to shoot backward and knock several pirates overboard.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS596 	01:21:13,00 --> 01:21:18,50 	he fires, but the rocket shoots out of the back of the launcher.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS657 	01:28:58,00 --> 01:29:14,50 	he shoots at someone but misses.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS40 	00:09:28,00 --> 00:09:34,50 	on a nearby court boys shoot baskets.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS69 	00:15:42,00 --> 00:15:56,50 	he shoots a glance at someone.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS200 	00:38:22,00 --> 00:38:27,50 	he shoots her an alarmed look.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS229 	00:44:38,00 --> 00:44:45,50 	someone shoots him a thoughtful look, then lowers her eyes.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS249 	00:47:45,00 --> 00:47:53,50 	someone shoots his cell a brooding glance, then reaches for his ipod and hits play.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS496 	01:29:31,00 --> 01:29:37,50 	outside, someone shoots the lock of someone's trunk and opens it.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS533 	01:37:11,00 --> 01:37:17,50 	the men shoot at each other.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS562 	01:40:32,00 --> 01:40:39,50 	as someone turns to shoot, someone sweeps his legs.
