21_JUMP_STREET.srt 	21_JUMP_STREET_DVS638 	01:36:05,00 --> 01:36:14,50 	someone resumes the gunfight.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS128 	00:29:20,00 --> 00:29:42,50 	someone resumes her work.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS338 	01:04:53,00 --> 01:05:11,50 	they glance curiously at the car, then resume their conversation.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS475 	01:30:07,00 --> 01:30:16,50 	someone resumes tracking the pair.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS234 	00:54:07,00 --> 00:54:14,50 	someone looks over her shoulder, appraises someone, then resumes her work.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS33 	00:03:58,00 --> 00:04:07,50 	someone resumes his workout.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS362 	00:59:05,00 --> 00:59:09,50 	he resumes reading.
SANCTUM.srt 	SANCTUM_DVS433 	01:22:40,00 --> 01:22:45,50 	he resumes climbing.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS720 	00:47:22,00 --> 00:47:27,50 	someone shifts in her seat again and resumes her work.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1229 	01:22:29,00 --> 01:22:34,50 	someone resumes the song.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS76 	00:17:24,00 --> 00:17:39,50 	as someone pretends to resume his homework, a pleased someone steps out.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS822 	01:34:10,00 --> 01:34:20,50 	someone averts his gaze as they resume their descent.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS101 	00:34:53,00 --> 00:34:59,50 	back on the road, they resume listening to middlesex.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS131 	00:25:39,00 --> 00:25:47,50 	then resumes work at his desktop computer.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS63 	00:12:01,00 --> 00:12:06,50 	she smiles as she resumes her work.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS242 	00:39:55,00 --> 00:40:00,50 	he looks around, then resumes drawing.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS419 	01:06:35,00 --> 01:06:39,50 	someone resumes drawing.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS756 	01:08:15,00 --> 01:08:22,50 	someone reaches out to him, resuming his flesh-and-blood form.
