A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS365 	00:33:42,00 --> 00:33:47,50 	someone offers a phone, but holds it back.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS269 	00:51:51,00 --> 00:51:56,50 	she offers her hand.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS401 	01:17:30,00 --> 01:17:41,50 	on the easel, his painting offers a portrait of someone in
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS404 	01:17:49,00 --> 01:18:02,50 	she offers a little smile and he regards her with shining eyes.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS131 	00:26:37,00 --> 00:26:50,50 	at a concession stand, he cuts someone off and offers popcorn.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS172 	00:36:00,00 --> 00:36:05,50 	she offers him a wad of cash.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS441 	01:07:24,00 --> 01:07:28,50 	someone offers a kind smile.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS498 	01:11:49,00 --> 01:11:54,50 	the woman offers a sincere concerned frown.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS677 	01:34:56,00 --> 01:35:00,50 	he offers a pen.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS762 	01:45:25,00 --> 01:45:31,50 	someone offers her hands, then guides her sister up from her seat.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS771 	01:45:59,00 --> 01:46:04,50 	on the yet unsold land, the overlook offers a majestic view of the cove and the meadows and wild groves inland of it.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS676 	01:15:37,00 --> 01:15:45,50 	the pictures pulses in and out of view, offering us fleeting glimpses of the establishment's trendy young patrons.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS754 	01:25:05,00 --> 01:25:12,50 	someone offers his hand but she heads inside ignoring him.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS757 	01:25:34,00 --> 01:25:39,50 	she offers police reports.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS898 	01:39:47,00 --> 01:39:53,50 	without looking at him she offers her lit smoke.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS949 	01:45:02,00 --> 01:45:07,50 	he offers a cigarette.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1396 	02:29:24,00 --> 02:29:31,50 	she offers him her cigarette.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS279 	01:31:37,00 --> 01:31:48,50 	the end credits start to roll over the scene, as a man pushes his mother on a wheelchair, and a teenager offers his mom a sip from his juice box.
THE_SITTER.srt 	THE_SITTER_DVS42 	00:24:30,00 --> 00:24:34,50 	he offers cocaine,
THE_SITTER.srt 	THE_SITTER_DVS74 	00:40:52,00 --> 00:40:58,50 	he offers his hand.
THE_VOW.srt 	THE_VOW_DVS67 	00:06:05,00 --> 00:06:10,50 	she offers her glass of red wine.
THE_VOW.srt 	THE_VOW_DVS269 	00:34:17,00 --> 00:34:22,50 	someone offers a small wave and he shuts the door.
THE_VOW.srt 	THE_VOW_DVS384 	00:54:02,00 --> 00:54:06,50 	he offers a sculpting knife.
THE_VOW.srt 	THE_VOW_DVS617 	01:24:38,00 --> 01:24:44,50 	munching a slice of pizza, he offers some to the cat.
THE_WATCH.srt 	THE_WATCH_DVS246 	00:44:25,00 --> 00:44:29,50 	he offers a beer.
THE_WATCH.srt 	THE_WATCH_DVS269 	00:50:20,00 --> 00:50:24,50 	he offers another piece.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS149 	00:39:18,00 --> 00:39:22,50 	she offers a smile.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS186 	00:45:23,00 --> 00:45:28,50 	he offers a glass of orange juice.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS275 	01:15:33,00 --> 01:15:38,50 	he steps close, offering a glass.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS420 	01:36:43,00 --> 01:36:51,50 	she offers him a smile.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS183 	00:34:17,00 --> 00:34:23,50 	he finally turns to someone and offers his hand.
THOR.srt 	THOR_DVS399 	00:59:47,00 --> 00:59:53,50 	an agent steps up and handcuffs someone, who offers no resistance.
THOR.srt 	THOR_DVS690 	01:42:55,00 --> 01:43:01,50 	someone offers a small smile and touches someone's bare arm.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS477 	00:51:14,00 --> 00:51:19,50 	he offers a sarcastic salute, then heads out.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS824 	01:27:46,00 --> 01:27:50,50 	someone offers a warm smile.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS841 	01:29:31,00 --> 01:29:35,50 	he offers an awkward bow.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS657 	01:31:08,00 --> 01:31:16,50 	light filters into someone's darkened bedroom through the drawn curtains, offering a shadowy view of the couple in bed.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS462 	01:12:57,00 --> 01:13:02,50 	he takes her hand as she offers his bag.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS537 	01:22:37,00 --> 01:22:42,50 	she offers a gentle sympathetic smile.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS720 	01:43:42,00 --> 01:43:50,50 	he offers a terse professional nod to the inspector, who reciprocates.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS461 	01:04:36,00 --> 01:04:43,50 	they share a gaze, then someone offers his hand, which someone accepts.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS605 	01:21:45,00 --> 01:21:51,50 	as we drift closer, it offers a glimpse of the bridal party's preparations.
ZOMBIELAND.srt 	ZOMBIELAND_DVS152 	00:14:15,00 --> 00:14:22,50 	later, someone pours bright red soda into a mug and offers it to his neighbor.
ZOMBIELAND.srt 	ZOMBIELAND_DVS215 	00:23:14,00 --> 00:23:20,50 	someone offers his shotgun but someone takes out pruning shears.
ZOMBIELAND.srt 	ZOMBIELAND_DVS349 	00:40:08,00 --> 00:40:13,50 	she offers a weak smile.
ZOMBIELAND.srt 	ZOMBIELAND_DVS515 	01:01:05,00 --> 01:01:09,50 	she offers her hand.
