21_JUMP_STREET.srt 	21_JUMP_STREET_DVS414 	01:10:03,00 --> 01:10:09,50 	someone steps on the brake and the car stops short again.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS322 	00:46:21,00 --> 00:46:37,50 	he goes to strike, but his arm stops mid-stab.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS625 	01:28:06,00 --> 01:28:18,50 	they start for the locomotive but stop short.
BAD_TEACHER.srt 	BAD_TEACHER_DVS185 	00:52:01,00 --> 00:52:09,50 	the red head struggles to stop making the odd face.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS257 	00:44:09,00 --> 00:44:13,50 	someone stops him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS316 	00:51:45,00 --> 00:51:50,50 	someone stops the model from disrobing.
BLINDDATING.srt 	BLINDDATING_DVS140 	00:38:39,00 --> 00:38:46,50 	they stop and face each other.
BLINDDATING.srt 	BLINDDATING_DVS149 	00:40:12,00 --> 00:40:21,50 	she stops in her tracks and grins.
BLINDDATING.srt 	BLINDDATING_DVS264 	01:04:52,00 --> 01:05:00,50 	as he stops just inside, someone stands up behind the reception desk.
BLINDDATING.srt 	BLINDDATING_DVS270 	01:06:03,00 --> 01:06:21,50 	someone stops with someone at his side.
BURLESQUE.srt 	BURLESQUE_DVS61 	00:05:45,00 --> 00:05:50,50 	she stops at an eye-catching archway.
BURLESQUE.srt 	BURLESQUE_DVS275 	00:38:08,00 --> 00:38:15,50 	she stops in the doorway and watches as someone tries to paint on eyeliner.
BURLESQUE.srt 	BURLESQUE_DVS339 	00:46:38,00 --> 00:46:45,50 	someone stops dancing and gazes across the lounge toward the sound booth.
BURLESQUE.srt 	BURLESQUE_DVS550 	01:19:41,00 --> 01:19:49,50 	the car stops abruptly.
BURLESQUE.srt 	BURLESQUE_DVS656 	01:41:22,00 --> 01:41:30,50 	she stops and takes a second long look at a red neon sign which reads, the best view on the sunset strip.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS37 	00:04:51,00 --> 00:04:58,50 	the soldiers stop pushing and turned to face the nazi officer as he strides into the tower.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS412 	01:15:00,00 --> 01:15:04,50 	they stop and stare as someone, wearing a long, dark dress, enters the bar.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS575 	01:39:29,00 --> 01:39:39,50 	the car skids sideways out of the hangar, slides backward, and stops at the edge of a cliff.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS668 	01:52:34,00 --> 01:52:49,50 	someone runs into the middle of times square, then stops and gazes at the brightly lit signs and video screens all around him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS82 	00:06:41,00 --> 00:06:45,50 	he stops in a doorway.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS149 	00:11:59,00 --> 00:12:04,50 	he stops and looks out at the waves.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS364 	00:34:32,00 --> 00:34:38,50 	someone stops paddling then rolls off his board and into the water.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS433 	00:41:34,00 --> 00:41:38,50 	he stops and admires his mentor.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS684 	01:06:32,00 --> 01:06:37,50 	stopping on the winding path, someone smiles and follows him onward.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS96 	00:18:09,00 --> 00:18:14,50 	someone stops him then looks back down at his wrist.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS383 	01:33:25,00 --> 01:33:34,50 	someone stops the projector.
COLOMBIANA.srt 	COLOMBIANA_DVS94 	00:07:24,00 --> 00:07:32,50 	he stops as he sees another car approaching.
COLOMBIANA.srt 	COLOMBIANA_DVS267 	00:22:17,00 --> 00:22:23,50 	his fist stops mid punch and his brow furrows.
COLOMBIANA.srt 	COLOMBIANA_DVS456 	00:40:08,00 --> 00:40:12,50 	he stops at someone's cell.
COLOMBIANA.srt 	COLOMBIANA_DVS655 	01:01:28,00 --> 01:01:36,50 	stopping in front of the someone orchid, he picks it up and squints as he examines it.
COLOMBIANA.srt 	COLOMBIANA_DVS889 	01:24:13,00 --> 01:24:19,50 	reaching a doorway, she stops and slumps against the frame.
DEAR_JOHN.srt 	DEAR_JOHN_DVS78 	00:11:27,00 --> 00:11:38,50 	now the truck stops before a modest home with a bushy tree in the front yard.
DEAR_JOHN.srt 	DEAR_JOHN_DVS139 	00:22:38,00 --> 00:22:43,50 	she stops, watching him appreciatively.
DEAR_JOHN.srt 	DEAR_JOHN_DVS173 	00:27:42,00 --> 00:27:47,50 	he stops and faces her.
DEAR_JOHN.srt 	DEAR_JOHN_DVS476 	01:10:11,00 --> 01:10:17,50 	the humvee stops, and the soldiers climb out with their guns drawn.
DEAR_JOHN.srt 	DEAR_JOHN_DVS528 	01:15:50,00 --> 01:15:54,50 	a doctor stops beside someone.
DEAR_JOHN.srt 	DEAR_JOHN_DVS607 	01:23:42,00 --> 01:23:48,50 	someone stops the car and takes out his keys.
DEAR_JOHN.srt 	DEAR_JOHN_DVS618 	01:24:24,00 --> 01:24:30,50 	someone continues toward her, then stops a few yards away.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS81 	00:16:34,00 --> 00:16:38,50 	he stops and gets out.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS154 	00:36:54,00 --> 00:37:02,50 	he stops when he reaches a platform outside the large window of the upper floor apartment.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS160 	00:38:00,00 --> 00:38:10,50 	he stops and glances around.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS175 	00:39:16,00 --> 00:39:23,50 	he stops when he sees a naked woman.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS206 	00:49:56,00 --> 00:50:02,50 	someone starts for the door then stops.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS441 	01:47:39,00 --> 01:47:45,50 	they stop and someone hugs them both.
DISTRICT_9.srt 	DISTRICT_9_DVS526 	01:02:36,00 --> 01:02:41,50 	someone stops headphones.
DISTRICT_9.srt 	DISTRICT_9_DVS719 	01:25:00,00 --> 01:25:10,50 	once i have that power, no one someone stop me.
DISTRICT_9.srt 	DISTRICT_9_DVS764 	01:30:32,00 --> 01:30:39,50 	meanwhile, the robot stops across the dry ground.
EASY_A.srt 	EASY_A_DVS146 	00:45:38,00 --> 00:45:48,50 	she heads to the track, where four other girls race, then stop and huddle around a phone.
FLIGHT.srt 	FLIGHT_DVS176 	00:38:55,00 --> 00:39:01,50 	he stops at a door marked stairwell, third floor, and opens it.
FLIGHT.srt 	FLIGHT_DVS201 	00:46:47,00 --> 00:46:51,50 	someone stops the car.
FLIGHT.srt 	FLIGHT_DVS342 	00:56:55,00 --> 00:57:00,50 	he stops in the bar area.
FLIGHT.srt 	FLIGHT_DVS391 	01:02:46,00 --> 01:02:52,50 	he raises the glass, as if to take a drink, but stops midway.
FLIGHT.srt 	FLIGHT_DVS684 	01:32:43,00 --> 01:32:48,50 	he stops as he sees the envelope.
FLIGHT.srt 	FLIGHT_DVS773 	01:37:33,00 --> 01:37:41,50 	he stops opposite a house in a quiet neighborhood, pulling up on the curb, barely missing a fire hydrant.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS375 	01:38:44,00 --> 01:38:51,50 	the bustling crowd around someone suddenly stops and dances.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS378 	01:39:10,00 --> 01:39:17,50 	the people in the flash mob stop their frenetic jumping and square off.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS105 	00:16:21,00 --> 00:16:59,50 	he stops inches from the mustached thug and looms over him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS125 	00:20:25,00 --> 00:20:30,50 	ahead, two doctors try to stop someone from leaving.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS137 	00:21:50,00 --> 00:21:56,50 	his back to us, the man stops at a newsstand.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS276 	00:42:42,00 --> 00:43:07,50 	with his gaze fixed on the boy, he trudges closer, stopping a few feet away as inky smoke swirls around him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS230 	00:57:04,00 --> 00:57:08,50 	the guide stops a few doors down.
GROWN_UPS.srt 	GROWN_UPS_DVS122 	00:38:37,00 --> 00:38:42,50 	someone stops chewing.
HUGO.srt 	HUGO_DVS94 	00:12:16,00 --> 00:12:23,50 	stopping his efforts, the boy gazes out the center of a clock face.
HUGO.srt 	HUGO_DVS327 	00:50:35,00 --> 00:50:43,50 	holding a pen above a blank page, the automaton's right arm moves slightly then stops.
HUGO.srt 	HUGO_DVS359 	00:54:43,00 --> 00:54:49,50 	the automaton's head returns to its normal posing as it stops.
HUGO.srt 	HUGO_DVS464 	01:07:41,00 --> 01:07:46,50 	he stops and glances back.
HUGO.srt 	HUGO_DVS507 	01:14:41,00 --> 01:14:47,50 	they stop before three women sitting on a seashell throne.
HUGO.srt 	HUGO_DVS644 	01:32:48,00 --> 01:32:52,50 	he stops turning the crank.
HUGO.srt 	HUGO_DVS685 	01:39:18,00 --> 01:39:23,50 	the camera stops while the skeletons hurry off the set.
HUGO.srt 	HUGO_DVS727 	01:47:15,00 --> 01:47:19,50 	he stops and listens.
HUGO.srt 	HUGO_DVS763 	01:50:56,00 --> 01:51:06,50 	someone moves under the automaton with his arms outstretched but stops at the edge of the platform.
IN_TIME.srt 	IN_TIME_DVS192 	00:20:24,00 --> 00:20:31,50 	as the bus stops in dayton, someone steps forward holding a bouquet.
IN_TIME.srt 	IN_TIME_DVS221 	00:23:30,00 --> 00:23:38,50 	now, a luxury sedan stops on a street in dayton and someone strides over.
IN_TIME.srt 	IN_TIME_DVS239 	00:24:53,00 --> 00:25:00,50 	they stop at the barricade for time zone 4 and the scanner flips up again.
IN_TIME.srt 	IN_TIME_DVS252 	00:26:00,00 --> 00:26:07,50 	stopping by a hotel's front doors, he pulls up his sleeve and checks his clock.
IN_TIME.srt 	IN_TIME_DVS286 	00:29:01,00 --> 00:29:08,50 	on the patio, the young woman stops staring as a waitress serves her.
IN_TIME.srt 	IN_TIME_DVS290 	00:29:44,00 --> 00:29:55,50 	he stops someone who also wears a tux.
IN_TIME.srt 	IN_TIME_DVS358 	00:37:53,00 --> 00:37:57,50 	someone stops swaying.
IN_TIME.srt 	IN_TIME_DVS669 	01:12:29,00 --> 01:12:41,50 	it smashes through the glass barriers inside and stops at an open vault.
IN_TIME.srt 	IN_TIME_DVS703 	01:15:22,00 --> 01:15:29,50 	he stops and smirks fearlessly as the minutemen's car stops in his path.
INSIDE_MAN.srt 	INSIDE_MAN_DVS24 	00:05:53,00 --> 00:05:59,50 	he stops at a bank's lock.
INSIDE_MAN.srt 	INSIDE_MAN_DVS59 	00:16:02,00 --> 00:16:19,50 	as the dark haired executive hands over his keys to the female robber, she stops and raises her arm.
INSIDE_MAN.srt 	INSIDE_MAN_DVS230 	01:07:57,00 --> 01:08:03,50 	they stop in front of a we will never forget poster.
IRON_MAN_2.srt 	IRON_MAN_2_DVS28 	00:03:10,00 --> 00:03:37,50 	someone stops welding and lifts the goggles above his forehead.
IRON_MAN_2.srt 	IRON_MAN_2_DVS48 	00:06:31,00 --> 00:06:38,50 	the platform stops revolving.
IRON_MAN_2.srt 	IRON_MAN_2_DVS140 	00:26:06,00 --> 00:26:15,50 	the car stops outside a building's ornate facade.
IRON_MAN_2.srt 	IRON_MAN_2_DVS559 	01:38:59,00 --> 01:39:09,50 	the army drones march double-time behind the fleeing crowd, then stop.
IRON_MAN_2.srt 	IRON_MAN_2_DVS685 	01:53:21,00 --> 01:53:28,50 	they stop kissing and gaze at each other.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS30 	00:08:12,00 --> 00:08:17,50 	she stops in front of a white-haired man.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS94 	00:27:54,00 --> 00:27:59,50 	someone stops the car and rolls down his window.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS253 	01:11:45,00 --> 01:11:52,50 	someone stops carving the chicken and turns in someone's direction still holding her knife.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS112 	00:23:01,00 --> 00:23:07,50 	someone self-consciously stops laughing and glances over at his sister.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS188 	00:36:56,00 --> 00:37:01,50 	she stops and stares at two players.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS335 	01:04:35,00 --> 01:04:43,50 	in a series of intricate steps, they tap their ankles, turn around, then stop, posing shoulder to shoulder.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS69 	00:08:27,00 --> 00:08:33,50 	she stops at a shop window displaying a chocolate fountain.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS104 	00:38:44,00 --> 00:38:55,50 	he stops and turns.
KARATE_KID.srt 	KARATE_KID_DVS193 	00:16:50,00 --> 00:16:55,50 	someone stops dancing and stares.
KARATE_KID.srt 	KARATE_KID_DVS425 	00:38:44,00 --> 00:38:51,50 	as someone walks some distance behind the others, mrs. po stops beside him.
KARATE_KID.srt 	KARATE_KID_DVS445 	00:39:56,00 --> 00:40:05,50 	the boys stop at a collection of parked bicycles and goof around.
KARATE_KID.srt 	KARATE_KID_DVS498 	00:44:37,00 --> 00:44:45,50 	he stops them, then advances on mr.
KARATE_KID.srt 	KARATE_KID_DVS570 	00:51:12,00 --> 00:51:19,50 	we do not stop when our enemy is down.
KARATE_KID.srt 	KARATE_KID_DVS625 	00:53:35,00 --> 00:53:39,50 	he stops.
KARATE_KID.srt 	KARATE_KID_DVS637 	00:54:17,00 --> 00:54:22,50 	someone stops walking and stares.
KARATE_KID.srt 	KARATE_KID_DVS643 	00:54:40,00 --> 00:54:45,50 	they stop just outside the courtyard's gate.
KARATE_KID.srt 	KARATE_KID_DVS1101 	01:31:16,00 --> 01:31:29,50 	reaching a brick pillar, he stops at the sight of a stern man waiting by a black luxury sedan.
KARATE_KID.srt 	KARATE_KID_DVS1143 	01:34:51,00 --> 01:34:58,50 	someone's parents walk her up the aisle, stopping to face the young american boy.
KARATE_KID.srt 	KARATE_KID_DVS1461 	01:59:13,00 --> 01:59:18,50 	master someone stops someone on his way to the mat.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS182 	01:05:27,00 --> 01:05:39,50 	she stops, frowning.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS91 	00:22:30,00 --> 00:22:34,50 	he stops.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS157 	00:21:00,00 --> 00:21:07,50 	his father stops eating and faces his wife who returns an amused smile.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS167 	00:22:39,00 --> 00:22:43,50 	stopping near the end.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS173 	00:23:12,00 --> 00:23:17,50 	the magnificent tiger stops a foot away.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS427 	00:49:25,00 --> 00:49:32,50 	someone stops at the center, his body convulsing.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS511 	00:56:31,00 --> 00:56:37,50 	stopping a few yards from the boat, someone vomits into the water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS794 	01:21:29,00 --> 01:21:36,50 	on the raft, someone uses two pails as a dholak drum then suddenly stops.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS995 	01:37:51,00 --> 01:37:59,50 	looking down, he stops and unties someone's string bracelet, unwrapping it from his wrist.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS265 	01:25:58,00 --> 01:26:09,50 	he stops.
MORNING_GLORY.srt 	MORNING_GLORY_DVS76 	00:13:51,00 --> 00:13:57,50 	someone jams her arm in the doors to stop them from closing.
MORNING_GLORY.srt 	MORNING_GLORY_DVS118 	00:26:38,00 --> 00:26:43,50 	she stops just short of him,
MORNING_GLORY.srt 	MORNING_GLORY_DVS193 	00:43:58,00 --> 00:44:04,50 	she stops and turns to regard herself in the mirror.
MORNING_GLORY.srt 	MORNING_GLORY_DVS228 	00:51:44,00 --> 00:51:49,50 	he stops and turns back to wish her goodnight.
MORNING_GLORY.srt 	MORNING_GLORY_DVS278 	01:01:27,00 --> 01:01:31,50 	she stops
MORNING_GLORY.srt 	MORNING_GLORY_DVS382 	01:24:25,00 --> 01:24:33,50 	someone, who's striding toward the colonial-style clapboard country mansion, stops in his tracks.
MORNING_GLORY.srt 	MORNING_GLORY_DVS454 	01:36:42,00 --> 01:36:46,50 	he stops at a table of food.
MORNING_GLORY.srt 	MORNING_GLORY_DVS479 	01:40:06,00 --> 01:40:11,50 	she stops just off the set and watches someone
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS422 	00:49:02,00 --> 00:49:09,50 	he stops and allows them to walk between his legs, then waddles on after them.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS312 	01:07:51,00 --> 01:08:07,50 	as the boys stop in front of his desk, he stares down at them with stern eyes.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS338 	01:14:13,00 --> 01:14:26,50 	the boys stop by the door.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS416 	01:26:47,00 --> 01:26:57,50 	the tip of her scissors stop a few inches away.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS477 	01:37:50,00 --> 01:37:59,50 	leaving the woods, someone rounds a turn, stops running and stares.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS129 	00:20:31,00 --> 00:20:36,50 	he goes to stand but stops himself.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS163 	00:26:58,00 --> 00:27:02,50 	someone stops someone.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS394 	01:12:47,00 --> 01:12:54,50 	she stops beneath the red and white emergency sign and looks back,
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS553 	01:41:43,00 --> 01:41:51,50 	a guy runs up, stops the door with his briefcase, and gets in.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS344 	01:22:31,00 --> 01:22:36,50 	someone stops on the stairs.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS355 	01:26:19,00 --> 01:26:24,50 	someone stops on the staircase.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS305 	01:16:11,00 --> 01:16:19,50 	he stops at a pinball machine played by a thin young man with long, corn silk hair.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS368 	01:31:23,00 --> 01:31:30,50 	they stop their advance and the fireplace grate closes behind the group.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS457 	01:50:19,00 --> 01:50:26,50 	they stop walking as they notice someone sword fighting four male students at the same time.
PROMETHEUS.srt 	PROMETHEUS_DVS512 	00:54:42,00 --> 00:54:49,50 	someone stops playing a concertina and approaches a pinging red dot on the map.
PROMETHEUS.srt 	PROMETHEUS_DVS715 	01:15:59,00 --> 01:16:06,50 	as the door lowers, someone stops halfway down, wielding the menacing weapon.
PROMETHEUS.srt 	PROMETHEUS_DVS794 	01:25:21,00 --> 01:25:28,50 	a crewman stops halfway down the lowering ramp in a space suit and helmet.
PROMETHEUS.srt 	PROMETHEUS_DVS845 	01:31:45,00 --> 01:31:50,50 	he stops at the door, then returns to someone.
PROMETHEUS.srt 	PROMETHEUS_DVS923 	01:41:33,00 --> 01:41:38,50 	someone stops to catch her breath.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS47 	00:07:57,00 --> 00:08:05,50 	the woman stops him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS216 	00:40:17,00 --> 00:40:21,50 	the stranger stops.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS338 	01:04:53,00 --> 01:05:11,50 	he stops for a red traffic light on a corner where more national guardsmen stand together talking, their guns strapped over their shoulders.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS579 	01:47:49,00 --> 01:47:57,50 	someone presses down on the arms of the chair to get up, then stops.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS637 	01:59:52,00 --> 02:00:03,50 	he stops, turns, and puts his back to the cinema.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS51 	00:14:01,00 --> 00:14:07,50 	someone reaches for the cups, but the man stops him.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS147 	00:37:33,00 --> 00:37:39,50 	a band master holds up his hand and four drummers stop.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS485 	02:00:51,00 --> 02:00:56,50 	someone stops short.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS230 	00:35:32,00 --> 00:35:37,50 	someone stops dancing staring wide-eyed.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS636 	01:31:34,00 --> 01:31:40,50 	someone stop short and finding someone gone.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS205 	00:14:47,00 --> 00:14:52,50 	a lady servant stops her.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS343 	00:23:21,00 --> 00:23:26,50 	with someone at her side, the bride takes cautious steps over the threshold, then stops in front of her parents.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS360 	00:24:12,00 --> 00:24:18,50 	the two friends walk past townsfolk gathered to watch the procession, then stop at a gateway in a brick wall that encloses the property.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS400 	00:26:43,00 --> 00:26:49,50 	avoiding his gaze, she stops struggling and blinks resignedly.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS936 	01:00:45,00 --> 01:00:50,50 	the two friends stop singing and peer up.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1131 	01:17:01,00 --> 01:17:05,50 	the rebels have been stopped.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1243 	01:23:39,00 --> 01:23:43,50 	she stops and turns.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1311 	01:30:31,00 --> 01:30:37,50 	the burly bathhouse attendant stops eating and listens with a lifted brow.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1316 	01:30:49,00 --> 01:30:55,50 	the worker stops spreading towels over loungers and leaves.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS121 	00:23:47,00 --> 00:23:56,50 	someone rushes up some stairs, then stops on a landing, and watches the wolves advance past the man entering the apartment building.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS163 	00:31:41,00 --> 00:32:07,50 	someone runs his hand over various items, then stops in front of a figurine covered in acupuncture needles.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS345 	01:12:19,00 --> 01:12:23,50 	the knives stop inches his face.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS364 	01:16:56,00 --> 01:17:03,50 	as he stops her, she instantly changes back to the middle-aged new yorker.
SOUL_SURFER.srt 	SOUL_SURFER_DVS199 	01:06:06,00 --> 01:06:13,50 	someone stops someone who peers after his daughter.
SOUL_SURFER.srt 	SOUL_SURFER_DVS311 	01:33:31,00 --> 01:33:39,50 	someone stops paddling and sits up, peering through narrowed eyes at the rolling water.
SPARKLE_2012.srt 	SPARKLE_2012_DVS71 	00:12:27,00 --> 00:12:31,50 	someone stops dancing.
