21_JUMP_STREET.srt 	21_JUMP_STREET_DVS447 	01:13:52,00 --> 01:13:58,50 	he overtakes the rig and falls off his bike.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS310 	00:45:02,00 --> 00:45:30,50 	someone kicks out someone's shin and the vampire almost falls on his dagger.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS387 	00:54:10,00 --> 00:54:22,50 	as someone fight off the attacker, slaves all around him fall victim to the vamps.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS443 	01:04:01,00 --> 01:04:08,50 	she plants her hands on her hips and her gaze falls on a headline.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS516 	01:12:36,00 --> 01:12:53,50 	a force knocks his head off and his men fall behind him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS592 	01:21:50,00 --> 01:21:59,50 	someone falls back and the vampire starts to pull him out.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS596 	01:22:12,00 --> 01:22:46,50 	his guns fall from his grasp as he struggles against the vampire holding him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS596 	01:22:12,00 --> 01:22:46,50 	he opens a door behind the monster letting him fall away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	the vampire falls aside revealing someone standing halfway through a hatch, his modified ax in hand.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	with someone's blade stuck in his fallen foe, a vampire attacks with kicks and punches.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS612 	01:25:58,00 --> 01:26:09,50 	revolvers fall from the dangling man's pockets.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS632 	01:28:54,00 --> 01:29:18,50 	about to fall into the blaze below, they daringly leap across the divide and land on the next rail car's roof.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS639 	01:30:10,00 --> 01:30:21,50 	his mouth agape, someone falls flat on his back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS687 	01:37:52,00 --> 01:37:58,50 	he slaps them on the back and a pistol falls on the floor.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS201 	00:33:15,00 --> 00:33:22,50 	he slips and falls on his back, splintering the lunch table in two.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS295 	00:49:21,00 --> 00:49:25,50 	he falls on his back.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS308 	00:50:19,00 --> 00:50:26,50 	spinning out of control, someone falls off the stage and lands on his stepfather.
BLINDDATING.srt 	BLINDDATING_DVS34 	00:11:53,00 --> 00:11:58,50 	he steps on a wheel toy and falls flat on his back.
BLINDDATING.srt 	BLINDDATING_DVS54 	00:16:26,00 --> 00:16:44,50 	he trips over a student's knees, knocking a laptop over as he falls.
BLINDDATING.srt 	BLINDDATING_DVS84 	00:25:12,00 --> 00:25:17,50 	her mouth falls open.
BLINDDATING.srt 	BLINDDATING_DVS288 	01:11:57,00 --> 01:12:13,50 	his chest rises and falls steadily.
BLINDDATING.srt 	BLINDDATING_DVS356 	01:27:35,00 --> 01:27:53,50 	someone winces and falls to the floor.
BRUNO.srt 	BRUNO_DVS109 	00:23:43,00 --> 00:24:01,50 	he lets his pants fall, revealing his purple spandex briefs.
BRUNO.srt 	BRUNO_DVS174 	00:47:32,00 --> 00:47:48,50 	he falls over.
BRUNO.srt 	BRUNO_DVS201 	00:54:09,00 --> 00:54:15,50 	but pretends to fall, and get back up.
BURLESQUE.srt 	BURLESQUE_DVS362 	00:49:39,00 --> 00:49:43,50 	the curtain falls.
BURLESQUE.srt 	BURLESQUE_DVS517 	01:11:28,00 --> 01:11:33,50 	the doorman falls face-first into a contortionist's crotch.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS123 	00:21:09,00 --> 00:21:14,50 	someone falls as he climbs a cargo net.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS216 	00:38:36,00 --> 00:38:41,50 	the woman's gun fires skyward as she falls.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS246 	00:42:46,00 --> 00:42:52,50 	white foam bubble out of someone's mouth as he shudders, then falls still.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS280 	00:52:42,00 --> 00:52:48,50 	someone glances over his shoulder at someone, then stares at the falling rain.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS284 	00:54:14,00 --> 00:54:19,50 	someone' eyes fall.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS321 	01:00:40,00 --> 01:00:46,50 	men seating in one cell glance upward as a guard's limp body falls onto the barred opening above them.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS380 	01:08:26,00 --> 01:08:32,50 	someone runs and leaps, grabbing on to the far railing just before the beam falls.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS443 	01:19:56,00 --> 01:20:04,50 	as the man falls out of the tree, the shield boomerangs back into someone' hand.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS529 	01:34:51,00 --> 01:34:58,50 	someone falls to his knees.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS542 	01:36:04,00 --> 01:36:19,50 	other troopers fall back toward the base as they fire at approaching soldier.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS553 	01:37:00,00 --> 01:37:06,50 	the trooper's armored suit explodes as he falls dead.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS583 	01:40:47,00 --> 01:40:54,50 	the trooper falls.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS591 	01:41:21,00 --> 01:41:26,50 	the trooper falls into the bomb's rear propeller.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS665 	01:52:08,00 --> 01:52:13,50 	the woman's smile falls as someone stands.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS55 	00:04:43,00 --> 00:04:49,50 	night falls as the van heads into a beach town.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS512 	00:49:58,00 --> 00:50:05,50 	the surfer suddenly falls off the board and the colossal wave smashes down on him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS516 	00:50:20,00 --> 00:50:24,50 	someone's mouth falls open.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS697 	01:07:41,00 --> 01:07:46,50 	losing their balance, they fall off their boards.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1000 	01:37:34,00 --> 01:37:40,50 	he falls off his board and vanishes in the crushing break.
CHRONICLE.srt 	CHRONICLE_DVS133 	00:19:53,00 --> 00:19:57,50 	as he nods off, the camera falls.
CHRONICLE.srt 	CHRONICLE_DVS204 	00:30:00,00 --> 00:30:06,50 	someone leaps six feet up, then falls on his face.
CHRONICLE.srt 	CHRONICLE_DVS234 	00:33:17,00 --> 00:33:22,50 	he falls with the shy teen then kisses him.
CHRONICLE.srt 	CHRONICLE_DVS475 	01:08:43,00 --> 01:08:50,50 	we watch the falling car exploding on impact, then look up at our savior.
CHRONICLE.srt 	CHRONICLE_DVS504 	01:12:28,00 --> 01:12:32,50 	the street lamp falls.
CHRONICLE.srt 	CHRONICLE_DVS509 	01:12:55,00 --> 01:13:05,50 	someone flings the fallen streetlamp into a parked car.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS169 	00:36:06,00 --> 00:36:22,50 	sheltered from the lightly falling snow, she turns toward the building.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS180 	00:38:37,00 --> 00:38:47,50 	with snow steadily falling, someone stands alone in the white courtyard.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS557 	02:10:42,00 --> 02:10:51,50 	the fallen fighter's gaze drains of life.
COLOMBIANA.srt 	COLOMBIANA_DVS120 	00:09:42,00 --> 00:09:49,50 	as alicia falls still, someone rolls onto his back and shuts his eyes.
COLOMBIANA.srt 	COLOMBIANA_DVS174 	00:15:20,00 --> 00:15:31,50 	as she nears the end of one alley, her gaze falls on a metal fire escape ladder against the side of an apartment building.
COLOMBIANA.srt 	COLOMBIANA_DVS395 	00:35:18,00 --> 00:35:23,50 	the spoon falls and the water shorts out the fan.
COLOMBIANA.srt 	COLOMBIANA_DVS419 	00:36:56,00 --> 00:37:03,50 	as the door opens, the unconscious someone sinks to his knees then falls face down.
COLOMBIANA.srt 	COLOMBIANA_DVS685 	01:04:55,00 --> 01:05:01,50 	she slides off her jacket and falls back on his bed.
COLOMBIANA.srt 	COLOMBIANA_DVS983 	01:34:18,00 --> 01:34:24,50 	the shooting ceases and the bullet riddled man falls.
COLOMBIANA.srt 	COLOMBIANA_DVS1048 	01:38:36,00 --> 01:38:43,50 	as she gets thrown against the wall, the brushes fall from her grasp.
COLOMBIANA.srt 	COLOMBIANA_DVS1052 	01:38:55,00 --> 01:39:01,50 	someone withdraws her hand, trembling as she falls back in exhaustion.
DEAR_JOHN.srt 	DEAR_JOHN_DVS297 	00:46:21,00 --> 00:46:27,50 	someone breathes heavily as he watches someone falling off the building.
DEAR_JOHN.srt 	DEAR_JOHN_DVS429 	01:04:10,00 --> 01:04:18,50 	later, two soldiers approach the fallen crate.
DEAR_JOHN.srt 	DEAR_JOHN_DVS464 	01:08:00,00 --> 01:08:09,50 	as he pries off its cover, he fumbles it, and it falls to the ground.
DEAR_JOHN.srt 	DEAR_JOHN_DVS484 	01:11:26,00 --> 01:11:31,50 	someone falls back in slow motion.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS80 	00:16:25,00 --> 00:16:34,50 	the guy splats against someone's porsche's windscreen and falls in the road.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS240 	00:59:37,00 --> 00:59:43,50 	someone has finally fallen asleep on the sofa.
DISTRICT_9.srt 	DISTRICT_9_DVS181 	00:20:52,00 --> 00:21:08,50 	from a pipette, a droplet falls onto the jelly which ripples and bubbles up.
DISTRICT_9.srt 	DISTRICT_9_DVS181 	00:20:52,00 --> 00:21:08,50 	another black drop falls through the mesh into a metallic canister, which electronically seals itself.
DISTRICT_9.srt 	DISTRICT_9_DVS443 	00:49:29,00 --> 00:49:57,50 	he settles newspaper around his alien arm, then lets his head fall back onto the foam.
DISTRICT_9.srt 	DISTRICT_9_DVS448 	00:50:18,00 --> 00:50:40,50 	milky white mush falls into his open mouth.
DISTRICT_9.srt 	DISTRICT_9_DVS701 	01:22:22,00 --> 01:22:28,50 	as someone's men fall back, someone watches from the truck.
DISTRICT_9.srt 	DISTRICT_9_DVS814 	01:35:57,00 --> 01:36:06,50 	several fallen men.
DISTRICT_9.srt 	DISTRICT_9_DVS826 	01:37:23,00 --> 01:37:39,50 	on the ground, the robot takes a few faltering steps, then falls.
EASY_A.srt 	EASY_A_DVS33 	00:08:23,00 --> 00:08:29,50 	he launches off the trampoline for a dunk, but falls on his face.
EASY_A.srt 	EASY_A_DVS52 	00:17:42,00 --> 00:17:49,50 	outside woodchuck someone carries the head of his costume as he falls into step with someone.
EASY_A.srt 	EASY_A_DVS123 	00:39:17,00 --> 00:39:38,50 	a double strand of pearls rings her neck, and her auburn hair falls in soft curls around her face.
FLIGHT.srt 	FLIGHT_DVS57 	00:10:39,00 --> 00:10:45,50 	the plane shakes, and items fall from the overhead bins.
FLIGHT.srt 	FLIGHT_DVS71 	00:14:35,00 --> 00:14:42,50 	she flings her bag on a table and it hits a box, which falls and scatters its contents.
FLIGHT.srt 	FLIGHT_DVS89 	00:16:16,00 --> 00:16:20,50 	the strap falls from her mouth.
FLIGHT.srt 	FLIGHT_DVS92 	00:16:39,00 --> 00:16:45,50 	she grabs the packet of cocaine that kip gave her, and falls on her side.
FLIGHT.srt 	FLIGHT_DVS93 	00:16:45,00 --> 00:16:50,50 	the packet falls, inches from her hand.
FLIGHT.srt 	FLIGHT_DVS105 	00:21:02,00 --> 00:21:07,50 	someone falls, and hits her head.
FLIGHT.srt 	FLIGHT_DVS117 	00:23:42,00 --> 00:23:49,50 	the plane turns upright, and a still unconscious someone falls on some passengers.
FLIGHT.srt 	FLIGHT_DVS118 	00:23:56,00 --> 00:24:01,50 	someone loses her hold, and falls against the bulkhead.
FLIGHT.srt 	FLIGHT_DVS496 	01:11:25,00 --> 01:11:30,50 	she watches someone try to stand, and then fall.
FLIGHT.srt 	FLIGHT_DVS691 	01:33:21,00 --> 01:33:29,50 	rain falls steadily as someone sits in the car and pours alcohol into a bottle of juice, and takes a drink.
FLIGHT.srt 	FLIGHT_DVS904 	01:47:03,00 --> 01:47:08,50 	and his eyes fall on a fridge.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS112 	00:30:29,00 --> 00:30:35,50 	now they fall back onto the bed, making out.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS190 	00:51:55,00 --> 00:52:02,50 	she falls back and smiles at him, meaningfully.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS109 	00:17:47,00 --> 00:18:11,50 	a drop of his blood falls from his cheek and hits a stone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS405 	00:59:33,00 --> 00:59:41,50 	as someone arched his back in pain, we see him as a flameless ghost rider falling through a white void.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS423 	01:00:58,00 --> 01:01:03,50 	someone falls to his knees, his gloved hand trembling.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS437 	01:02:37,00 --> 01:02:45,50 	as another monk gropes in the dark, someone grabs him from behind, rip him and lets him fall.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS504 	01:12:49,00 --> 01:12:57,50 	she glances up once more then recognizes someone and someone as they leave their fallen enemies behind.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS551 	01:18:35,00 --> 01:18:41,50 	falling back, someone lies motionless on the gravel.
GREEN_ZONE.srt 	GREEN_ZONE_DVS135 	00:31:08,00 --> 00:31:18,50 	the fallen iraqi bleeds out on the floor.
GREEN_ZONE.srt 	GREEN_ZONE_DVS332 	01:14:59,00 --> 01:15:12,50 	he falls back behind the chief.
GREEN_ZONE.srt 	GREEN_ZONE_DVS403 	01:30:43,00 --> 01:30:49,50 	the leader eyes the fallen iraqi bleeding out on the floor.
GREEN_ZONE.srt 	GREEN_ZONE_DVS446 	01:37:45,00 --> 01:37:54,50 	he looks back down at the fallen general then tosses his weapon aside.
GREEN_ZONE.srt 	GREEN_ZONE_DVS451 	01:38:46,00 --> 01:39:07,50 	someone grimly regards the fallen general, lowers his rifle, and heads back through the marketplace.
HUGO.srt 	HUGO_DVS45 	00:05:06,00 --> 00:05:10,50 	the mouse falls and breaks.
HUGO.srt 	HUGO_DVS59 	00:07:44,00 --> 00:07:55,50 	he slams into a woman, spins, then falls on top of her.
HUGO.srt 	HUGO_DVS63 	00:08:19,00 --> 00:08:30,50 	he puts his foot through a bass guitar and falls into the band members.
HUGO.srt 	HUGO_DVS72 	00:09:23,00 --> 00:09:28,50 	he falls and the train drags him along the platform.
HUGO.srt 	HUGO_DVS111 	00:14:40,00 --> 00:14:48,50 	hurrying his pace, he falls in step beside the man - who doesn't acknowledge someone's presence.
HUGO.srt 	HUGO_DVS216 	00:32:07,00 --> 00:32:11,50 	then falls still.
HUGO.srt 	HUGO_DVS302 	00:46:44,00 --> 00:46:47,50 	someone falls.
HUGO.srt 	HUGO_DVS325 	00:50:23,00 --> 00:50:34,50 	tiny hammers rise and fall as a patterned cylinder rotates under them.
HUGO.srt 	HUGO_DVS405 	01:00:32,00 --> 01:00:39,50 	suddenly, the box falls but someone holds on, hugging it to her chest.
HUGO.srt 	HUGO_DVS409 	01:00:53,00 --> 01:00:58,50 	the box falls to the floor and springs open.
HUGO.srt 	HUGO_DVS571 	01:23:52,00 --> 01:23:59,50 	the train roars toward someone, who holds out one hand as he falls backward onto the tracks.
HUGO.srt 	HUGO_DVS577 	01:24:16,00 --> 01:24:24,50 	the runaway train smashes through the station's huge front windows and falls into the street one story below.
HUGO.srt 	HUGO_DVS635 	01:32:03,00 --> 01:32:09,50 	a young someone sits on the crescent moon as snow falls on the sleepers.
IN_TIME.srt 	IN_TIME_DVS153 	00:16:34,00 --> 00:16:43,50 	his body falls from the railing, tumbles midair, and splashes into the shallow water 50 feet below.
IN_TIME.srt 	IN_TIME_DVS595 	01:03:35,00 --> 01:03:44,50 	someone releases his weapon as he falls back.
IN_TIME.srt 	IN_TIME_DVS675 	01:13:17,00 --> 01:13:27,50 	now, capsules fall onto pavement littered with broken glass as the ghetto citizens drain the capsule's time into their bodies.
IN_TIME.srt 	IN_TIME_DVS774 	01:21:43,00 --> 01:21:48,50 	his gaze falls on the man with a month.
IN_TIME.srt 	IN_TIME_DVS818 	01:27:04,00 --> 01:27:10,50 	the gangster flies back in his chair and falls to the floor.
IN_TIME.srt 	IN_TIME_DVS941 	01:39:13,00 --> 01:39:19,50 	he convulses, then falls back with his arms and legs sprawled.
INSIDE_MAN.srt 	INSIDE_MAN_DVS378 	01:50:39,00 --> 01:50:56,50 	it hits the edge and falls to the floor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS166 	00:31:18,00 --> 00:31:54,50 	someone's orange shirt ignites and falls in tatters around his hips.
IRON_MAN_2.srt 	IRON_MAN_2_DVS180 	00:33:44,00 --> 00:34:06,50 	someone falls back onto the ground.
IRON_MAN_2.srt 	IRON_MAN_2_DVS180 	00:33:44,00 --> 00:34:06,50 	someone whirls a whip which strikes the ground behind someone, who leaps onto an overturned race car, then falls onto the road.
IRON_MAN_2.srt 	IRON_MAN_2_DVS231 	00:43:01,00 --> 00:43:05,50 	the man falls to the floor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS259 	00:48:20,00 --> 00:48:26,50 	someone steps out of a convertible car and falls.
IRON_MAN_2.srt 	IRON_MAN_2_DVS291 	00:53:59,00 --> 00:54:05,50 	someone stumbles and falls onstage.
IRON_MAN_2.srt 	IRON_MAN_2_DVS322 	00:58:10,00 --> 00:58:17,50 	someone falls to the floor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS560 	01:39:06,00 --> 01:39:16,50 	metal anchors fall down from their feet, securing them to the ground.
IRON_MAN_2.srt 	IRON_MAN_2_DVS594 	01:41:47,00 --> 01:42:29,50 	he falls as a fifth guard appears.
IRON_MAN_2.srt 	IRON_MAN_2_DVS594 	01:41:47,00 --> 01:42:29,50 	he also falls and lies motionless.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	the eighth guard falls to the floor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS609 	01:44:45,00 --> 01:44:52,50 	someone falls off a small cliff and lands on his back in the stream below.
IRON_MAN_2.srt 	IRON_MAN_2_DVS652 	01:49:28,00 --> 01:49:43,50 	it falls into a puddle at someone's feet and extinguishes.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS353 	01:39:44,00 --> 01:39:58,50 	someone falls out of his chair.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS366 	01:42:48,00 --> 01:43:02,50 	clutching a rumpled tissue in her hands she closes her eyes and falls asleep.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS75 	00:15:51,00 --> 00:15:55,50 	someone falls on her face.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS97 	00:20:42,00 --> 00:20:46,50 	he falls to the floor.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS258 	00:51:52,00 --> 00:52:00,50 	playing soccer, someone tries to kick the ball but her foot misses and she falls onto her back.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS450 	01:24:13,00 --> 01:24:19,50 	she leaps into someone's arms and he falls back.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS98 	00:15:42,00 --> 00:15:47,50 	someone returns fallen bits to the pan.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS248 	00:46:21,00 --> 00:46:26,50 	as someone falls asleep,
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS405 	01:18:32,00 --> 01:18:36,50 	her face falls.
